TimeGroup	Start	End
1	StartBattle	StopBattle
1	StartBattle2	StopBattle2
1	StartBattle3	StopBattle3
1	StartBattle21	StopBattle21
1	StartBattle22	StopBattle22
1	StartBattle23	StopBattle23
1	StartBattle11	StopBattle11
1	StartBattle12	StopBattle12
1	StartBattle13	StopBattle13
4	StartBoss1	EndBoss1
4	StartBoss2	EndBoss2
4	StartBoss3	EndBoss3
3	QYHStartGame	QYHEndGame
2	BossFight1	StopBossFight1
2	BossFight2	StopBossFight2
5	StartLeader1	EndLeader1
7	KinGather	KinGatherStop
9	KinGather	KinGatherStop
10	PreStartKinBattle1	EndKinBattle
11	StartWhiteTiger	CloseWhiteTiger
12	CheckStartTeamBattle	EndTeamBattle
12	CheckStartTeamBattle2	EndTeamBattle2
13	StartFactionBattle	CloseFactionBattle
14	StartKinEscort	CloseKinEscort
14	StartKinEscort2	CloseKinEscort2
15	StartKinTrain	CloseKinTrain
15	StartKinTrain2	CloseKinTrain2
16	StartDomainBattle	CloseDomainBattle
17	HSLJStartPreGame	HSLJClosePreGame
18	HSLJStartFinalsGame	HSLJCloseFinalsGame
19	StartImperialTomb	CloseImperialTomb
20	StartEmperor1	CloseEmperor1
20	StartEmperor2	CloseEmperor2
21	OpenIndiffer	CloseInfiffer
22	StartBattle14	StopBattle14
23	StartFemaleEmperor	CloseEmperor3
