StringKey	SaveKey	Name	Func	Param
Rank	1	武神殿	JumpToAct	
ActivityQuestion	2	每日答題	JumpToAct	
CangBaoTu	3	藏寶圖	JumpToAct	
EquipEnhance	4	裝備強化	OpenWindow	StrengthenPanel
TeamFuben	5	組隊秘境	JumpToAct	
PunishTask	6	懲惡任務	JumpToAct	
ExplorationFuben	7	寶藏探索	JumpToAct	
Boss	8	挑戰武林盟主	JumpToAct	
RandomFuben	9	凌絕峰	JumpToAct	
Battle	10	宋金戰場	JumpToAct	
CommerceTask	11	商會任務	JumpToAct	
KinDonate	12	幫派捐獻	OpenKinVaultPanel	
ChuanGong	13	幫派傳功	JumpToAct	
EquipRefinement	14	裝備洗練	OpenWindow	ItemBox|TogEquip
XiuLian	15	野外修煉	JumpToAct	
WhiteTigerFuben	16	白虎堂	JumpToAct	
FieldBoss	17	歷代名將	JumpToAct	
KinGiftBox	18	幫派禮盒	OpenKinVaultPanel	
KinGather	19	幫派烤火	JumpToAct	
EquipStone	20	魂石鑲嵌	OpenWindow	StrengthenPanel|Inset
TeamBattle	21	通天塔	JumpToAct	
KinFuben	22	幫派試煉	JumpToAct	
FactionBattle	23	門派競技	JumpToAct	
RechargeGift	24	領取7日或30日禮包獎勵	OpenWindow	WelfareActivity|RechargeGift
DailyRechargeGift	25	購買任意每日禮包	OpenWindow	WelfareActivity|DailyRechargeGift
DomainBattle	26	攻城戰	OpenWindow	KinDetailPanel|DomainBattleMain
HeroChallenge	27	英雄挑戰	JumpToAct	
InDifferBattle	28	心魔幻境	JumpToAct	
Muse	29	打坐冥想	JumpToAct	
QunYingHui	30	群英會	JumpToAct	
