PickerType	ItemType	ItemId	Name	Prob0	Prob1	Prob2	Prob3	Prob4	Prob5	Prob6	Prob7	Prob8	Prob9	ProbHighVip0	ProbHighVip1	ProbHighVip2	ProbHighVip3	ProbHighVip4	ProbHighVip5	ProbHighVip6	ProbHighVip7	ProbHighVip8	ProbHighVip9
Gold	Partner	13	楊影楓（SS）	0	0	0	0							78	78	78	77						
Gold	Partner	23	月眉兒	66	55	51	47							61	51	47	43						
Gold	Partner	24	楊瑛	33	27	25	23							30	25	23	21						
Gold	Partner	26	清曉師太	33	27	25	23							30	25	23	21						
Gold	Partner	25	祝子虛	33	27	25	23							30	25	23	21						
Gold	Partner	27	黃暮雲	33	27	25	23							30	25	23	21						
Gold	Partner	28	道一真人	33	27	25	23							30	25	23	21						
Gold	Partner	29	端木睿	33	27	25	23							30	25	23	21						
Gold	Partner	36	孟知秋	66	55	51	47							61	51	47	43						
Gold	Partner	49	張風	66	55	51	47							61	51	47	43						
Gold	Partner	50	南宮滅	66	55	51	47							61	51	47	43						
Gold	Partner	51	方勉	66	55	51	47							61	51	47	43						
Gold	Partner	52	唐影	66	55	51	47							61	51	47	43						
Gold	Partner	53	秋依水	66	55	51	47							61	51	47	43						
Gold	Partner	54	天星道長	66	55	51	47							61	51	47	43						
Gold	Partner	55	燕若雪	66	55	51	47							61	51	47	43						
Gold	Partner	56	楊熙烈	66	55	51	47							61	51	47	43						
Gold	Partner	57	上官飛龍	66	55	51	47							61	51	47	43						
Gold	Partner	58	納蘭潛凜	66	55	51	47							61	51	47	43						
Gold	Partner	37	高長恭	0	27	25	23							0	25	23	21						
Gold	Partner	38	哲別	0	27	25	23							0	25	23	21						
Gold	Partner	39	秦良玉	0	27	25	23							0	25	23	21						
Gold	Partner	40	袁承志	0	27	25	23							0	25	23	21						
Gold	Partner	41	鼇拜	0	27	25	23							0	25	23	21						
Gold	Partner	42	韓世忠	0	27	25	23							0	25	23	21						
Gold	Partner	43	赤睛虎皇	0	0	0	23							0	0	0	21						
Gold	Partner	44	撼天熊皇	0	0	0	23							0	0	0	21						
Gold	Partner	45	紫背鱷皇	0	0	0	23							0	0	0	21						
Gold	Partner	46	定海金剛	0	0	25	23							0	0	23	21						
Gold	Partner	47	金翅鵬皇	0	0	25	23							0	0	23	21						
Gold	Partner	48	銀角犀皇（以上是S）	0	0	25	23							0	0	23	21						
Gold	Partner	59	納蘭真	462	462	462	462							370	370	370	370						
Gold	Partner	60	少年楊影楓	462	462	462	462							370	370	370	370						
Gold	Partner	61	楊鐵心	462	462	462	462							370	370	370	370						
Gold	Partner	63	無想	231	231	231	231							185	185	185	185						
Gold	Partner	62	柳瀟庭	231	231	231	231							185	185	185	185						
Gold	Partner	64	李恬兒	231	231	231	231							185	185	185	185						
Gold	Partner	65	李天目	231	231	231	231							185	185	185	185						
Gold	Partner	66	完顏襄	231	231	231	231							185	185	185	185						
Gold	Partner	76	唐瀟	462	462	462	462							370	370	370	370						
Gold	Partner	77	紫軒	462	462	462	462							370	370	370	370						
Gold	Partner	78	薔薇	462	462	462	462							370	370	370	370						
Gold	Partner	79	卓非凡	462	462	462	462							370	370	370	370						
Gold	Partner	80	月明瑤	462	462	462	462							370	370	370	370						
Gold	Partner	81	南宮彩虹	462	462	462	462							370	370	370	370						
Gold	Partner	82	張如夢	462	462	462	462							370	370	370	370						
Gold	Partner	83	張琳心	462	462	462	462							370	370	370	370						
