NpcType	ChatID	Name	ActionID	ActionEvent	ActionLoop	Content
0	1	問好	1	10002	1	在下「$M」，請多指教！
0	2	大笑	2	10002	1	哈哈哈~
0	3	憤怒	3	10002	1	哼~豈有此理！
0	4	跪拜	4	10001	1	是在下輸了！
0	5	乾杯	5	10002	1	來來來~乾杯！
0	6	哭泣	6	10002	1	實在是太過分了，嗚嗚嗚……
0	7	跳舞	7	10002	1	跟著我的音樂，跟著我的節奏，動次打次…動次打次…
2353|2354|2355|2356|2357|2358|2359|2360|2361	1	問好	1	10002	1	在下「$M」，請多指教！
2353|2354|2355|2356|2357|2358|2359|2360|2361	2	大笑	2	10002	1	哈哈哈~
2353|2354|2355|2356|2357|2358|2359|2360|2361	3	跪拜	3	10005	1	是在下輸了！
2353|2354|2355|2356|2357|2358|2359|2360|2361	4	乾杯	5	10002	1	來來來~乾杯！
2353|2354|2355|2356|2357|2358|2359|2360|2361	5	跳舞	6	10002	1	跟著我的音樂，跟著我的節奏，動次打次…動次打次…
2353|2354|2355|2356|2357|2358|2359|2360|2361	6	作揖	7	10002	1	在下「$M」，請多指教！
