ColorID	Red	Green	Blue	Alpha	Des
1	100	100	100	100	場景變暗顏色值
2	8	80	124	255	玩家遮擋顏色
3	88	0	0	255	灼燒紅色
4	0	255	76	255	虛弱綠色
5	250	255	163	255	無陣營時的默認顏色
100	255	146	255	255	幫派陣營，金
101	255	168	94	255	幫派陣營，宋
102	85	255	145	255	幫派陣營，中立
200	255	255	255	255	1級稱號（白）
201	231	255	199	255	2級稱號（綠）Top
202	94	255	81	255	2級稱號（綠）Bottom
203	29	122	0	255	2級稱號（綠）Outline
204	203	255	251	255	3級稱號（藍）Top
205	79	211	255	255	3級稱號（藍）Bottom
206	0	115	229	255	3級稱號（藍）Outline
207	255	240	249	255	4級稱號（紫）Top
208	220	141	255	255	4級稱號（紫）Bottom
209	178	0	255	255	4級稱號（紫）Outline
210	255	255	255	255	5級稱號（粉）Top
211	255	135	170	255	5級稱號（粉）Bottom
212	221	0	105	255	5級稱號（粉）Outline
213	255	255	255	255	6級稱號（橙）Top
214	255	140	88	255	6級稱號（橙）Bottom
215	193	36	0	255	6級稱號（橙）Outline
216	255	255	253	255	7級稱號（金）Top
217	255	206	2	255	7級稱號（金）Bottom
218	197	61	0	255	7級稱號（金）Outline
219	255	255	255	255	特殊稱號（武林精英）Top
220	20	211	18	255	特殊稱號（武林精英）Bottom
221	5	97	0	255	特殊稱號（武林精英）Outline
222	255	250	137	255	特殊稱號（紅霸天下）Top
223	235	32	32	255	特殊稱號（紅霸天下）Bottom
224	131	0	4	255	特殊稱號（紅霸天下）Outline
300	255	39	39	255	秒殺紅色（純色）
301	51	0	0	255	秒殺紅色（描邊）
