nDecorationId	Desc	nType	nMaxPlayerCount	nBufferId	szPlayerPos_1_1	szPlayerExtPos_1_1	szSlot_1_1	szPlayerPos_2_1	szPlayerExtPos_2_1	szSlot_2_1	szPlayerPos_2_2	szPlayerExtPos_2_2	szSlot_2_2	szPlayerPos_3_1	szPlayerExtPos_3_1	szSlot_3_1	szPlayerPos_3_2	szPlayerExtPos_3_2	szSlot_3_2	szPlayerPos_3_3	szPlayerExtPos_3_3	szSlot_3_3
1	松木床		1	2321	0|130			0|130														
2	樺木床		2	2321	-60|160	270|-110|60		-60|160	270|-110|60		85|175	0|60|-130										
3	江楓漁火		2	2321	-60|160	270|-110|60		-60|160	270|-110|60		85|175	0|60|-130										
4	紅鸞棲枝		2	2321	-60|160	270|-110|60		-60|160	270|-110|60		85|175	0|60|-130										
5	金龍戲珠		2	2321	-60|160	270|-110|60		-60|160	270|-110|60		85|175	0|60|-130										
2001	松木浴盆		2	2321	-130|-60	0|-50|10		-130|-60	0|-50|10		80|20	0|-90|-160										
2002	樺木浴盆		2	2321	-130|-60	0|-50|10		-130|-60	0|-50|10		80|20	0|-90|-160										
2003	墨香浴盆		2	2321	-130|-60	0|-50|10		-130|-60	0|-50|10		80|20	0|-90|-160										
2004	鏡花水月		2	2321	-130|-60	0|-50|10		-130|-60	0|-50|10		80|20	0|-90|-160										
2005	瓊瑤碧落		2	2321	-130|-60	0|-50|10		-130|-60	0|-50|10		80|20	0|-90|-160										
501	松木櫥櫃		1	2323	0|0																	
502	樺木櫥櫃		1	2323	0|0																	
503	墨香櫥櫃		1	2323	0|0																	
504	幻彩流光櫥櫃		1	2323	0|0																	
505	紫檀鎏金櫥櫃		1	2323	0|0																	
4501	孩童秋千		2	2321	0|0		z_m01	-80|-70	0|20|120	z_l01	110|10	0|-50|-60	z_r01									
4505	月明花影		2	2321	0|0		z_m01	-80|-70	0|20|120	z_l01	110|10	0|-50|-60	z_r01									
1511	松木長凳		1	2321	0|0		z_m01															
1512	樺木長凳		1	2321	0|0		z_m01															
1513	墨香圓凳		1	2321	0|0		z_m01															
1514	幻彩流光圓凳		1	2321	0|0		z_m01															
1515	紫檀鎏金圓凳		1	2321	0|0		z_m01															
1516	松木椅		1	2321	0|0		z_m01															
1517	核桃木扶手椅		1	2321	0|0		z_m01															
1518	朱丹描金椅		1	2321	0|0		z_m01															
4520	銀石雙人椅		2	2321	0|0		z_m01	-80|-70	0|20|120;90|140|120;180|0|-100	z_l01	110|10	0|-50|-60;90|-80|20;180|90|90	z_r01									
4521	鎏金雙人椅		2	2321	0|0		z_m01	-80|-70	0|20|120;90|140|120;180|0|-100	z_l01	110|10	0|-50|-60;90|-80|20;180|90|90	z_r01									
5001	青石圓凳		1	2321	0|0		z_m01															
10021	結婚-普通椅子		1	2321	0|0		z_m01															
10024	結婚-隆重椅子		1	2321	0|0		z_m01															
10027	結婚-豪華椅子		1	2321	0|0		z_m01															
10013	婚床1	0	2	2321	-60|160	270|-110|60		-60|160	270|-110|60		85|175	0|60|-130										
10013	婚床1	1	2	2321	-60|160	270|-110|60		-60|160	270|-110|60		85|175	0|60|-130										
10013	婚床1	2	2	2321	-60|160	270|-110|60		-60|160	270|-110|60		85|175	0|60|-130										
10013	婚床1	3	2	2321	-60|160	270|-110|60		-60|160	270|-110|60		85|175	0|60|-130										
10014	婚床2	0	2	2321	-60|160	270|-110|60		-60|160	270|-110|60		85|175	0|60|-130										
10014	婚床2	1	2	2321	-60|160	270|-110|60		-60|160	270|-110|60		85|175	0|60|-130										
10014	婚床2	2	2	2321	-60|160	270|-110|60		-60|160	270|-110|60		85|175	0|60|-130										
10014	婚床2	3	2	2321	-60|160	270|-110|60		-60|160	270|-110|60		85|175	0|60|-130										
10015	婚床3	0	2	2321	-60|160	270|-110|60		-60|160	270|-110|60		85|175	0|60|-130										
10015	婚床3	1	2	2321	-60|160	270|-110|60		-60|160	270|-110|60		85|175	0|60|-130										
10015	婚床3	2	2	2321	-60|160	270|-110|60		-60|160	270|-110|60		85|175	0|60|-130										
10015	婚床3	3	2	2321	-60|160	270|-110|60		-60|160	270|-110|60		85|175	0|60|-130										
10016	結婚浴缸1		2	2321	-130|-60	0|-50|10		-130|-60	0|-50|10		80|20	0|-90|-160										
10017	結婚浴缸2		2	2321	-130|-60	0|-50|10		-130|-60	0|-50|10		80|20	0|-90|-160										
10018	結婚浴缸3		2	2321	-130|-60	0|-50|10		-130|-60	0|-50|10		80|20	0|-90|-160										
30000	主座		1	2321	0|0		z_m01															
