nTemplateId	szInfo	szType	szSubType	szResPath	nDepth	nWidth	nLength	nHeight	bCanOperation	bHasObstacle	nBarrierType	szLimitRotation	szScale	bShowDir	nAllowRelation
1	松木床	NormalAddRes	Chuang	Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_chuang01s.prefab	1	13	8	80	1	1		90|180			
2	樺木床	NormalAddRes	Chuang	Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_chuang02s.prefab	1	16	14	80	1	1		90|180			
3	江楓漁火	NormalAddRes	Chuang	Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_chuang03s.prefab	1	16	14	80	1	1		90|180			
4	紅鸞棲枝	NormalAddRes	Chuang	Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_chuang04s.prefab	1	16	16	65	1	1		90|180			
5	金龍戲珠	NormalAddRes	Chuang	Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_chuang05s.prefab	1	19	19	75	1	1		90|180			
501	松木櫥櫃	DoCmd	GuiZi	Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_guizi01_01s.prefab	1	3	6	250	1	1		90|180			
502	樺木櫥櫃	DoCmd	GuiZi	Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_guizi02_01s.prefab	1	3	7	250	1	1		90|180			
503	墨香櫥櫃	DoCmd	GuiZi	Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_guizi03_01s.prefab	1	3	7	250	1	1		90|180			
504	幻彩流光櫥櫃	DoCmd	GuiZi	Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_guizi04_01s.prefab	1	3	7	250	1	1		90|180			
505	紫檀鎏金櫥櫃	DoCmd	GuiZi	Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_guizi05_01s.prefab	1	3	7	250	1	1		90|180			
506	松木書架			Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_guizi01_02s.prefab	1	3	6	250		1		90|180			
