nSectionIdx	nSubSectionIdx	nFubenIndex	szTitle		szUiTypeName	szUiAtlas	nNeedTaskId	nType	bFFHideUi	ExtPosition
1	1	1	雪山古道	經過數月的休養，身體已恢復得差不多了，不知當日究竟是誰痛下毒手，也許事發之地會留下一些線索，所以你決定先行探查一番……	Fuben6_1	UI/Atlas/Fuben/FubenMap_03.prefab	1	1	1	
1	2	2	離憂山	和納蘭真一起來到離憂山找銀絲草，在最後找到被蜂王守護的銀絲草，擊敗蜂王，納蘭真採集銀絲草。	Fuben3_1	UI/Atlas/Fuben/FubenMap_01.prefab	1	1	1	
1	3	3	無憂禁地	非戰：到無憂禁地洞口偷聽到納蘭潛凜和弟子的對話。	Fuben4_3	UI/Atlas/Fuben/FubenMap_01.prefab	1	1	1	400|14050|2900|500|38
1	4	4	離憂山洞	三人一起闖關	Fuben1_3	UI/Atlas/Fuben/FubenMap_01.prefab	1	1	1	
2	1	5	呼嘯棧道	楊影楓出手相助，擊敗圍困姑娘的武林人士及頭目。他們似乎在搶奪什麼東西。	Fuben5_2	UI/Atlas/Fuben/FubenMap_01.prefab	1	1	1	
2	2	6	藏劍山莊	通過莊丁的巡邏，副本最後偷聽到卓非凡與紫軒的對話	Fuben2_4	UI/Atlas/Fuben/FubenMap_01.prefab	1	1	1	
2	3	7	忘憂旅道	聽到飛龍叛徒逼迫月眉兒的對話，明白了彼此的身份，月眉兒由於多日疲累加情緒激動昏了過去。	Fuben5_3	UI/Atlas/Fuben/FubenMap_03.prefab	1	1	1	
2	4	8	心魔陣	在無憂教闖心魔陣。依次擊敗卓非凡、紫軒、納蘭潛凜和納蘭真的幻影，最後擊敗心魔。	Fuben1_1	UI/Atlas/Fuben/FubenMap_01.prefab	1	1	1	
2	5	9	藏劍幽谷	擊敗飛龍堡來攔截的敵人	Fuben8_3	UI/Atlas/Fuben/FubenMap_03.prefab	1	1	1	402|10850|3560|500|102
2	6	10	劍氣峰	揭穿卓非凡的陰謀並擊敗他，偷襲楊影楓時被反手殺死。	Fuben1_4	UI/Atlas/Fuben/FubenMap_01.prefab	1	1	1	402|3000|2800|500|108
3	1	11	天山古道	與紫衣姑娘及其蒼鷹戰鬥，擊敗她後進行劇情對話，被要求送其回家。	Fuben4_4	UI/Atlas/Fuben/FubenMap_01.prefab	1	1	1	403|8200|5180|500|119
3	2	33	修武密地	楊影楓來到落葉谷找孟知秋比武，我得趕去觀摩一番……	Fuben2_4	UI/Atlas/Fuben/FubenMap_01.prefab	1	1	1	
3	3	12	紅葉穀	離開飛龍堡的路上進入副本救下被綁架的女子。	Fuben5_1	UI/Atlas/Fuben/FubenMap_01.prefab	1	1	1	403|15500|11140|500|136
3	4	13	凌絕峰	在凌絕峰對決月眉兒，其不承認抓走真兒。戰鬥最後真兒即時出現，避免了錯殺月眉兒的悲劇。	Fuben3_4	UI/Atlas/Fuben/FubenMap_01.prefab	1	1	1	403|14100|3800|500|141
3	5	14	無憂禁地	與薔薇一起在無憂教禁地救下納蘭真和月眉兒，但是三女卻在門口又被抓走，被告知去摘星樓談談。	Fuben6_4	UI/Atlas/Fuben/FubenMap_03.prefab	1	1	1	495|10000|5400|500|161
3	6	15	摘星地牢	拒絕加入無憂教，救下被關押的紫軒	Fuben3_2	UI/Atlas/Fuben/FubenMap_01.prefab	1	1	1	496|9000|10600|500|170
3	7	16	通天塔	在通天塔救出薔薇	Fuben6_2	UI/Atlas/Fuben/FubenMap_03.prefab	1	1	1	497|8100|6900|500|176
3	8	17	悲魔山莊	在四女的觀戰下於悲魔山莊擊敗納蘭潛凜，其臨死前，希望楊影楓好好照顧納自己的女兒	Fuben7_3	UI/Atlas/Fuben/FubenMap_03.prefab	1	1	1	404|15600|9400|500|187
4	1	18	衡山腳下	在盧青滿懷感慨的訴說下，你仿佛回到了數十年前，那個獨孤劍痛失師尊，尋找血書為師傅復仇的雨夜……	Fuben5_4	UI/Atlas/Fuben/FubenMap_03.prefab	1	1	1	
4	2	19	九猴洞	欲上華山，先過九猴。昔日為華山派用於鍛煉弟子的天然猴洞，如今早已不復當年模樣，	Fuben7_2	UI/Atlas/Fuben/FubenMap_03.prefab	1	1	1	487|2100|5600|500|198
