nFubenIndex	Tips	Npc	Tips1	szFubenTitle	szDesc	nNormalRecommendEdge	nEliteRecommendEdge	nTimeLimite	szNormalTime	szEliteTime	nNeedLevel	nMapTemplateId	nNormalGatherPoint	nEliteGatherPoint	nNormalFreeTimes	nEliteFreeTimes	szLeaveFubenPos
1	1、1		雪山古道		重傷初愈，決定出去活動一下筋骨	0	0	300	0	0	1	20	0	0	999	999	
2	1、2		離憂山		你陪同納蘭真來到離憂山採集銀絲草	0	0	300	0	0	1	21	0	0	999	999	
3	1、3		無憂禁地		在納蘭真的請求下，你們來到了無憂禁地入口處	0	0	300	0	0	1	22	0	0	999	999	400|8150|7250
4	1、4		離憂山洞		納蘭真說起兒時玩耍的山洞，她帶領大家來到此處	0	0	300	0	0	1	23	0	0	999	999	499|5400|2250
5	2、1		呼嘯棧道		楊影楓決定離開忘憂島回中原找紫軒，這一日來到了一處山腳下……	0	0	300	0	0	1	24	0	0	999	999	
6	2、2		藏劍山莊		你來到藏劍山莊，打算探查一番	0	0	300	0	0	1	25	0	0	999	999	
7	2、3		忘憂旅道		楊影楓心灰意冷，決定返回忘憂島，途中來到一處斷崖……	0	0	300	0	0	1	26	0	0	999	999	
8	2、4		心魔陣		聽從納蘭潛凜的建議，進入無憂教的心魔陣鍛煉心智	0	0	300	0	0	1	27	0	0	999	999	
9	2、5		藏劍幽谷		前往藏劍山莊的途中，似乎有一些不太平……	0	0	300	0	0	1	28	0	0	999	999	
10	2、6		劍氣峰		跟隨楊影楓依約來到劍氣峰，找卓非凡作個了斷	0	0	300	0	0	1	29	0	0	999	999	
11	3、1		天山古道		紫衣姑娘要求與你們比武……	0	0	300	0	0	1	30	0	0	999	999	403|5700|7770
12	3、3		紅葉穀		離開飛龍堡，回悲魔山莊的路上，你們來到一處山谷	0	0	300	0	0	1	31	0	0	999	999	403|5400|12000
13	3、4		凌絕峰		同意月眉兒的邀約，來到了凌絕峰……	0	0	300	0	0	1	32	0	0	999	999	498|6600|3000
14	3、5		無憂禁地		你們打算去無憂禁地救出納蘭真和月眉兒	0	0	300	0	0	1	33	0	0	999	999	
15	3、6		摘星地牢		納蘭真、月眉兒及薔薇被關押在摘星樓，你們來到了其下的地牢中……	0	0	300	0	0	1	34	0	0	999	999	
16	3、7		通天塔		月眉兒告知薔薇被關在通天塔，於是你們來到了此處……	0	0	300	0	0	1	35	0	0	999	999	
17	3、8		悲魔山莊		納蘭潛凜要求去悲魔山莊的練武場了結這段恩怨……	0	0	300	0	0	1	36	0	0	999	999	498|5340|8560
18	4、1	盧青	衡山腳下		盧青緩緩說起幾十年前的那一天：獨孤劍在衡山腳下尋找血書……	0	0	300	0	0	1	37	0	0	999	999	486|2750|5350
19	4、2	無	九猴洞		欲上武夷，先過九猴。昔日為武夷派用於練武的天然猴洞，早已不復當年模樣	0	0	300	0	0	1	38	0	0	999	999	487|6200|6500
20	4、3	公孫惜花	福緣莊		公孫惜花一臉神往，興奮地談起獨孤劍與張如夢在酒樓聯手懲處路達	0	0	300	0	0	1	39	0	0	999	999	
21	4、4	老王	碧霞島		老王說起了獨孤劍在碧霞島救下張琳心的故事……	0	0	300	0	0	1	40	0	0	999	999	
22	4、5	賈老實	臨安城東		賈老實回憶當年獨孤劍與張如夢為前代恩怨，在臨安城外動起了手	0	0	300	0	0	1	41	0	0	999	999	
23	5、1	張林	武夷派		張林回憶起獨孤劍幫助武夷派清除入侵的五色教弟子，救下了自己	0	0	300	0	0	1	42	0	0	999	999	488|7500|9400
24	5、2	張林	武夷禁地		張林想起了獨孤劍在武夷派禁地救下掌門柳中原……	0	0	300	0	0	1	43	0	0	999	999	489|2160|960
25	5、3	段芙蓉	臨安驛道		段芙蓉回憶獨孤劍與張琳心聯手擊退重傷的南宮滅，救下張風的往事	0	0	300	0	0	1	44	0	0	999	999	490|2350|6730
26	5、4	李樵夫	暗影竹林		李樵夫講述了張如夢如何擒下姚公子……	0	0	300	0	0	1	45	0	0	999	999	
27	5、5	李樵夫	幽暗地牢		李樵夫回憶起獨孤劍在監獄中救下自己和天王右使楊湖	0	0	300	0	0	1	46	0	0	999	999	
28	6、1	華山弟子	長安郊外		華山弟子講起獨孤劍和張琳心抓住林對兒的往事	0	0	300	0	0	1	47	0	0	999	999	
29	6、2	華山長老	華山派		華山長老回憶起當年獨孤劍戳穿林海的陰謀，拯救華山派於水火之中	0	0	300	0	0	1	48	0	0	999	999	
30	6、3	無智大師	少林幽谷		無智大師緩緩談起當年獨孤劍幫助少林派揭穿叛徒無相的陰謀	0	0	300	0	0	1	49	0	0	999	999	
31	6、4	嚴將軍	古戰場		嚴將軍敬畏地談起獨孤劍孤身入金營，勸服陸文龍的往事	0	0	300	0	0	1	50	0	0	999	999	479|5400|1650
32	6、5	嚴將軍	蕭瑟戰場		嚴將軍心有餘悸地回憶起獨孤劍危急時刻，以天魔解體大法誅殺南宮滅	0	0	300	0	0	1	51	0	0	999	999	
33	3、2		修武密地		楊影楓來到落葉谷找孟知秋比武，我得趕去觀摩一番……	0	0	300	0	0	1	52	0	0	999	999	
34	7、1	顧清雪	天山淒道		顧清雪清冷的聲音在講述張琳心上山求藥這件往事的時候，竟罕有地流露出一絲嚮往的神色，讓人不自覺的好奇起來……	0	0	300	0	0	1	53	0	0	999	999	
35	7、2	阿邦	洞庭迷宮		阿邦略帶沙啞的聲音聽起來更顯得這些過往的滄桑與斑駁……	0	0	300	0	0	1	54	0	0	999	999	
36	7、3	阿邦	天王校場		阿邦饒有興致的跟你說起當年楊瑛幫主與獨孤劍攜手抗敵的舊事……	0	0	300	0	0	1	55	0	0	999	999	
37	7、4	楊瑛	五色老巢		楊瑛興致勃勃的說著昔日與獨孤劍如何勇闖方家莊	0	0	300	0	0	1	56	0	0	999	999	
38	7、5	楊瑛	三魔絕地		楊瑛講起當年獨孤劍冒險為自己奪取解藥時，聲音既是欣喜，又是黯然。	0	0	300	0	0	1	57	0	0	999	999	
39	7、6	楊瑛	悲泣荒穀		楊瑛不懷好意的說起當年張如夢與南宮彩虹在大漠邊緣私定終身，浪跡天涯的故事……	0	0	300	0	0	1	58	0	0	999	999	
40	7、7	獨孤劍	鳳凰山		獨孤劍滄桑而又低沉的說起當年張琳心為了救自己，被打下山崖的悲傷往事……	0	0	300	0	0	1	59	0	0	999	999	
41	8、1	顧清雪	狂風穀			0	0	300	0	0	1	60	0	0	999	999	
42	8、2	阿邦	葬馬崗			0	0	300	0	0	1	61	0	0	999	999	
43	8、3	阿邦	府衙密室			0	0	300	0	0	1	62	0	0	999	999	
44	8、4	楊瑛	風雪山莊			0	0	300	0	0	1	63	0	0	999	999	
45	8、5	楊瑛	唐門幽徑			0	0	300	0	0	1	64	0	0	999	999	
46	9、1		密洞洞天		根據玄天道人的指點，你來到了一處神秘幽暗的洞穴，其中卻又隱隱約約透著一絲光亮，似乎在告訴你這是你唯一的出路……	0	0	3000	0	0	1	6001	0	0	999	999	
47	9、2		密洞洞天		再次回到這裡，仿佛柳暗花明又一村，才發現這此處一切的佈置都是為了引出你的心魔，戰勝它！方可踏足經脈修煉之路！	0	0	3000	0	0	1	6002	0	0	999	999	
