ClassName	X	Y
shibing	7008	10943
zhiyin1	6646	10409
zhiyin2	6588	9406
action1	6557	8735
zhiyin4	6589	6959
action2	6530	5923
men	6726	6541
men	6380	6528
qinggong	6162	4693
jinbing1_1	6753	7791
jinbing1_1	6557	7787
jinbing1_1	6432	7787
jinbing1_1	6448	7607
jinbing1_1	6590	7599
jinbing1_2	6765	7599
sishi1_1	6266	7763
sishi1_1	6258	7580
sishi1_2	6825	7739
sishi1_2	6829	7580
jinbing2_1	6303	5451
jinbing2_1	6547	5451
jinbing2_1	6763	5435
jinbing2_1	6183	5219
jinbing2_1	6829	5190
jinbing2_1	6257	4995
jinbing2_2	6780	4991
sishi2_1	6033	5414
sishi2_1	6046	5049
sishi2_2	6950	5397
sishi2_2	6925	5017
sishi2_3	6345	4868
sishi2_3	6639	4855
jiangjun	6510	5219
zhuofeifan	6512	5056
zhuofeifan1	7730	2687
boss	7513	2221
zhiyin3	6539	7991
action3	7536	3017
