szType	nLevel	nPreferential	szParam	nLight	nCalendarId	bShowTicket	szIconAltas	szIconSprite	szName	szDesc	
Level	10		15				UI/Atlas/Item/Item/Item3.prefab	horse_lv1	坐騎	15級可獲得	nPreferential：顯示的優先順序，越大優先順序越高
Level	15		18				UI/Atlas/Home/HomeScreenAtlas.prefab	touxian_01	頭銜	18級可獲得	
Level	18		20				UI/Atlas/NewAtlas/Equipment/WudangEquipment02.prefab	WD_Weapon_T2_Q1	紫色武器	20級可獲得	
Level	20		24				UI/Atlas/NewAtlas/Icon/ActivityIcon/ActivityIcon.prefab	songjinzhanchang	宋金戰場	24級可參加	
Level	24		27				UI/Atlas/Item/Item/Item.prefab	WuDaoDeJing	武道德經(技能點)	27級可獲得	
Level	27		30				UI/Atlas/NewAtlas/Icon/ActivityIcon/ActivityIcon.prefab	yewaishouling	野外首領	30級可參與爭奪	
OpenServer	24	1	1;18:00-20:45		3		UI/Atlas/NewAtlas/Icon/ActivityIcon/ActivityIcon.prefab	songjinzhanchang	宋金戰場	今晚20:30	nCalendarId：點擊事件，目前只支持點擊跳到日曆
PreView	30	1	8:00-21:00		27		UI/Atlas/NewAtlas/Icon/ActivityIcon/ActivityIcon.prefab	menpaijingji	門派競技	今晚21:00	
PreView	30	1	21:00-21:05	1	27		UI/Atlas/NewAtlas/Icon/ActivityIcon/ActivityIcon.prefab	menpaijingji	門派競技	正在報名	
PreView	30	1	8:00-21:00		26	1	UI/Atlas/NewAtlas/Icon/ActivityIcon/ActivityIcon.prefab	zhaixinglou	通天塔	今晚21:00	bShowTicket: 是否顯示資格賽門票
PreView	30	1	21:00-21:05	1	26	1	UI/Atlas/NewAtlas/Icon/ActivityIcon/ActivityIcon.prefab	zhaixinglou	通天塔	正在報名	
PreView	20	1	8:00-21:00		33		UI/Atlas/NewAtlas/Icon/ActivityIcon/ActivityIcon.prefab	lingtuzhan	攻城戰	今晚21:00	
PreView	20	1	21:00-21:05	1	33		UI/Atlas/NewAtlas/Icon/ActivityIcon/ActivityIcon.prefab	lingtuzhan	攻城戰	正在報名	
PreView	20	1	8:00-21:00		30		UI/Atlas/NewAtlas/Icon/ActivityIcon/ActivityIcon.prefab	jiazushilian	幫派試煉	今晚21:00	
PreView	20	1	21:00-21:05	1	30		UI/Atlas/NewAtlas/Icon/ActivityIcon/ActivityIcon.prefab	jiazushilian	幫派試煉	正在報名	
PreView	80	1	8:00-21:00		11		UI/Atlas/NewAtlas/Icon/ActivityIcon/ActivityIcon.prefab	qunyinghui	群英會	今晚21:00	
PreView	80	1	21:00-21:05	1	11		UI/Atlas/NewAtlas/Icon/ActivityIcon/ActivityIcon.prefab	qunyinghui	群英會	正在報名	
PreView	30	2	15:25-15:35	1	12		UI/Atlas/NewAtlas/Icon/ActivityIcon/ActivityIcon.prefab	lidaimingjiang	歷代名將	正在進行	
PreView	30	2	21:55-22:05	1	12		UI/Atlas/NewAtlas/Icon/ActivityIcon/ActivityIcon.prefab	lidaimingjiang	歷代名將	正在進行	
PreView	60	1	21:05-21:30		35		UI/Atlas/NewAtlas/Icon/ActivityIcon/ActivityIcon.prefab	huashanlunjian	華山論劍	今晚21:30	
PreView	60	1	21:30-21:55		35		UI/Atlas/NewAtlas/Icon/ActivityIcon/ActivityIcon.prefab	huashanlunjian	華山論劍	正在比賽	
PreView	20	1	21:05-21:30		36		UI/Atlas/NewAtlas/Icon/ActivityIcon/ActivityIcon.prefab	huashanlunjian	華山論劍-決賽	今晚21:30	
PreView	20	1	21:30-21:45		36		UI/Atlas/NewAtlas/Icon/ActivityIcon/ActivityIcon.prefab	huashanlunjian	華山論劍-決賽	正在比賽	
PreView	60	1	21:55-22:05	1	38		UI/Atlas/NewAtlas/Icon/ActivityIcon/ActivityIcon.prefab	qinshihuangling	始皇降世	正在進行	
PreView	80	1	21:55-22:05	1	45		UI/Atlas/NewAtlas/Icon/ActivityIcon/ActivityIcon.prefab	nvdiyizhong	女帝復蘇	正在進行	
ByServer	24	2	BattleCross	1	3		UI/Atlas/NewAtlas/Icon/ActivityIcon/ActivityIcon.prefab	songjinzhanchang		正在進行	
ByServer	24	2	BattleHundred	1	3		UI/Atlas/NewAtlas/Icon/ActivityIcon/ActivityIcon.prefab	songjinzhanchang		正在進行	
ByServer	24	2	BattleMonth	1	3	1	UI/Atlas/NewAtlas/Icon/ActivityIcon/ActivityIcon.prefab	songjinzhanchang		正在進行	
ByServer	24	2	BattleSeason	1	3	1	UI/Atlas/NewAtlas/Icon/ActivityIcon/ActivityIcon.prefab	songjinzhanchang		正在進行	
ByServer	24	2	BattleYear	1	3	1	UI/Atlas/NewAtlas/Icon/ActivityIcon/ActivityIcon.prefab	songjinzhanchang		正在進行	
ActShow	20	2	DaXueZhang;13:30-13:44		43		UI/Atlas/NewAtlas/Icon/ActivityIcon/ActivityIcon.prefab	daxuezhang	打雪仗	正在進行	szParam說明：第一個參數為活動Type，第二個參數為時間範圍，中間用";""隔開"
ActShow	20	2	DaXueZhang;16:00-16:14		43		UI/Atlas/NewAtlas/Icon/ActivityIcon/ActivityIcon.prefab	daxuezhang	打雪仗	正在進行	szParam說明：第一個參數為活動Type，第二個參數為時間範圍，中間用";""隔開"
