Level	FightPower
1	0
2	0
3	0
4	0
5	500
6	500
7	500
8	500
9	500
10	500
11	500
12	500
13	500
14	500
15	500
16	500
17	1000
18	1000
19	1000
20	2600
21	2700
22	2700
23	2800
24	2800
25	2800
26	2800
27	2800
28	2800
29	3300
30	7400
31	7400
32	7400
33	7400
34	7400
35	7400
36	8800
37	8800
38	8800
39	8800
40	19825
41	19825
42	19825
43	19825
44	19825
45	19825
46	19825
47	19825
48	19825
49	19825
50	32550
51	32550
52	32550
53	32550
54	32550
55	32550
56	32550
57	32550
58	32550
59	32550
60	37750
61	37750
62	37750
63	37750
64	37750
65	37750
66	37750
67	37750
68	37750
69	37750
70	52200
71	52200
72	52200
73	52200
74	52200
75	52200
76	52200
77	52200
78	52200
79	52200
80	58800
81	58800
82	58800
83	58800
84	58800
85	58800
86	58800
87	58800
88	58800
89	58800
90	65400
91	65400
92	65400
93	65400
94	65400
95	65400
96	65400
97	65400
98	65400
99	65400
100	72000
101	72000
102	72000
103	72000
104	72000
105	72000
106	72000
107	72000
108	72000
109	72000
110	72000
111	125925
112	125925
113	125925
114	125925
115	125925
116	125925
117	125925
118	125925
119	125925
120	125925
121	200000
122	200000
123	200000
124	200000
125	200000
126	200000
127	200000
128	200000
129	200000
130	200000
