Level	FightPower
1	0
2	20
3	40
4	60
5	90
6	180
7	300
8	420
9	580
10	820
11	1060
12	1300
13	1660
14	1900
15	2140
16	2380
17	2740
18	2980
19	3220
20	3460
21	3700
22	3940
23	4180
24	4420
25	4660
26	4900
27	5260
28	5620
29	5980
30	7420
31	7780
32	8140
33	8500
34	9000
35	9500
36	10000
37	10500
38	11000
39	11500
40	13500
41	14800
42	16100
43	16750
44	17400
45	18050
46	18700
47	19350
48	20000
49	20800
50	21600
51	22400
52	23200
53	24000
54	24800
55	25600
56	26400
57	27200
58	28000
59	29000
60	31000
61	33000
62	35000
63	37000
64	39200
65	40400
66	41600
67	42800
68	44000
69	45200
70	46400
71	47600
72	48800
73	50000
74	51500
75	53000
76	54500
77	56000
78	57500
79	59000
80	69000
81	71000
82	73000
83	75000
84	77000
85	79000
86	81000
87	83000
88	85000
89	88000
90	91000
91	94000
92	97000
93	100000
94	103000
95	106000
96	109000
97	112000
98	115000
99	120000
100	125000
101	125000
102	125000
103	125000
104	125000
105	125000
106	125000
107	125000
108	125000
109	125000
110	125000
111	125000
112	125000
113	125000
114	125000
115	125000
116	125000
117	125000
118	125000
119	125000
120	125000
121	125000
122	125000
123	125000
124	125000
125	125000
126	125000
127	125000
128	125000
129	125000
130	125000
