Level	FightPower
1	500
2	500
3	500
4	500
5	500
6	500
7	500
8	500
9	500
10	500
11	500
12	500
13	500
14	500
15	500
16	500
17	500
18	500
19	500
20	1800
21	1800
22	3100
23	3100
24	4400
25	4400
26	5700
27	5700
28	7000
29	7000
30	8300
31	8300
32	9600
33	9600
34	10900
35	10900
36	12200
37	12200
38	13500
39	13500
40	16200
41	18900
42	21600
43	24300
44	27000
45	29700
46	32400
47	35100
48	37800
49	40500
50	41850
51	43200
52	44550
53	45900
54	47250
55	48600
56	49950
57	51300
58	52650
59	54000
60	64600
61	75200
62	85800
63	96400
64	107000
65	117600
66	128200
67	138800
68	149400
69	160000
70	192000
71	224000
72	256000
73	288000
74	320000
75	352000
76	384000
77	416000
78	448000
79	480000
80	492000
81	504000
82	516000
83	528000
84	540000
85	552000
86	564000
87	576000
88	588000
89	600000
90	612000
91	624000
92	636000
93	648000
94	660000
95	672000
96	684000
97	696000
98	708000
99	720000
100	720000
101	756000
102	792000
103	828000
104	864000
105	900000
106	936000
107	972000
108	1008000
109	1044000
110	1080000
111	1080000
112	1080000
113	1080000
114	1080000
115	1080000
116	1080000
117	1080000
118	1080000
119	1080000
120	1080000
121	1080000
122	1080000
123	1080000
124	1080000
125	1080000
126	1080000
127	1080000
128	1080000
129	1080000
130	1080000
