Level	FightPower
1	520
2	520
3	520
4	520
5	520
6	520
7	520
8	520
9	520
10	1100
11	1100
12	1100
13	1100
14	1100
15	2900
16	2900
17	2900
18	2900
19	2900
20	5800
21	5800
22	6380
23	6380
24	7540
25	7540
26	8120
27	8120
28	9280
29	9280
30	11020
31	11020
32	12180
33	12180
34	12760
35	12760
36	13920
37	13920
38	14500
39	14500
40	19540
41	20548
42	22564
43	23572
44	25588
45	28612
46	30628
47	31636
48	33652
49	34660
50	45460
51	47620
52	51940
53	54100
54	58420
55	64900
56	69220
57	71380
58	75700
59	77860
60	98020
61	102052
62	110116
63	114148
64	122212
65	134308
66	142372
67	146404
68	154468
69	158500
70	201700
71	210340
72	227620
73	236260
74	253540
75	279460
76	296740
77	305380
78	322660
79	331300
80	419045
81	436594
82	471692
83	489241
84	524339
85	576986
86	612084
87	629633
88	664731
89	682280
90	870320
91	907928
92	983144
93	1020752
94	1095968
95	1208792
96	1284008
97	1321616
98	1396832
99	1434440
100	1434440
101	1434440
102	1434440
103	1434440
104	1434440
105	1434440
106	1434440
107	1434440
108	1434440
109	1434440
110	1722440
111	1780040
112	1895240
113	1952840
114	2068040
115	2240840
116	2356040
117	2413640
118	2528840
119	2586440
120	2586440
121	2586440
122	2586440
123	2586440
124	2586440
125	2586440
126	2586440
127	2586440
128	2586440
129	2586440
130	2586440
