BaseId	SubId	DetailId	Name	Desc	Icon	IconAtlas	Stars	Level	TimeFrame	Action
1			我要變強							
1		1	裝備洗練	equip	bq_zhuangbeixilian	UI/Atlas/Home/HomeScreenAtlas.prefab		6		Ui:OpenWindow('ItemBox', 'TogEquip')
1		2	裝備強化	strengthen	bq_zhuangbeiqianghua	UI/Atlas/Home/HomeScreenAtlas.prefab		12		Ui:OpenWindow('StrengthenPanel','Strengthen')
1		3	裝備鑲嵌	stone	bq_zhuangbeixiangqian	UI/Atlas/Home/HomeScreenAtlas.prefab		20		Ui:OpenWindow('StrengthenPanel','Inset')
1		4	同伴	partner	bq_tongbanshangzhen	UI/Atlas/Home/HomeScreenAtlas.prefab		9		Ui:OpenWindow('Partner', 'CardPickingPanel')
1		5	頭銜	honor	touxian_01	UI/Atlas/Home/HomeScreenAtlas.prefab		18		Ui:OpenWindow('HonorLevelPanel')
1		6	家園	house	bq_jiayuan	UI/Atlas/Home/HomeScreenAtlas.prefab		60	OpenDay33	House:GotoOwnHouse()
1		7	真元	zhenyuan	bq_zhenyuan	UI/Atlas/Home/HomeScreenAtlas.prefab		60	OpenLevel69	House:GotoOwnHouse()
2			我要經驗							
2		1	主/支線任務	完成主/支線任務有機會獲得大量經驗	guanqiatansuo	UI/Atlas/NewAtlas/Icon/ActivityIcon/ActivityIcon.prefab	5	1		Ui:OpenWindow('Task',Task.TASK_TYPE_MAIN)
2		2	野外修煉	在野外掛機，開啟修煉狀態可得大量經驗	yewaixiulian	UI/Atlas/NewAtlas/Icon/ActivityIcon/ActivityIcon.prefab	5	24		Ui:OpenWindow('ItemBox', 'TogNormal', 1422)
2		3	幫派傳功	幫派成員之間進行傳功，可以獲得大量經驗	jiazuchuangong	UI/Atlas/NewAtlas/Icon/ActivityIcon/ActivityIcon.prefab	5	15	OpenDay2	Ui:OpenWindow('CalendarPanel',1,15)
2		4	組隊秘境	參與組隊秘境，可以獲得大量經驗	zuduimijing	UI/Atlas/NewAtlas/Icon/ActivityIcon/ActivityIcon.prefab	4	15		Ui:OpenWindow('TeamFubenPanel')
2		5	凌絕峰	挑戰凌絕峰，可以獲得大量經驗	lingjuefeng	UI/Atlas/NewAtlas/Icon/ActivityIcon/ActivityIcon.prefab	4	30	OpenDay2	Ui:OpenWindow('CalendarPanel',1,10)
2		6	幫派烤火	參加幫派聚集烤火時，可獲得大量經驗	jiazujuji	UI/Atlas/NewAtlas/Icon/ActivityIcon/ActivityIcon.prefab	4	11		Ui:OpenWindow('CalendarPanel',1,18)
2		7	每日目標	完成每日目標，達成越多，獲得經驗越多	meiridati	UI/Atlas/NewAtlas/Icon/ActivityIcon/ActivityIcon.prefab	4	20		Ui:OpenWindow('CalendarPanel',3)"
3			我要裝備							
3	1		武器							
3	1	1	歷代名將	挑戰歷代名將有機會獲得	lidaimingjiang	UI/Atlas/NewAtlas/Icon/ActivityIcon/ActivityIcon.prefab	5	30	OpenDay4	Ui:OpenWindow('BossLeaderPanel','Boss')
3	1	2	幫派兵甲坊	在幫派兵甲坊中可以購買	jiazurenwu	UI/Atlas/NewAtlas/Icon/ActivityIcon/ActivityIcon.prefab	4	11		Ui:OpenWindow('KinDetailPanel','FamilyBuilding')
3	2		帽子							
