nFurnitureTemplateId	Desc	nType	nLevel	nDecorationId	nIsHouse
1	松木床	1	1	1	1
2	樺木床	1	2	2	1
3	江楓漁火	1	3	3	1
4	紅鸞棲枝	1	4	4	1
5	金龍戲珠	1	5	5	1
501	松木櫥櫃	2	1	501	1
502	樺木櫥櫃	2	2	502	1
503	墨香櫥櫃	2	3	503	1
504	幻彩流光櫥櫃	2	4	504	1
505	紫檀鎏金櫥櫃	2	5	505	1
506	松木書架	2	1	506	1
507	樺木書架	2	2	507	1
508	墨香書架	2	3	508	1
509	幻彩流光書架	2	4	509	1
510	紫檀鎏金書架	2	5	510	1
511	松木博古架	2	1	511	1
512	樺木博古架	2	2	512	1
513	墨香博古架	2	3	513	1
514	幻彩流光博古架	2	4	514	1
515	紫檀鎏金博古架	2	5	515	1
516	松木雜物架	2	1	516	1
517	樺木雜物架	2	2	517	1
518	墨香雜物架	2	3	518	1
519	幻彩流光雜物架	2	4	519	1
520	紫檀鎏金雜物架	2	5	520	1
521	松木多寶格	2	1	521	1
522	樺木多寶格	2	2	522	1
523	墨香多寶格	2	3	523	1
524	幻彩流光多寶格	2	4	524	1
525	紫檀鎏金多寶格	2	5	525	1
526	松木小方櫃	2	1	526	1
527	樺木小方櫃	2	2	527	1
528	墨香小方櫃	2	3	528	1
529	幻彩流光小方櫃	2	4	529	1
530	紫檀鎏金小方櫃	2	5	530	1
1001	松木方桌	3	1	1001	2
1002	樺木方桌	3	2	1002	2
1003	墨香圓桌	3	3	1003	2
1004	幻彩流光圓桌	3	4	1004	2
1005	紫檀鎏金圓桌	3	5	1005	2
1006	松木案	3	1	1006	1
1007	樺木案	3	2	1007	1
1008	墨香案	3	3	1008	1
1009	幻彩流光案	3	4	1009	1
1010	紫檀鎏金案	3	5	1010	1
1011	松木方案	3	1	1011	1
1012	樺木方案	3	2	1012	1
1013	墨香方案	3	3	1013	1
1014	幻彩流光方案	3	4	1014	1
1015	紫檀鎏金方案	3	5	1015	1
1016	松木翹頭案	3	1	1016	2
1017	樺木翹頭案	3	2	1017	2
1018	墨香翹頭案	3	3	1018	2
1019	幻彩流光翹頭案	3	4	1019	2
1020	紫檀鎏金翹頭案	3	5	1020	2
1021	松木盆景架	3	1	1021	1
1022	樺木盆景架	3	2	1022	1
1023	墨香盆景架	3	3	1023	1
1024	幻彩流光盆景架	3	4	1024	1
1025	紫檀鎏金盆景架	3	5	1025	1
1026	松木棋盤	3	1	1026	2
1027	樺木棋盤	3	2	1027	2
1028	墨香棋盤	3	3	1028	2
1029	幻彩流光棋盤	3	4	1029	2
1030	紫檀鎏金棋盤	3	5	1030	2
1501	稻禾蒲團	4	1	1501	1
1502	筍殼蒲團	4	2	1502	1
1503	紫羅蘭	4	3	1503	1
1504	冷玉琅繯	4	4	1504	1
1505	紫玉成煙	4	5	1505	1
1506	粗麻方墊	4	1	1506	1
1507	棉質方墊	4	2	1507	1
1508	幽芳	4	3	1508	1
1509	紅塵客夢	4	4	1509	1
1510	金蘭	4	5	1510	1
1511	松木長凳	4	1	1511	2
1512	樺木長凳	4	2	1512	2
1513	墨香圓凳	4	3	1513	2
1514	幻彩流光圓凳	4	4	1514	2
1515	紫檀鎏金圓凳	4	5	1515	2
1516	松木椅	4	1	1516	2
1517	核桃木扶手椅	4	3	1517	2
1518	朱丹描金椅	4	5	1518	2
2001	松木浴盆	5	1	2001	1
2002	樺木浴盆	5	2	2002	1
2003	墨香浴盆	5	3	2003	1
2004	鏡花水月	5	4	2004	1
2005	瓊瑤碧落	5	5	2005	1
2501	虎嘯山林	6	4	2501	1
2502	飛熊入夢	6	5	2502	1
2503	星懸長空（中）	6	2	2503	1
2504	海枯石爛（中）	6	3	2504	1
2505	火鳳金鸞地衣（中）	6	4	2505	1
2506	金榜提名（中）	6	5	2506	1
2507	星懸長空（大）	6	2	2507	1
2508	海枯石爛（大）	6	3	2508	1
2509	火鳳金鸞地衣（大）	6	4	2509	1
2510	金榜提名（大）	6	5	2510	1
2511	幻彩流光地衣（中）	6	4	2511	1
