nFurnitureItemId	IS_NEW	Desc	nWorldMsg	nKinMsg	nScale	nPX	nPY	nPZ	nRX	nRY	nRZ	szCost1	szCost2	szCost3	szCost4	szCost5
4058		松木床			0.3	0.5	98	8	-13	-41	12	Contrib|1200	Item|4296|6	Item|4301|6		
4059		樺木床			0.3	0.5	126	8	-13	-41	12	Contrib|3000	Item|4297|6	Item|4302|6		
4060		江楓漁火		702	0.3	0.5	126	8	-13	-41	12	Contrib|6000	Item|4298|6	Item|4303|6		
4061		紅鸞棲枝		702	0.3	0.5	98	8	-13	-41	12	Contrib|16000	Item|4299|8	Item|4304|8		
4062		金龍戲珠		702	0.3	0.5	98	8	-13	-41	12	Contrib|32000	Item|4300|8	Item|4305|8		
4063		松木櫥櫃			0.35	0	45	0.4	-8	-61	15	Contrib|600	Item|4296|3	Item|4311|3		
4064		樺木櫥櫃			0.35	0	45	0.4	-8	-61	15	Contrib|1500	Item|4297|3	Item|4312|3		
4065		墨香櫥櫃			0.35	0	45	0.4	-8	-61	15	Contrib|3000	Item|4298|3	Item|4313|3		
4066		幻彩流光櫥櫃		702	0.35	0	45	0.4	-8	-61	15	Contrib|6000	Item|4299|3	Item|4314|3		
4068		紫檀鎏金櫥櫃		702	0.35	0	45	0.4	-8	-61	15	Contrib|12000	Item|4300|3	Item|4315|3		
4067		松木書架			0.35	0	45	0.4	-8	-61	15	Contrib|600	Item|4296|3	Item|4311|3		
4069		樺木書架			0.35	0	45	0.4	-8	-61	15	Contrib|1500	Item|4297|3	Item|4312|3		
4070		墨香書架			0.35	0	45	0.4	-8	-61	15	Contrib|3000	Item|4298|3	Item|4313|3		
4071		幻彩流光書架		702	0.35	0	45	0.4	-8	-61	15	Contrib|6000	Item|4299|3	Item|4314|3		
4072		紫檀鎏金書架		702	0.35	0	45	0.4	-8	-61	15	Contrib|12000	Item|4300|3	Item|4315|3		
4073		松木博古架			0.35	0	45	0.4	-8	-61	15	Contrib|600	Item|4296|3	Item|4311|3		
4074		樺木博古架			0.35	0	45	0.4	-8	-61	15	Contrib|1500	Item|4297|3	Item|4312|3		
4075		墨香博古架			0.35	0	45	0.4	-8	-61	15	Contrib|3000	Item|4298|3	Item|4313|3		
4076		幻彩流光博古架		702	0.35	0	45	0.4	-8	-61	15	Contrib|6000	Item|4299|3	Item|4314|3		
4077		紫檀鎏金博古架		702	0.35	0	45	0.4	-8	-61	15	Contrib|12000	Item|4300|3	Item|4315|3		
4078		松木雜物架			0.35	0	45	1.8	13	-157	7	Contrib|600	Item|4296|3	Item|4311|3		
4079		樺木雜物架			0.35	0	45	1.8	13	-157	7	Contrib|1500	Item|4297|3	Item|4312|3		
4080		墨香雜物架			0.35	0	45	1.8	13	-157	7	Contrib|3000	Item|4298|3	Item|4313|3		
4081		幻彩流光雜物架		702	0.35	0	45	1.8	13	-157	7	Contrib|6000	Item|4299|3	Item|4314|3		
4082		紫檀鎏金雜物架		702	0.35	0	45	1.8	13	-157	7	Contrib|12000	Item|4300|3	Item|4315|3		
4083		松木多寶格			0.35	0	45	1.8	13	-157	7	Contrib|600	Item|4296|3	Item|4311|3		
4084		樺木多寶格			0.35	0	45	1.8	13	-157	7	Contrib|1500	Item|4297|3	Item|4312|3		
4085		墨香多寶格			0.35	0	45	1.8	13	-157	7	Contrib|3000	Item|4298|3	Item|4313|3		
4086		幻彩流光多寶格		702	0.35	0	45	1.8	13	-157	7	Contrib|6000	Item|4299|3	Item|4314|3		
4087		紫檀鎏金多寶格		702	0.35	0	45	1.8	13	-157	7	Contrib|12000	Item|4300|3	Item|4315|3		
4088		松木小方櫃			0.35	-7	85	6	-9	-56	11	Contrib|600	Item|4296|3	Item|4311|3		
4089		樺木小方櫃			0.35	-7	85	6	-9	-56	11	Contrib|1500	Item|4297|3	Item|4312|3		
4090		墨香小方櫃			0.35	-7	85	6	-9	-56	11	Contrib|3000	Item|4298|3	Item|4313|3		
4091		幻彩流光小方櫃		702	0.35	-7	85	6	-9	-56	11	Contrib|6000	Item|4299|3	Item|4314|3		
4092		紫檀鎏金小方櫃		702	0.35	-7	85	6	-9	-56	11	Contrib|12000	Item|4300|3	Item|4315|3		
4093		松木方桌			0.35	0	85	17	-11	-57	14	Contrib|600	Item|4296|3	Item|4306|3		
4094		樺木方桌			0.35	0	85	17	-11	-57	14	Contrib|1500	Item|4297|3	Item|4307|3		
4095		墨香圓桌			0.35	0	85	17	-11	-57	14	Contrib|3000	Item|4298|3	Item|4308|3		
