TemplateId	Name	Kind	ShowType	ItemType	DetailType	Level	RequireLevel	RealLevel	Icon	BigIcon	ObjID	Intro	Price	Quality	ItemValue	Sellable	ClassName	ResEffect	FightPower	Attrib1Type	Attrib1Value1	Attrib1Value2	Attrib1Value3	Attrib2Type	Attrib2Value1	Attrib2Value2	Attrib2Value3	Attrib3Type	Attrib3Value1	Attrib3Value2	Attrib3Value3	Attrib4Type	Attrib4Value1	Attrib4Value2	Attrib4Value3	Attrib5Type	Attrib5Value1	Attrib5Value2	Attrib5Value3	Attrib6Type	Attrib6Value1	Attrib6Value2	Attrib6Value3	Attrib7Type	Attrib7Value1	Attrib7Value2	Attrib7Value3	Attrib8Type	Attrib8Value1	Attrib8Value2	Attrib8Value3	Attrib9Type	Attrib9Value1	Attrib9Value2	Attrib9Value3	Attrib10Type	Attrib10Value1	Attrib10Value2	Attrib10Value3	HoleCount	InsetLevel
91	T1鞋子	T1_Boots_Q1	9101	6	1	1	1	1					5000	1	5000	1	equip		0	runspeed_v	6																																								
92	T2鞋子	T2_Boots_Q1	9102	6	1	2	38	3					10000	2	10000	1	equip		0	runspeed_v	7.6																																							1	2
93	T3鞋子	T3_Boots_Q1	9103	6	1	3	49	6					20000	3	20000	1	equip		0	runspeed_v	9																																							2	3
94	T4鞋子	T4_Boots_Q1	9104	6	1	4	59	9					40000	4	40000	1	equip		0	runspeed_v	10																																							3	4
95	T5鞋子	T5_Boots_Q1	9105	6	1	5	69	12					80000	5	80000	1	equip		0	runspeed_v	12																																							4	4
96	T6鞋子	T6_Boots_Q1	9106	6	1	6	79	15					160000	6	160000	1	equip		0	runspeed_v	14																																							4	5
97	T7鞋子	T7_Boots_Q1	9107	6	1	7	89	18					320000	7	320000	1	equip		0	runspeed_v	16																																							4	5
98	T8鞋子	T8_Boots_Q1	9108	6	1	8	99	21					450000	8	450000	1	equip		0	runspeed_v	20																																							5	5
99	T9鞋子	T9_Boots_Q1	9109	6	1	9	109	24					600000	8	600000	1	equip		0	runspeed_v	24																																							6	6
100	T10鞋子	T10_Boots_Q1	9110	6	1	10	119	27					800000	8	800000	1	equip		0	runspeed_v	28																																							7	6
4991	T11鞋子	T11_Boots_Q1	9111	6	1	11	129	30					1100000	8	1100000	1	equip		0	runspeed_v	29																																							7	7
4992	T12鞋子	T12_Boots_Q1	9112	6	1	12	139	27					800000	8	800000	1	equip		0	runspeed_v	28																																							7	6
4993	T13鞋子	T13_Boots_Q1	9113	6	1	13	149	27					800000	8	800000	1	equip		0	runspeed_v	28																																							7	6
