TemplateId	Name	Kind	ShowType	ItemType	DetailType	Level	RequireLevel	RealLevel	Icon	BigIcon	ObjID	Intro	Price	Quality	ItemValue	Sellable	ClassName	ResEffect	FightPower	Attrib1Type	Attrib1Value1	Attrib1Value2	Attrib1Value3	Attrib2Type	Attrib2Value1	Attrib2Value2	Attrib2Value3	Attrib3Type	Attrib3Value1	Attrib3Value2	Attrib3Value3	Attrib4Type	Attrib4Value1	Attrib4Value2	Attrib4Value3	Attrib5Type	Attrib5Value1	Attrib5Value2	Attrib5Value3	Attrib6Type	Attrib6Value1	Attrib6Value2	Attrib6Value3	Attrib7Type	Attrib7Value1	Attrib7Value2	Attrib7Value3	Attrib8Type	Attrib8Value1	Attrib8Value2	Attrib8Value3	Attrib9Type	Attrib9Value1	Attrib9Value2	Attrib9Value3	Attrib10Type	Attrib10Value1	Attrib10Value2	Attrib10Value3	HoleCount	InsetLevel
51	T1頭盔	T1_Helm_Q1	5101	8	1	1	1	1					5000	1	5000	1	equip		0	add_seriesstate_rate_v	15																																								
52	T2头盔	T2_Helm_Q1	5102	8	1	2	22	3					10000	2	10000	1	equip		0	add_seriesstate_rate_v	20																																							1	2
53	T3头盔	T3_Helm_Q1	5103	8	1	3	41	6					20000	3	20000	1	equip		0	add_seriesstate_rate_v	25																																							2	3
54	T4头盔	T4_Helm_Q1	5104	8	1	4	51	9					40000	4	40000	1	equip		0	add_seriesstate_rate_v	30																																							3	4
55	T5头盔	T5_Helm_Q1	5105	8	1	5	61	12					80000	5	80000	1	equip		0	add_seriesstate_rate_v	40																																							4	4
56	T6头盔	T6_Helm_Q1	5106	8	1	6	71	15					160000	6	160000	1	equip		0	add_seriesstate_rate_v	50																																							4	5
57	T7头盔	T7_Helm_Q1	5107	8	1	7	81	18					320000	7	320000	1	equip		0	add_seriesstate_rate_v	60																																							4	5
58	T8头盔	T8_Helm_Q1	5108	8	1	8	91	21					450000	8	450000	1	equip		0	add_seriesstate_rate_v	80																																							5	5
59	T9头盔	T9_Helm_Q1	5109	8	1	9	101	24					600000	8	600000	1	equip		0	add_seriesstate_rate_v	100																																							6	6
60	T10头盔	T10_Helm_Q1	5110	8	1	10	111	27					800000	8	800000	1	equip		0	add_seriesstate_rate_v	120																																							7	6
