TemplateId	Name	Kind	ShowType	ItemType	DetailType	Level	RequireLevel	RealLevel	Icon	BigIcon	ObjID	Intro	Price	Quality	ItemValue	Sellable	ClassName	ResEffect	FightPower	Attrib1Type	Attrib1Value1	Attrib1Value2	Attrib1Value3	Attrib2Type	Attrib2Value1	Attrib2Value2	Attrib2Value3	Attrib3Type	Attrib3Value1	Attrib3Value2	Attrib3Value3	Attrib4Type	Attrib4Value1	Attrib4Value2	Attrib4Value3	Attrib5Type	Attrib5Value1	Attrib5Value2	Attrib5Value3	Attrib6Type	Attrib6Value1	Attrib6Value2	Attrib6Value3	Attrib7Type	Attrib7Value1	Attrib7Value2	Attrib7Value3	Attrib8Type	Attrib8Value1	Attrib8Value2	Attrib8Value3	Attrib9Type	Attrib9Value1	Attrib9Value2	Attrib9Value3	Attrib10Type	Attrib10Value1	Attrib10Value2	Attrib10Value3	HoleCount	InsetLevel
11	虎睛項鍊	T1_Necklace_Q1		4	1	1	1	1	11	11			10000	1	10000	1	equip		0	lifemax_v	600			water_resist_v	45																																				
12	冰晶項鍊	T2_Necklace_Q1		4	1	2	24	3	12	12			20000	2	20000	1	equip		0	lifemax_v	800			water_resist_v	60																																			1	2
13	珊瑚項鍊	T3_Necklace_Q1		4	1	3	42	6	13	13			40000	3	40000	1	equip		0	lifemax_v	1000			water_resist_v	75																																			2	3
14	五色項鍊	T4_Necklace_Q1		4	1	4	52	9	14	14			80000	4	80000	1	equip		0	lifemax_v	1500			water_resist_v	90																																			3	4
15	溫潤之鏈	T5_Necklace_Q1		4	1	5	62	12	15	15			160000	5	160000	1	equip		0	lifemax_v	2000			water_resist_v	113																																			4	4
16	秘隱之鏈	T6_Necklace_Q1		4	1	6	72	15	16	16			320000	6	320000	1	equip		0	lifemax_v	2500			water_resist_v	135																																			4	5
17	北辰之鏈	T7_Necklace_Q1		4	1	7	82	18	17	17			640000	7	640000	1	equip		0	lifemax_v	3000			water_resist_v	158																																			4	5
18	群鳥之鏈	T8_Necklace_Q1		4	1	8	92	21	18	18			900000	8	900000	1	equip		0	lifemax_v	3500			water_resist_v	180																																			5	5
19	朝露之鏈	T9_Necklace_Q1		4	1	9	102	24	19	19			1200000	8	1200000	1	equip		0	lifemax_v	4000			water_resist_v	200																																			6	6
20	鴻雁之鏈	T10_Necklace_Q1		4	1	10	112	27	20	20			1600000	8	1600000	1	equip		0	lifemax_v	4500			water_resist_v	220																																			7	6
4911	乾坤之鏈	T11_Necklace_Q1		4	1	11	122	30	4911	4911			2200000	8	2200000	1	equip		0	lifemax_v	5000			water_resist_v	240																																			7	7
4912	項鍊T12	T12_Necklace_Q1		4	1	12	132	27	4912	4912			1600000	8	1600000	1	equip		0	lifemax_v	4500			water_resist_v	220																																			7	6
4913	項鍊T13	T13_Necklace_Q1		4	1	13	142	27	4913	4913			1600000	8	1600000	1	equip		0	lifemax_v	4500			water_resist_v	220																																			7	6
4914	項鍊T14	T14_Necklace_Q1		4	1	14	152	27	4914	4914			1600000	8	1600000	1	equip		0	lifemax_v	4500			water_resist_v	220																																			7	6
4915	項鍊T15	T15_Necklace_Q1		4	1	15	162	27	4915	4915			1600000	8	1600000	1	equip		0	lifemax_v	4500			water_resist_v	220																																			7	6
4916	項鍊T16	T16_Necklace_Q1		4	1	16	172	27	4916	4916			1600000	8	1600000	1	equip		0	lifemax_v	4500			water_resist_v	220																																			7	6
4917	項鍊T17	T17_Necklace_Q1		4	1	17	182	27	4917	4917			1600000	8	1600000	1	equip		0	lifemax_v	4500			water_resist_v	220																																			7	6
4918	項鍊T18	T18_Necklace_Q1		4	1	18	192	27	4918	4918			1600000	8	1600000	1	equip		0	lifemax_v	4500			water_resist_v	220																																			7	6
4919	項鍊T19	T19_Necklace_Q1		4	1	19	202	27	4919	4919			1600000	8	1600000	1	equip		0	lifemax_v	4500			water_resist_v	220																																			7	6
4920	項鍊T20	T20_Necklace_Q1		4	1	20	212	27	4920	4920			1600000	8	1600000	1	equip		0	lifemax_v	4500			water_resist_v	220																																			7	6
111	【稀有】虎睛項鍊	T1_Necklace_Q2		4	2	1	1	4	11	11			100000	1	100000	1	equip		0	lifemax_v	860			water_resist_v	64																																				
112	【稀有】冰晶項鍊	T2_Necklace_Q2		4	2	2	24	7	12	12			200000	2	200000	1	equip		0	lifemax_v	1150			water_resist_v	79																																			3	3
113	【稀有】珊瑚項鍊	T3_Necklace_Q2		4	2	3	42	10	13	13			500000	3	500000	1	equip		0	lifemax_v	1650			water_resist_v	96																																			3	4
114	【稀有】五色項鍊	T4_Necklace_Q2		4	2	4	52	13	14	14			1200000	4	1200000	1	equip		0	lifemax_v	2150			water_resist_v	119																																			4	4
115	【稀有】溫潤之鏈	T5_Necklace_Q2		4	2	5	62	16	15	15			2500000	5	2500000	1	equip		0	lifemax_v	2650			water_resist_v	141																																			4	5
116	【稀有】秘隱之鏈	T6_Necklace_Q2		4	2	6	72	19	16	16			3000000	6	3000000	1	equip		0	lifemax_v	3150			water_resist_v	164																																			5	5
117	【稀有】北辰之鏈	T7_Necklace_Q2		4	2	7	82	22	17	17			4000000	7	4000000	1	equip		0	lifemax_v	3850			water_resist_v	198																																			5	6
118	【稀有】群鳥之鏈	T8_Necklace_Q2		4	2	8	92	25	18	18			5400000	8	5400000	1	equip		0	lifemax_v	4200			water_resist_v	217																																			6	6
119	【稀有】朝露之鏈	T9_Necklace_Q2		4	2	9	102	28	19	19			8000000	8	8000000	1	equip		0	lifemax_v	5000			water_resist_v	257																																			7	6
120	【稀有】鴻雁之鏈	T10_Necklace_Q2		4	2	10	112	31	20	20			10000000	8	10000000	1	equip		0	lifemax_v	5500			water_resist_v	282																																			7	7
5011	【稀有】乾坤之鏈	T11_Necklace_Q2		4	2	11	122	34	4911	4911			12500000	8	12500000	1	equip		0	lifemax_v	6000			water_resist_v	290																																			7	7
