TemplateId	Name	Kind	ShowType	ItemType	DetailType	Level	RequireLevel	RealLevel	Icon	BigIcon	ObjID	Intro	Price	Quality	ItemValue	Sellable	ClassName	ResEffect	FightPower	Attrib1Type	Attrib1Value1	Attrib1Value2	Attrib1Value3	Attrib2Type	Attrib2Value1	Attrib2Value2	Attrib2Value3	Attrib3Type	Attrib3Value1	Attrib3Value2	Attrib3Value3	Attrib4Type	Attrib4Value1	Attrib4Value2	Attrib4Value3	Attrib5Type	Attrib5Value1	Attrib5Value2	Attrib5Value3	Attrib6Type	Attrib6Value1	Attrib6Value2	Attrib6Value3	Attrib7Type	Attrib7Value1	Attrib7Value2	Attrib7Value3	Attrib8Type	Attrib8Value1	Attrib8Value2	Attrib8Value3	Attrib9Type	Attrib9Value1	Attrib9Value2	Attrib9Value3	Attrib10Type	Attrib10Value1	Attrib10Value2	Attrib10Value3	Attrib9Value1	Attrib9Value2	Attrib9Value3	Attrib10Type	Attrib10Value1	Attrib10Value2	Attrib10Value3
2398	初級秘笈·野蠻衝撞	TW_Book_Lv1_1		12		1	40		6111	6111		門派秘笈	400000	3	400000		SkillBook																																																	
2401	初級秘笈·血戰八方	TW_Book_Lv1_2		12		1	40		6112	6112		門派秘笈	400000	3	400000		SkillBook																																																	
2402	初級秘笈·霸王怒吼	TW_Book_Lv1_3		12		1	40		6114	6114		門派秘笈	400000	3	400000		SkillBook																																																	
2719	初級秘笈·金鐘罩	TW_Book_Lv1_4		12		1	40		6113	6113		門派秘笈	400000	3	400000		SkillBook																																																	
2403	初級秘笈·天舞寶輪	EM_Book_Lv1_1		12		1	40		6122	6122		門派秘笈	400000	3	400000		SkillBook																																																	
2404	初級秘笈·慈航普渡	EM_Book_Lv1_2		12		1	40		6123	6123		門派秘笈	400000	3	400000		SkillBook																																																	
2405	初級秘笈·白露凝霜	EM_Book_Lv1_3		12		1	40		6124	6124		門派秘笈	400000	3	400000		SkillBook																																																	
2720	初級秘笈·江海凝波	EM_Book_Lv1_4		12		1	40		6121	6121		門派秘笈	400000	3	400000		SkillBook																																																	
2406	初級秘笈·七探蛇盤	XY_Book_Lv1_1		12		1	40		6132	6132		門派秘笈	400000	3	400000		SkillBook																																																	
2407	初級秘笈·鬥轉星移	XY_Book_Lv1_2		12		1	40		6133	6133		門派秘笈	400000	3	400000		SkillBook																																																	
2408	初級秘笈·風捲殘雲	XY_Book_Lv1_3		12		1	40		6134	6134		門派秘笈	400000	3	400000		SkillBook																																																	
2721	初級秘笈·白虹貫日	XY_Book_Lv1_4		12		1	40		6131	6131		門派秘笈	400000	3	400000		SkillBook																																																	
2409	初級秘笈·飛火流星	TH_Book_Lv1_1		12		1	40		6141	6141		門派秘笈	400000	3	400000		SkillBook																																																	
2410	初級秘笈·火鳳燎原	TH_Book_Lv1_2		12		1	40		6143	6143		門派秘笈	400000	3	400000		SkillBook																																																	
2411	初級秘笈·穿雲破月	TH_Book_Lv1_3		12		1	40		6144	6144		門派秘笈	400000	3	400000		SkillBook																																																	
2722	初級秘笈·九耀連珠	TH_Book_Lv1_4		12		1	40		6142	6142		門派秘笈	400000	3	400000		SkillBook																																																	
2412	初級秘笈·劍飛驚天	WD_Book_Lv1_1		12		1	40		6151	6151		門派秘笈	400000	3	400000		SkillBook																																																	
2413	初級秘笈·坐忘無我	WD_Book_Lv1_2		12		1	40		6152	6152		門派秘笈	400000	3	400000		SkillBook																																																	
2414	初級秘笈·天地無極	WD_Book_Lv1_3		12		1	40		6153	6153		門派秘笈	400000	3	400000		SkillBook																																																	
2723	初級秘笈·人劍合一	WD_Book_Lv1_4		12		1	40		6154	6154		門派秘笈	400000	3	400000		SkillBook																																																	
2415	初級秘笈·魔焰在天	TR_Book_Lv1_1		12		1	40		6162	6162		門派秘笈	400000	3	400000		SkillBook																																																	
2416	初級秘笈·血月之影	TR_Book_Lv1_2		12		1	40		6163	6163		門派秘笈	400000	3	400000		SkillBook																																																	
2417	初級秘笈·攝魂亂心	TR_Book_Lv1_3		12		1	40		6164	6164		門派秘笈	400000	3	400000		SkillBook																																																	
2724	初級秘笈·死亡迴旋	TR_Book_Lv1_4		12		1	40		6161	6161		門派秘笈	400000	3	400000		SkillBook																																																	
2713	初級秘笈·降龍棍	SL_Book_Lv1_1		12		1	40		6171	6171		門派秘笈	400000	3	400000		SkillBook																																																	
2714	初級秘笈·大力金剛指	SL_Book_Lv1_2		12		1	40		6172	6172		門派秘笈	400000	3	400000		SkillBook																																																	
2715	初級秘笈·金剛伏魔	SL_Book_Lv1_3		12		1	40		6173	6173		門派秘笈	400000	3	400000		SkillBook																																																	
2749	初級秘笈·十二擒龍手	SL_Book_Lv1_4		12		1	40		6174	6174		門派秘笈	400000	3	400000		SkillBook																																																	
2716	初級秘笈·璿璣羅舞	CY_Book_Lv1_1		12		1	40		6181	6181		門派秘笈	400000	3	400000		SkillBook																																																	
2717	初級秘笈·雨打梨花	CY_Book_Lv1_2		12		1	40		6182	6182		門派秘笈	400000	3	400000		SkillBook																																																	
