TemplateId	Name	Kind	ShowType	ItemType	DetailType	Level	RequireLevel	RealLevel	Icon	BigIcon	ObjID	Intro	Price	Quality	ItemValue	Sellable	ClassName	ResEffect	FightPower	Attrib1Type	Attrib1Value1	Attrib1Value2	Attrib1Value3	Attrib2Type	Attrib2Value1	Attrib2Value2	Attrib2Value3	Attrib3Type	Attrib3Value1	Attrib3Value2	Attrib3Value3	Attrib4Type	Attrib4Value1	Attrib4Value2	Attrib4Value3	Attrib5Type	Attrib5Value1	Attrib5Value2	Attrib5Value3	Attrib6Type	Attrib6Value1	Attrib6Value2	Attrib6Value3	Attrib7Type	Attrib7Value1	Attrib7Value2	Attrib7Value3	Attrib8Type	Attrib8Value1	Attrib8Value2	Attrib8Value3	Attrib9Type	Attrib9Value1	Attrib9Value2	Attrib9Value3	Attrib10Type	Attrib10Value1	Attrib10Value2	Attrib10Value3	Attrib9Value1	Attrib9Value2	Attrib9Value3	Attrib10Type	Attrib10Value1	Attrib10Value2	Attrib10Value3	HoleCount	InsetLevel	FactionLimit
2512	T1時裝（斗笠）	T1_Waiyi_Q1	301	13		1	1	1				穿上後可以改變目前外觀，不影響原有裝備附帶的屬性\n[FFFE0D]可用染色劑改變顏色[-]	15000	4	15000	1	waiyi																																																				
2513	T1時裝（斗笠）·偏色1	T2_Waiyi_Q1	302	13		1	1	1				穿上後可以改變目前外觀，不影響原有裝備附帶的屬性\n[FFFE0D]可用染色劑改變顏色[-]	15000	4	15000	1	waiyi																																																				
2514	T1時裝（斗笠）·偏色2	T3_Waiyi_Q1	303	13		1	1	1				穿上後可以改變目前外觀，不影響原有裝備附帶的屬性\n[FFFE0D]可用染色劑改變顏色[-]	15000	4	15000	1	waiyi																																																				
2515	T1時裝（斗笠）·偏色3	T4_Waiyi_Q1	304	13		1	1	1				穿上後可以改變目前外觀，不影響原有裝備附帶的屬性\n[FFFE0D]可用染色劑改變顏色[-]	15000	4	15000	1	waiyi																																																				
2516	T1時裝·時效	T5_Waiyi_Q1	301	13		1	1	1				穿上後可以改變目前外觀，不影響原有裝備附帶的屬性\n[FFFE0D]不可染色[-]	15000	4	15000	1	waiyi																																																				
4478	T1時裝·3天	T1_Shizhuang_D3	301	13		1	1	1				穿上後可以改變目前外觀，不影響原有裝備附帶的屬性\n[FFFE0D]不可染色[-]	15000	4	15000	1	waiyi																																																				
4479	T1時裝·7天	T1_Shizhuang_D7	301	13		1	1	1				穿上後可以改變目前外觀，不影響原有裝備附帶的屬性\n[FFFE0D]不可染色[-]	15000	4	15000	1	waiyi																																																				
4480	T1時裝·30天	T1_Shizhuang_D30	301	13		1	1	1				穿上後可以改變目前外觀，不影響原有裝備附帶的屬性\n[FFFE0D]不可染色[-]	15000	4	15000	1	waiyi																																																				
2517	T6外衣	T6_Waiyi_Q1	306	13		1	1	1				穿上後可以改變目前外觀，不影響原有裝備附帶的屬性\n[FFFE0D]可用染色劑改變顏色[-]	15000	3	15000	1	waiyi																																																				
2702	T2時裝（花）	T2_Shizhuang_Q1	307	13		1	1	1				穿上後可以改變目前外觀，不影響原有裝備附帶的屬性\n[FFFE0D]可用染色劑改變顏色[-]	15000	51	15000	1	waiyi																																																				
2703	T2時裝（花）·偏色1	T2_Shizhuang_Q2	308	13		1	1	1				穿上後可以改變目前外觀，不影響原有裝備附帶的屬性\n[FFFE0D]可用染色劑改變顏色[-]	15000	51	15000	1	waiyi																																																				
2704	T2時裝（花）·偏色2	T2_Shizhuang_Q3	309	13		1	1	1				穿上後可以改變目前外觀，不影響原有裝備附帶的屬性\n[FFFE0D]可用染色劑改變顏色[-]	15000	51	15000	1	waiyi																																																				
2705	T2時裝（花）·偏色3	T2_Shizhuang_Q4	310	13		1	1	1				穿上後可以改變目前外觀，不影響原有裝備附帶的屬性\n[FFFE0D]可用染色劑改變顏色[-]	15000	51	15000	1	waiyi																																																				
3025	T2時裝（花）·偏色4	T2_Shizhuang_Q5	311	13		1	1	1				穿上後可以改變目前外觀，不影響原有裝備附帶的屬性\n[FFFE0D]可用染色劑改變顏色[-]	15000	51	15000	1	waiyi																																																				
3026	T2時裝（花）·偏色5	T2_Shizhuang_Q6	312	13		1	1	1				穿上後可以改變目前外觀，不影響原有裝備附帶的屬性\n[FFFE0D]可用染色劑改變顏色[-]	15000	51	15000	1	waiyi																																																				
3027	T2時裝（花）·偏色6	T2_Shizhuang_Q7	313	13		1	1	1				穿上後可以改變目前外觀，不影響原有裝備附帶的屬性\n[FFFE0D]可用染色劑改變顏色[-]	15000	51	15000	1	waiyi																																																				
3028	T2時裝（花）·偏色7	T2_Shizhuang_Q8	314	13		1	1	1				穿上後可以改變目前外觀，不影響原有裝備附帶的屬性\n[FFFE0D]可用染色劑改變顏色[-]	15000	51	15000	1	waiyi																																																				
4481	T2時裝·3天	T2_Shizhuang_D3	307	13		1	1	1				穿上後可以改變目前外觀，不影響原有裝備附帶的屬性\n[FFFE0D]不可染色[-]	15000	4	15000	1	waiyi																																																				
4482	T2時裝·7天	T2_Shizhuang_D7	307	13		1	1	1				穿上後可以改變目前外觀，不影響原有裝備附帶的屬性\n[FFFE0D]不可染色[-]	15000	4	15000	1	waiyi																																																				
4483	T2時裝·30天	T2_Shizhuang_D30	307	13		1	1	1				穿上後可以改變目前外觀，不影響原有裝備附帶的屬性\n[FFFE0D]不可染色[-]	15000	4	15000	1	waiyi																																																				
3068	測試用1	T2_Shizhuang_Q9	315	13		1	1	1				穿上後可以改變目前外觀，不影響原有裝備附帶的屬性\n[FFFE0D]可用染色劑改變顏色[-]	15000	3	15000	1	waiyi																																																				
3069	測試用2	T2_Shizhuang_Q10	316	13		1	1	1				穿上後可以改變目前外觀，不影響原有裝備附帶的屬性\n[FFFE0D]可用染色劑改變顏色[-]	15000	3	15000	1	waiyi																																																				
3070	測試用3	T2_Shizhuang_Q11	317	13		1	1	1				穿上後可以改變目前外觀，不影響原有裝備附帶的屬性\n[FFFE0D]可用染色劑改變顏色[-]	15000	3	15000	1	waiyi																																																				
3071	測試用4	T2_Shizhuang_Q12	318	13		1	1	1				穿上後可以改變目前外觀，不影響原有裝備附帶的屬性\n[FFFE0D]可用染色劑改變顏色[-]	15000	3	15000	1	waiyi																																																				
3072	測試用5	T2_Shizhuang_Q13	319	13		1	1	1				穿上後可以改變目前外觀，不影響原有裝備附帶的屬性\n[FFFE0D]可用染色劑改變顏色[-]	15000	3	15000	1	waiyi																																																				
3073	測試用6	T2_Shizhuang_Q14	320	13		1	1	1				穿上後可以改變目前外觀，不影響原有裝備附帶的屬性\n[FFFE0D]可用染色劑改變顏色[-]	15000	3	15000	1	waiyi																																																				
3074	測試用7	T2_Shizhuang_Q15	321	13		1	1	1				穿上後可以改變目前外觀，不影響原有裝備附帶的屬性\n[FFFE0D]可用染色劑改變顏色[-]	15000	3	15000	1	waiyi																																																				
3075	測試用8	T2_Shizhuang_Q16	322	13		1	1	1				穿上後可以改變目前外觀，不影響原有裝備附帶的屬性\n[FFFE0D]可用染色劑改變顏色[-]	15000	3	15000	1	waiyi																																																				
3259	T3時裝（新年大衣）	T3_Shizhuang_Q1	323	13		1	1	1				穿上後可以改變目前外觀，不影響原有裝備附帶的屬性\n[FFFE0D]可用染色劑改變顏色[-]	15000	51	15000	1	waiyi																																																				
3260	T3時裝（新年大衣）·偏色1	T3_Shizhuang_Q2	324	13		1	1	1				穿上後可以改變目前外觀，不影響原有裝備附帶的屬性\n[FFFE0D]可用染色劑改變顏色[-]	15000	51	15000	1	waiyi																																																				
3261	T3時裝（新年大衣）·偏色2	T3_Shizhuang_Q3	325	13		1	1	1				穿上後可以改變目前外觀，不影響原有裝備附帶的屬性\n[FFFE0D]可用染色劑改變顏色[-]	15000	51	15000	1	waiyi																																																				
3262	T3時裝（新年大衣）·偏色3	T3_Shizhuang_Q4	326	13		1	1	1				穿上後可以改變目前外觀，不影響原有裝備附帶的屬性\n[FFFE0D]可用染色劑改變顏色[-]	15000	51	15000	1	waiyi																																																				
4484	T3時裝·3天	T3_Shizhuang_D3	323	13		1	1	1				穿上後可以改變目前外觀，不影響原有裝備附帶的屬性\n[FFFE0D]不可染色[-]	15000	4	15000	1	waiyi																																																				
4485	T3時裝·7天	T3_Shizhuang_D7	323	13		1	1	1				穿上後可以改變目前外觀，不影響原有裝備附帶的屬性\n[FFFE0D]不可染色[-]	15000	4	15000	1	waiyi																																																				
4486	T3時裝·30天	T3_Shizhuang_D30	323	13		1	1	1				穿上後可以改變目前外觀，不影響原有裝備附帶的屬性\n[FFFE0D]不可染色[-]	15000	4	15000	1	waiyi																																																				
3263	T4時裝（八家將）	T4_Shizhuang_Q1	327	13		1	1	1				穿上後可以改變目前外觀，不影響原有裝備附帶的屬性\n[FFFE0D]可用染色劑改變顏色[-]	15000	51	15000	1	waiyi																																																				
3264	T4時裝（八家將）·偏色1	T4_Shizhuang_Q2	328	13		1	1	1				穿上後可以改變目前外觀，不影響原有裝備附帶的屬性\n[FFFE0D]可用染色劑改變顏色[-]	15000	51	15000	1	waiyi																																																				
3265	T4時裝（八家將）·偏色2	T4_Shizhuang_Q3	329	13		1	1	1				穿上後可以改變目前外觀，不影響原有裝備附帶的屬性\n[FFFE0D]可用染色劑改變顏色[-]	15000	51	15000	1	waiyi																																																				
