EquipItem	WaiYiItem	Cost	TimeOut	Desc
61	2570	150000		T1衣服
62	2571	150000		T2衣服
63	2572	150000		T3衣服
64	2573	150000		T4衣服
65	2574	150000		T5衣服
66	2575	150000		T6衣服
67	2576	150000		T7衣服
68	2577	150000		T8衣服
69	2578	150000		T9衣服
70	2579	150000		T10衣服
4961	5269	150000		T11衣服
161	2570	150000		T1【稀有】衣服
162	2571	150000		T2【稀有】衣服
163	2572	150000		T3【稀有】衣服
164	2573	150000		T4【稀有】衣服
165	2574	150000		T5【稀有】衣服
166	2575	150000		T6【稀有】衣服
167	2576	150000		T7【稀有】衣服
168	2577	150000		T8【稀有】衣服
169	2578	150000		T9【稀有】衣服
170	2579	150000		T10【稀有】衣服
5061	5269	150000		T11【稀有】衣服
1570	2570	150000		T1【傳承】衣服
1571	2571	150000		T2【传承】衣服
1572	2572	150000		T3【传承】衣服
1573	2573	150000		T4【传承】衣服
1574	2574	150000		T5【传承】衣服
1575	2575	150000		T6【传承】衣服
1576	2576	150000		T7【传承】衣服
1577	2577	150000		T8【传承】衣服
3611	2578	150000		T9【傳承】衣服
3612	2579	150000		T10【傳承】衣服
5161	5269	150000		T11【傳承】衣服
1252	2570	150000		T1衣服（訂製）
1529	2570	150000		T1衣服（訂製）
2667	2512			T1外裝
2681	2516		604800	T1外裝，首儲贈送
2700	2580			新手裝
2706	2702			T2外裝
3310	3259			T3外裝
3311	3263			T4外裝
3864	3870			T5外裝
6344	6288			T5時裝天王（黑幫）
6345	6292			T5時裝峨眉（黑幫）
6346	6296			T5時裝桃花（黑幫）
6347	6300			T5時裝逍遙（黑幫）
6348	6304			T5時裝武當（黑幫）
6349	6308			T5時裝天忍（黑幫）
6350	6312			T5時裝少林（黑幫）
6351	6316			T5時裝翠煙（黑幫）
6352	6320			T5時裝唐門（黑幫）
6353	6324			T5時裝昆侖（黑幫）
6354	6328			T5時裝丐幫（黑幫）
6355	6332			T5時裝五毒（黑幫）
6356	6336			T5時裝藏劍（黑幫）
6357	6340			T5時裝長歌（黑幫）
4508	4243			T6外裝天王·華貴
4509	4370			T6外裝峨眉·華貴
4510	4371			T6外裝桃花·華貴
4511	4372			T6外裝逍遙·華貴
4512	4373			T6外裝武當·華貴
4513	4374			T6外裝天忍·華貴
4514	4375			T6外裝少林·華貴
4515	4376			T6外裝翠煙·華貴
4516	4377			T6外裝唐門·華貴
4517	4378			T6外裝昆侖·華貴
4518	4379			T6外裝丐幫·華貴
4519	4380			T6外裝五毒·華貴
4448	3874			T6外裝天王
4449	4326			T6外裝峨眉
4450	4330			T6外裝桃花
4451	4334			T6外裝逍遙
4452	4338			T6外裝武當
4453	4342			T6外裝天忍
4454	4346			T6外裝少林
4455	4350			T6外裝翠煙
4456	4354			T6外裝唐門
4457	4358			T6外裝昆侖
4458	4362			T6外裝丐幫
4459	4366			T6外裝五毒
6204	5259			T6外裝藏劍
6205	5263			T6外裝長歌
5969	3878			【天王】浮光·夢羽
5970	5863			【峨眉】浮光·夢緣
5971	5867			【桃花】浮光·夢蝶
5972	5871			【逍遙】浮光·夢羽
5973	5875			【武當】浮光·夢緣
5974	5879			【天忍】浮光·夢羽
5975	5883			【少林】浮光·夢緣
5976	5887			【翠煙】浮光·夢蝶
5977	5891			【唐門】浮光·夢羽
