ShowType	Name	Faction	ResId	IconId	BigIconId	Desc
2	《野蠻衝撞》秘卷	1		20002	20002	
2	《江海凝波》秘卷	2		20022	20022	
2	《飛火流星》秘卷	3		20042	20042	
2	《白虹貫日》秘卷	4		20062	20062	
2	《劍飛驚天》秘卷	5		20082	20082	
2	《死亡迴旋》秘卷	6		20102	20102	
2	《降龍棍》秘卷	7		20122	20122	
2	《璿璣羅舞》秘卷	8		20142	20142	
2	《纏身刺》秘卷	9		20162	20162	
2	《仙人指路》秘卷	10		20182	20182	
2	《亢龍有悔》秘卷	11		20202	20202	
2	《陰風蝕骨》秘卷	12		20222	20222	
2	《九溪彌煙》秘卷	13		20242	20242	
2	《平沙雁落》秘卷	14		20262	20262	
3	《血戰八方》秘卷	1		20003	20003	
3	《天舞寶輪》秘卷	2		20023	20023	
3	《九曜連珠》秘卷	3		20043	20043	
3	《七探蛇盤》秘卷	4		20063	20063	
3	《天地無極》秘卷	5		20083	20083	
3	《魔焰在天》秘卷	6		20103	20103	
3	《大力金剛指》秘卷	7		20123	20123	
3	《雨打梨花》秘卷	8		20143	20143	
3	《暴雨梨花》秘卷	9		20163	20163	
3	《嘯風三連擊》秘卷	10		20183	20183	
3	《困龍功》秘卷	11		20203	20203	
3	《召喚毒蟲》秘卷	12		20223	20223	
3	《心劍》秘卷	13		20243	20243	
3	《雲生結海》秘卷	14		20263	20263	
4	《金鐘罩》秘卷	1		20004	20004	
4	《慈航普度》秘卷	2		20024	20024	
4	《火鳳燎原》秘卷	3		20044	20044	
4	《鬥轉星移》秘卷	4		20064	20064	
4	《坐忘無我》秘卷	5		20084	20084	
4	《血月之影》秘卷	6		20104	20104	
4	《金剛伏魔》秘卷	7		20124	20124	
4	《召喚啵啵》秘卷	8		20144	20144	
4	《迷影縱》秘卷	9		20164	20164	
4	《混沌劍法》秘卷	10		20184	20184	
4	《醉蝶狂舞》秘卷	11		20204	20204	
4	《迷心蠱》秘卷	12		20224	20224	
4	《平湖斷月》秘卷	13		20244	20244	
4	《清音長嘯》秘卷	14		20264	20264	
5	《霸王怒吼》秘卷	1		20005	20005	
5	《白露凝霜》秘卷	2		20025	20025	
5	《穿雲破月》秘卷	3		20045	20045	
5	《風捲殘雲》秘卷	4		20065	20065	
