SrcItem	TarItem	CosumeItem1	ConsumeCount1	CosumeItem2	ConsumeCount2	TimeFrame	DESC
106	2764	2794	1	2804	120		T6黃金武器
166	2782	2795	1	2804	72		T6黃金衣服
156	2779	2796	1	2804	24		T6黃金帽子
186	2788	2797	1	2804	24		T6黃金腰帶
176	2785	2798	1	2804	24		T6黃金護腕
196	2791	2799	1	2804	24		T6黃金鞋子
116	2767	2800	1	2804	48		T6黃金項鍊
126	2770	2801	1	2804	48		T6黃金戒指
136	2773	2802	1	2804	48		T6黃金玉佩
146	2776	2803	1	2804	48		T6黃金護身符
2400	3012	2527	120			OpenLevel79	坐騎
107	2765	2794	1	2804	200		T7黃金武器
167	2783	2795	1	2804	120		T7黃金衣服
157	2780	2796	1	2804	40		T7黃金帽子
187	2789	2797	1	2804	40		T7黃金腰帶
177	2786	2798	1	2804	40		T7黃金護腕
197	2792	2799	1	2804	40		T7黃金鞋子
117	2768	2800	1	2804	80		T7黃金項鍊
127	2771	2801	1	2804	80		T7黃金戒指
137	2774	2802	1	2804	80		T7黃金玉佩
147	2777	2803	1	2804	80		T7黃金護身符
108	2766	2794	1	2804	300		T8黃金武器
168	2784	2795	1	2804	180		T8黃金衣服
158	2781	2796	1	2804	60		T8黃金帽子
188	2790	2797	1	2804	60		T8黃金腰帶
178	2787	2798	1	2804	60		T8黃金護腕
198	2793	2799	1	2804	60		T8黃金鞋子
118	2769	2800	1	2804	120		T8黃金項鍊
128	2772	2801	1	2804	120		T8黃金戒指
138	2775	2802	1	2804	120		T8黃金玉佩
148	2778	2803	1	2804	120		T8黃金護身符
3012	3598	2527	180			OpenLevel99	坐騎
109	3619	2794	1	2804	400		T9黃金武器
169	3631	2795	1	2804	240		T9黃金衣服
159	3629	2796	1	2804	80		T9黃金帽子
189	3635	2797	1	2804	80		T9黃金腰帶
179	3633	2798	1	2804	80		T9黃金護腕
199	3637	2799	1	2804	80		T9黃金鞋子
119	3621	2800	1	2804	160		T9黃金項鍊
129	3623	2801	1	2804	160		T9黃金戒指
139	3625	2802	1	2804	160		T9黃金玉佩
149	3627	2803	1	2804	160		T9黃金護身符
110	3620	2794	1	2804	500		T10黃金武器
170	3632	2795	1	2804	300		T10黃金衣服
160	3630	2796	1	2804	100		T10黃金帽子
190	3636	2797	1	2804	100		T10黃金腰帶
180	3634	2798	1	2804	100		T10黃金護腕
200	3638	2799	1	2804	100		T10黃金鞋子
120	3622	2800	1	2804	200		T10黃金項鍊
130	3624	2801	1	2804	200		T10黃金戒指
140	3626	2802	1	2804	200		T10黃金玉佩
150	3628	2803	1	2804	200		T10黃金護身符
3598	4046	2527	240			OpenLevel119	110級坐騎
5001	5360	2794	1	2804	550		T11黃金武器
5061	5390	2795	1	2804	330		T11黃金衣服
5051	5385	2796	1	2804	110		T11黃金帽子
5081	5400	2797	1	2804	110		T11黃金腰帶
5071	5395	2798	1	2804	110		T11黃金護腕
5091	5405	2799	1	2804	110		T11黃金鞋子
5011	5365	2800	1	2804	220		T11黃金項鍊
5021	5370	2801	1	2804	220		T11黃金戒指
5031	5375	2802	1	2804	220		T11黃金玉佩
5041	5380	2803	1	2804	220		T11黃金護身符
3445	3446	3462	20			OpenLevel109	4階腳蹬
3450	3451	3469	20			OpenLevel109	4階馬鞍
3455	3456	3476	20			OpenLevel109	4階韁繩
