SrcItem	TarItem	CosumeItem1	ConsumeCount1	CosumeItem2	ConsumeCount2	DESC
2764	2765	107	1	2804	90	T6升T7黃金武器
2782	2783	167	1	2804	54	T6升T7黃金衣服
2779	2780	157	1	2804	18	T6升T7黃金帽子
2788	2789	187	1	2804	18	T6升T7黃金腰帶
2785	2786	177	1	2804	18	T6升T7黃金護腕
2791	2792	197	1	2804	18	T6升T7黃金鞋子
2767	2768	117	1	2804	36	T6升T7黃金項鍊
2770	2771	127	1	2804	36	T6升T7黃金戒指
2773	2774	137	1	2804	36	T6升T7黃金玉佩
2776	2777	147	1	2804	36	T6升T7黃金護身符
2765	2766	108	1	2804	120	T7升T8黃金武器
2783	2784	168	1	2804	72	T7升T8黃金衣服
2780	2781	158	1	2804	24	T7升T8黃金帽子
2789	2790	188	1	2804	24	T7升T8黃金腰帶
2786	2787	178	1	2804	24	T7升T8黃金護腕
2792	2793	198	1	2804	24	T7升T8黃金鞋子
2768	2769	118	1	2804	48	T7升T8黃金項鍊
2771	2772	128	1	2804	48	T7升T8黃金戒指
2774	2775	138	1	2804	48	T7升T8黃金玉佩
2777	2778	148	1	2804	48	T7升T8黃金護身符
2766	3619	109	1	2804	120	T8升T9黃金武器
2784	3631	169	1	2804	72	T8升T9黃金衣服
2781	3629	159	1	2804	24	T8升T9黃金帽子
2790	3635	189	1	2804	24	T8升T9黃金腰帶
2787	3633	179	1	2804	24	T8升T9黃金護腕
2793	3637	199	1	2804	24	T8升T9黃金鞋子
2769	3621	119	1	2804	48	T8升T9黃金項鍊
2772	3623	129	1	2804	48	T8升T9黃金戒指
2775	3625	139	1	2804	48	T8升T9黃金玉佩
2778	3627	149	1	2804	48	T8升T9黃金護身符
3619	3620	110	1	2804	120	T9升T10黃金武器
3631	3632	170	1	2804	72	T9升T10黃金衣服
3629	3630	160	1	2804	24	T9升T10黃金帽子
3635	3636	190	1	2804	24	T9升T10黃金腰帶
3633	3634	180	1	2804	24	T9升T10黃金護腕
3637	3638	200	1	2804	24	T9升T10黃金鞋子
3621	3622	120	1	2804	48	T9升T10黃金項鍊
3623	3624	130	1	2804	48	T9升T10黃金戒指
3625	3626	140	1	2804	48	T9升T10黃金玉佩
3627	3628	150	1	2804	48	T9升T10黃金護身符
3620	5360	5001	1	2804	120	T10升T11黃金武器
3632	5390	5061	1	2804	72	T10升T11黃金衣服
3630	5385	5051	1	2804	24	T10升T11黃金帽子
3636	5400	5081	1	2804	24	T10升T11黃金腰帶
3634	5395	5071	1	2804	24	T10升T11黃金護腕
3638	5405	5091	1	2804	24	T10升T11黃金鞋子
3622	5365	5011	1	2804	48	T10升T11黃金項鍊
3624	5370	5021	1	2804	48	T10升T11黃金戒指
3626	5375	5031	1	2804	48	T10升T11黃金玉佩
3628	5380	5041	1	2804	48	T10升T11黃金護身符
