ItemID	NpcResID	Desc
2399	902	棗紅馬
1423	901	照夜玉獅子
2400	903	烏雲踏雪
3012	905	絕影
3021	906	裡飛沙
3392	907	紅驪
3393	908	綠蹤
2507	904	逐日
2508	909	追星逐日
2870	931	奔宵
3516	932	烏騅
3364	912	寒霜
3365	913	寒霜倩影
3366	910	小黑
3367	911	白羽
3598	914	萬里煙雲照
3639	909	追星逐日
4045	915	聖蹄
4046	916	追風呼雷豹
4050	917	龍馬
4051	918	夢魘
4583	919	抱月擁星駒
4047	912	寒霜（外裝）
4048	913	寒霜倩影（外裝）
4049	910	小黑（外裝）
4861	920	紫幽靈鹿
4862	921	雲魅靈鹿
4867	922	星芒·雲魅靈鹿
4735	912	寒霜（外裝30天）
4736	913	寒霜倩影（外裝30天）
4737	910	小黑（外裝30天）
4865	920	紫幽靈鹿（外裝1年）
4866	921	雲魅靈鹿（外裝1年）
4868	922	星芒·雲魅靈鹿（外裝1年）
4859	923	龍鱗鳳羽
5359	924	大天使之駒
