TargetTemplateID	Desc	BagSort	IsShowFrag	IsHideTip	ConsumeType	ConsumeCount	ChildTemplateID1	NeedCount1	ChildTemplateID2	NeedCount2	ChildTemplateID3	NeedCount3	ChildTemplateID4	NeedCount4	ChildTemplateID5	NeedCount5	ChildTemplateID6	NeedCount6	ChildTemplateID7	NeedCount7
788	高級藏寶圖	1			Coin	2000	1424	1	1425	1	1426	1	1427	1	1428	1				
2592	粽子包	2			Coin	2000	2586	1	2587	1	2588	1	2589	1						
3403	感恩節禮盒	3			Coin	2000	3398	1	3399	1	3400	1	3401	1						
4808	兔子燈	4					4800	1	4807	1										
2688	花與酒	5			Coin	2000	2684	1	2685	1										
2690	詩與劍	6			Coin	2000	2686	1	2687	1										
2875	月餅	7		1	Coin	1000	2872	3	2873	1	2874	1								
5422	兔子燈	8					5420	4	5421	1										
5561	【稀有】11階武器(未鑒定)	99	1				5761	10												
5621	【稀有】11階衣服(未鑒定)	99	1				5821	10												
5571	【稀有】乾坤之鏈(未鑒定)	99	1				5771	10												
5581	【稀有】白澤之戒(未鑒定)	99	1				5781	10												
5591	【稀有】天心佩(未鑒定)	99	1				5791	10												
5601	【稀有】赤霄符(未鑒定)	99	1				5801	10												
5611	【稀有】11階帽子(未鑒定)	99	1				5811	10												
5631	【稀有】11階護腕(未鑒定)	99	1				5831	10												
5641	【稀有】11階腰帶(未鑒定)	99	1				5841	10												
5651	【稀有】11階鞋子(未鑒定)	99	1				5851	10												
5661	【傳承】11階武器(未鑒定)	100	1				5766	5												
5721	【傳承】11階衣服(未鑒定)	100	1				5826	5												
5671	【傳承】乾坤之鏈(未鑒定)	100	1				5776	5												
5681	【傳承】白澤之戒(未鑒定)	100	1				5786	5												
5691	【傳承】天心佩(未鑒定)	100	1				5796	5												
5701	【傳承】赤霄符(未鑒定)	100	1				5806	5												
5711	【傳承】11階帽子(未鑒定)	100	1				5816	5												
5731	【傳承】11階護腕(未鑒定)	100	1				5836	5												
5741	【傳承】11階腰帶(未鑒定)	100	1				5846	5												
5751	【傳承】11階鞋子(未鑒定)	100	1				5856	5												
1131	【稀有】10階武器(未鑒定)	101	1				3667	10												
1191	【稀有】10階衣服(未鑒定)	101	1				3679	10												
1141	【稀有】鴻雁之鏈(未鑒定)	101	1				3669	10												
1151	【稀有】瑞祥之戒(未鑒定)	101	1				3671	10												
1161	【稀有】北冥佩(未鑒定)	101	1				3673	10												
1171	【稀有】紫珀符(未鑒定)	101	1				3675	10												
1181	【稀有】10階帽子(未鑒定)	101	1				3677	10												
1201	【稀有】10階護腕(未鑒定)	101	1				3681	10												
1211	【稀有】10階腰帶(未鑒定)	101	1				3683	10												
1221	【稀有】10階鞋子(未鑒定)	101	1				3685	10												
3648	【傳承】10階武器(未鑒定)	102	1				3668	5												
3660	【傳承】10階衣服(未鑒定)	102	1				3680	5												
3650	【傳承】鴻雁之鏈(未鑒定)	102	1				3670	5												
3652	【傳承】瑞祥之戒(未鑒定)	102	1				3672	5												
3654	【傳承】北冥佩(未鑒定)	102	1				3674	5												
3656	【傳承】紫珀符(未鑒定)	102	1				3676	5												
3658	【傳承】10階帽子(未鑒定)	102	1				3678	5												
3662	【傳承】10階護腕(未鑒定)	102	1				3682	5												
3664	【傳承】10階腰帶(未鑒定)	102	1				3684	5												
3666	【傳承】10階鞋子(未鑒定)	102	1				3686	5												
1130	【稀有】9階武器(未鑒定)	103	1				2945	10												
1190	【稀有】9階衣服(未鑒定)	103	1				2981	10												
1140	【稀有】朝露之鏈(未鑒定)	103	1				2951	10												
1150	【稀有】應龍之戒(未鑒定)	103	1				2957	10												
1160	【稀有】鯤鵬佩(未鑒定)	103	1				2963	10												
1170	【稀有】仙緣符(未鑒定)	103	1				2969	10												
1180	【稀有】9階帽子(未鑒定)	103	1				2975	10												
1200	【稀有】9階護腕(未鑒定)	103	1				2987	10												
