Name	ObjID	PrefabPath
拾取表現	-1	Effect/Prefabs/JueSe/other1/wupin_shiqu.prefab
寶箱	1	Player/Npcs/obj_002/prefab/obj_002.prefab
紅寶石	2	Player/critter/prefab/hbs01.prefab
白水晶	3	Player/critter/prefab/bsj01.prefab
銅錢	4	Player/critter/prefab/tq01.prefab
銅錢白	5	Player/critter/prefab/tq02.prefab
同伴魂石	6	Player/critter/prefab/tbhs01.prefab
裝備	7	Player/critter/prefab/zjzb01.prefab
銀兩1	8	Player/critter/prefab/yingliang01.prefab
銀兩2	9	Player/critter/prefab/yingliang02.prefab
銀兩3	10	Player/critter/prefab/yingliang03.prefab
寶石01	11	Player/critter/prefab/baoshi01.prefab
寶物袋	12	Player/critter/prefab/baowudai01.prefab
水晶01	13	Player/critter/prefab/shuijin01.prefab
魂石01	14	Player/critter/prefab/tongbanhunshi01.prefab
同伴裝備01	15	Player/critter/prefab/tongbanzhuangbei01.prefab
主角裝備01	16	Player/critter/prefab/zhujuezhuangbei01.prefab
回血BUFF球	17	Effect/Prefabs/JueSe/BUFF/buffqiu_lv_gai.prefab
心魔幻境_回血	1000	Effect/Prefabs/JueSe/BUFF/buffqiu_lv_gai.prefab
心魔幻境_攻擊力	1001	Effect/Prefabs/JueSe/BUFF/buffqiu_hong_gai.prefab
心魔幻境_全抗	1002	Effect/Prefabs/JueSe/BUFF/buffqiu_jin_gai.prefab
心魔幻境_跑速	1003	Effect/Prefabs/JueSe/BUFF/buffqiu_lan_gai.prefab
心魔幻境_會心	1004	Effect/Prefabs/JueSe/BUFF/buffqiu_hong.prefab
心魔幻境_無敵	1005	Effect/Prefabs/JueSe/BUFF/buffqiu_jin.prefab
