TemplateId	Name	Kind	ShowType	ItemType	BigIcon	CDType	ClassName	DetailType	Icon	Intro	ItemValue	Level	ObjID	Price	Quality	RequireLevel	Sellable	Stack	ExtParam1	ExtParam2	ExtParam3	ExtParam4	ExtParam5	ExtParam6	ExtParam7	ExtParam8	ExtParam9	ExtParam10
2088	4階稀有武器碎片	T4_Weapon_Q2_piece	1704	34	10111		EquipMeterial	99	10111	殘缺不全的稀有武器碎片，需要  [FFFE0D]10塊[-]才能打造成1把[FFFE0D]4階【稀有】[-]武器	300000	1	1	300000	6	1		999										
2089	5階稀有武器碎片	T5_Weapon_Q2_piece	1705	34	10112		EquipMeterial	99	10112	殘缺不全的稀有武器碎片，需要  [FFFE0D]10塊[-]才能打造成1把[FFFE0D]5階【稀有】[-]武器	625000	2	1	625000	6	1		999										
2090	6階稀有武器碎片	T6_Weapon_Q2_piece	1706	34	10113		EquipMeterial	99	10113	殘缺不全的稀有武器碎片，需要  [FFFE0D]10塊[-]才能打造成1把[FFFE0D]6階【稀有】[-]武器	750000	3	1	750000	6	1		999										
2943	7階稀有武器碎片	T7_Weapon_Q2_piece	1707	34	10114		EquipMeterial	99	10114	殘缺不全的稀有武器碎片，需要  [FFFE0D]10塊[-]才能打造成1把[FFFE0D]7階【稀有】[-]武器	1000000	4	1	1000000	6	1		999										
2944	8階稀有武器碎片	T8_Weapon_Q2_piece	1708	34	10115		EquipMeterial	99	10115	殘缺不全的稀有武器碎片，需要  [FFFE0D]10塊[-]才能打造成1把[FFFE0D]8階【稀有】[-]武器	1350000	5	1	1350000	6	1		999										
2945	9階稀有武器碎片	T9_Weapon_Q2_piece	1709	34	10116		EquipMeterial	99	10116	殘缺不全的稀有武器碎片，需要  [FFFE0D]10塊[-]才能打造成1把[FFFE0D]9階【稀有】[-]武器	1800000	6	1	1800000	6	1		999										
3667	10階稀有武器碎片	T10_Weapon_Q2_piece	1710	34	10117		EquipMeterial	99	10117	殘缺不全的稀有武器碎片，需要  [FFFE0D]10塊[-]才能打造成1把[FFFE0D]10階【稀有】[-]武器	2250000	7	1	2250000	6	1		999										
5761	11階稀有武器碎片	T11_Weapon_Q2_piece	1711	34			EquipMeterial	99		殘缺不全的稀有武器碎片，需要  [FFFE0D]10塊[-]才能打造成1把[FFFE0D]11階【稀有】[-]武器	2850000	8	1	2850000	6	1		999										
5762	12階稀有武器碎片	T12_Weapon_Q2_piece	1712	34			EquipMeterial	99		殘缺不全的稀有武器碎片，需要  [FFFE0D]10塊[-]才能打造成1把[FFFE0D]12階【稀有】[-]武器	1000000	9	1	1000000	6	1		999										
5763	13階稀有武器碎片	T13_Weapon_Q2_piece	1713	34			EquipMeterial	99		殘缺不全的稀有武器碎片，需要  [FFFE0D]10塊[-]才能打造成1把[FFFE0D]13階【稀有】[-]武器	1350000	10	1	1350000	6	1		999										
5764	14階稀有武器碎片	T14_Weapon_Q2_piece	1714	34			EquipMeterial	99		殘缺不全的稀有武器碎片，需要  [FFFE0D]10塊[-]才能打造成1把[FFFE0D]14階【稀有】[-]武器	1800000	11	1	1800000	6	1		999										
5765	15階稀有武器碎片	T15_Weapon_Q2_piece	1715	34			EquipMeterial	99		殘缺不全的稀有武器碎片，需要  [FFFE0D]10塊[-]才能打造成1把[FFFE0D]15階【稀有】[-]武器	2250000	12	1	2250000	6	1		999										
2091	4階傳承武器碎片	T4_Weapon_Q3_piece	1804	34	10111		EquipMeterial	99	10111	殘缺不全的傳承武器碎片，需要  [FFFE0D]5塊[-]才能打造成1把[FFFE0D]4階【傳承】[-]武器	200000	1	1	200000	4	1		999										
2092	5階傳承武器碎片	T5_Weapon_Q3_piece	1805	34	10112		EquipMeterial	99	10112	殘缺不全的傳承武器碎片，需要  [FFFE0D]5塊[-]才能打造成1把[FFFE0D]5階【傳承】[-]武器	450000	2	1	450000	4	1		999										
2093	6階傳承武器碎片	T6_Weapon_Q3_piece	1806	34	10113		EquipMeterial	99	10113	殘缺不全的傳承武器碎片，需要  [FFFE0D]5塊[-]才能打造成1把[FFFE0D]6階【傳承】[-]武器	600000	3	1	600000	4	1		999										
2946	7階傳承武器碎片	T7_Weapon_Q3_piece	1807	34	10114		EquipMeterial	99	10114	殘缺不全的傳承武器碎片，需要  [FFFE0D]5塊[-]才能打造成1把[FFFE0D]7階【傳承】[-]武器	800000	4	1	800000	4	1		999										
2947	8階傳承武器碎片	T8_Weapon_Q3_piece	1808	34	10115		EquipMeterial	99	10115	殘缺不全的傳承武器碎片，需要  [FFFE0D]5塊[-]才能打造成1把[FFFE0D]8階【傳承】[-]武器	1200000	5	1	1200000	4	1		999										
2948	9階傳承武器碎片	T9_Weapon_Q3_piece	1809	34	10116		EquipMeterial	99	10116	殘缺不全的傳承武器碎片，需要  [FFFE0D]5塊[-]才能打造成1把[FFFE0D]9階【傳承】[-]武器	1800000	6	1	1800000	4	1		999										
3668	10階傳承武器碎片	T10_Weapon_Q3_piece	1810	34	10117		EquipMeterial	99	10117	殘缺不全的傳承武器碎片，需要  [FFFE0D]5塊[-]才能打造成1把[FFFE0D]10階【傳承】[-]武器	2400000	7	1	2400000	4	1		999										
5766	11階傳承武器碎片	T11_Weapon_Q3_piece	1811	34			EquipMeterial	99		殘缺不全的傳承武器碎片，需要  [FFFE0D]5塊[-]才能打造成1把[FFFE0D]11階【傳承】[-]武器	3200000	8	1	3200000	4	1		999										
5767	12階傳承武器碎片	T12_Weapon_Q3_piece	1812	34			EquipMeterial	99		殘缺不全的傳承武器碎片，需要  [FFFE0D]5塊[-]才能打造成1把[FFFE0D]12階【傳承】[-]武器	800000	9	1	800000	4	1		999										
5768	13階傳承武器碎片	T13_Weapon_Q3_piece	1813	34			EquipMeterial	99		殘缺不全的傳承武器碎片，需要  [FFFE0D]5塊[-]才能打造成1把[FFFE0D]13階【傳承】[-]武器	1200000	10	1	1200000	4	1		999										
5769	14階傳承武器碎片	T14_Weapon_Q3_piece	1814	34			EquipMeterial	99		殘缺不全的傳承武器碎片，需要  [FFFE0D]5塊[-]才能打造成1把[FFFE0D]14階【傳承】[-]武器	1800000	11	1	1800000	4	1		999										
5770	15階傳承武器碎片	T15_Weapon_Q3_piece	1815	34			EquipMeterial	99		殘缺不全的傳承武器碎片，需要  [FFFE0D]5塊[-]才能打造成1把[FFFE0D]15階【傳承】[-]武器	2400000	12	1	2400000	4	1		999										
2094	4階稀有項鍊碎片	T4_Necklace_Q2_piece		34	14		EquipMeterial	99	14	殘缺不全的稀有項鍊碎片，需要  [FFFE0D]10塊[-]才能打造成1條[FFFE0D]4階【稀有】[-]項鍊	120000	1	1	120000	6	1		999										
2095	5階稀有項鍊碎片	T5_Necklace_Q2_piece		34	15		EquipMeterial	99	15	殘缺不全的稀有項鍊碎片，需要  [FFFE0D]10塊[-]才能打造成1條[FFFE0D]5階【稀有】[-]項鍊	250000	2	1	250000	6	1		999										
2096	6階稀有項鍊碎片	T6_Necklace_Q2_piece		34	16		EquipMeterial	99	16	殘缺不全的稀有項鍊碎片，需要  [FFFE0D]10塊[-]才能打造成1條[FFFE0D]6階【稀有】[-]項鍊	300000	3	1	300000	6	1		999										
2949	7階稀有項鍊碎片	T7_Necklace_Q2_piece		34	17		EquipMeterial	99	17	殘缺不全的稀有項鍊碎片，需要  [FFFE0D]10塊[-]才能打造成1條[FFFE0D]7階【稀有】[-]項鍊	400000	4	1	400000	6	1		999										
2950	8階稀有項鍊碎片	T8_Necklace_Q2_piece		34	18		EquipMeterial	99	18	殘缺不全的稀有項鍊碎片，需要  [FFFE0D]10塊[-]才能打造成1條[FFFE0D]8階【稀有】[-]項鍊	540000	5	1	600000	6	1		999										
2951	9階稀有項鍊碎片	T9_Necklace_Q2_piece		34	19		EquipMeterial	99	19	殘缺不全的稀有項鍊碎片，需要  [FFFE0D]10塊[-]才能打造成1條[FFFE0D]9階【稀有】[-]項鍊	800000	6	1	800000	6	1		999										
3669	10階稀有項鍊碎片	T10_Necklace_Q2_piece		34	20		EquipMeterial	99	20	殘缺不全的稀有項鍊碎片，需要  [FFFE0D]10塊[-]才能打造成1條[FFFE0D]10階【稀有】[-]項鍊	1000000	7	1	1000000	6	1		999										
5771	11階稀有項鍊碎片	T11_Necklace_Q2_piece		34	4911		EquipMeterial	99	4911	殘缺不全的稀有項鍊碎片，需要  [FFFE0D]10塊[-]才能打造成1條[FFFE0D]11階【稀有】[-]項鍊	1250000	8	1	1250000	6	1		999										
5772	12階稀有項鍊碎片	T12_Necklace_Q2_piece		34	4912		EquipMeterial	99	4912	殘缺不全的稀有項鍊碎片，需要  [FFFE0D]10塊[-]才能打造成1條[FFFE0D]12階【稀有】[-]項鍊	400000	9	1	400000	6	1		999										
5773	13階稀有項鍊碎片	T13_Necklace_Q2_piece		34	4913		EquipMeterial	99	4913	殘缺不全的稀有項鍊碎片，需要  [FFFE0D]10塊[-]才能打造成1條[FFFE0D]13階【稀有】[-]項鍊	540000	10	1	600000	6	1		999										
5774	14階稀有項鍊碎片	T14_Necklace_Q2_piece		34	4914		EquipMeterial	99	4914	殘缺不全的稀有項鍊碎片，需要  [FFFE0D]10塊[-]才能打造成1條[FFFE0D]14階【稀有】[-]項鍊	800000	11	1	800000	6	1		999										
5775	15階稀有項鍊碎片	T15_Necklace_Q2_piece		34	4915		EquipMeterial	99	4915	殘缺不全的稀有項鍊碎片，需要  [FFFE0D]10塊[-]才能打造成1條[FFFE0D]15階【稀有】[-]項鍊	1000000	12	1	1000000	6	1		999										
2097	4階傳承項鍊碎片	T4_Necklace_Q3_piece		34	14		EquipMeterial	99	14	殘缺不全的傳承項鍊碎片，需要  [FFFE0D]5塊[-]才能打造成1條[FFFE0D]4階【傳承】[-]項鍊	80000	1	1	80000	4	1		999										
2098	5階傳承項鍊碎片	T5_Necklace_Q3_piece		34	15		EquipMeterial	99	15	殘缺不全的傳承項鍊碎片，需要  [FFFE0D]5塊[-]才能打造成1條[FFFE0D]5階【傳承】[-]項鍊	180000	2	1	180000	4	1		999										
2099	6階傳承項鍊碎片	T6_Necklace_Q3_piece		34	16		EquipMeterial	99	16	殘缺不全的傳承項鍊碎片，需要  [FFFE0D]5塊[-]才能打造成1條[FFFE0D]6階【傳承】[-]項鍊	240000	3	1	240000	4	1		999										
2952	7階傳承項鍊碎片	T7_Necklace_Q3_piece		34	17		EquipMeterial	99	17	殘缺不全的傳承項鍊碎片，需要  [FFFE0D]5塊[-]才能打造成1條[FFFE0D]7階【傳承】[-]項鍊	320000	4	1	320000	4	1		999										
2953	8階傳承項鍊碎片	T8_Necklace_Q3_piece		34	18		EquipMeterial	99	18	殘缺不全的傳承項鍊碎片，需要  [FFFE0D]5塊[-]才能打造成1條[FFFE0D]8階【傳承】[-]項鍊	480000	5	1	480000	4	1		999										
2954	9階傳承項鍊碎片	T9_Necklace_Q3_piece		34	19		EquipMeterial	99	19	殘缺不全的傳承項鍊碎片，需要  [FFFE0D]5塊[-]才能打造成1條[FFFE0D]9階【傳承】[-]項鍊	720000	6	1	720000	4	1		999										
3670	10階傳承項鍊碎片	T10_Necklace_Q3_piece		34	20		EquipMeterial	99	20	殘缺不全的傳承項鍊碎片，需要  [FFFE0D]5塊[-]才能打造成1條[FFFE0D]10階【傳承】[-]項鍊	960000	7	1	960000	4	1		999										
5776	11階傳承項鍊碎片	T11_Necklace_Q3_piece		34	4911		EquipMeterial	99	4911	殘缺不全的傳承項鍊碎片，需要  [FFFE0D]5塊[-]才能打造成1條[FFFE0D]11階【傳承】[-]項鍊	1280000	8	1	1280000	4	1		999										
5777	12階傳承項鍊碎片	T12_Necklace_Q3_piece		34	4912		EquipMeterial	99	4912	殘缺不全的傳承項鍊碎片，需要  [FFFE0D]5塊[-]才能打造成1條[FFFE0D]12階【傳承】[-]項鍊	320000	9	1	320000	4	1		999										
5778	13階傳承項鍊碎片	T13_Necklace_Q3_piece		34	4913		EquipMeterial	99	4913	殘缺不全的傳承項鍊碎片，需要  [FFFE0D]5塊[-]才能打造成1條[FFFE0D]13階【傳承】[-]項鍊	480000	10	1	480000	4	1		999										
5779	14階傳承項鍊碎片	T14_Necklace_Q3_piece		34	4914		EquipMeterial	99	4914	殘缺不全的傳承項鍊碎片，需要  [FFFE0D]5塊[-]才能打造成1條[FFFE0D]14階【傳承】[-]項鍊	720000	11	1	720000	4	1		999										
5780	15階傳承項鍊碎片	T15_Necklace_Q3_piece		34	4915		EquipMeterial	99	4915	殘缺不全的傳承項鍊碎片，需要  [FFFE0D]5塊[-]才能打造成1條[FFFE0D]15階【傳承】[-]項鍊	960000	12	1	960000	4	1		999										
2100	4階稀有戒指碎片	T4_Ring_Q2_piece		34	24		EquipMeterial	99	24	殘缺不全的稀有戒指碎片，需要  [FFFE0D]10塊[-]才能打造成1枚[FFFE0D]4階【稀有】[-]戒指	120000	1	1	120000	6	1		999										
2101	5階稀有戒指碎片	T5_Ring_Q2_piece		34	25		EquipMeterial	99	25	殘缺不全的稀有戒指碎片，需要  [FFFE0D]10塊[-]才能打造成1枚[FFFE0D]5階【稀有】[-]戒指	250000	2	1	250000	6	1		999										
2102	6階稀有戒指碎片	T6_Ring_Q2_piece		34	26		EquipMeterial	99	26	殘缺不全的稀有戒指碎片，需要  [FFFE0D]10塊[-]才能打造成1枚[FFFE0D]6階【稀有】[-]戒指	300000	3	1	300000	6	1		999										
2955	7階稀有戒指碎片	T7_Ring_Q2_piece		34	27		EquipMeterial	99	27	殘缺不全的稀有戒指碎片，需要  [FFFE0D]10塊[-]才能打造成1枚[FFFE0D]7階【稀有】[-]戒指	400000	4	1	400000	6	1		999										
2956	8階稀有戒指碎片	T8_Ring_Q2_piece		34	28		EquipMeterial	99	28	殘缺不全的稀有戒指碎片，需要  [FFFE0D]10塊[-]才能打造成1枚[FFFE0D]8階【稀有】[-]戒指	540000	5	1	600000	6	1		999										
2957	9階稀有戒指碎片	T9_Ring_Q2_piece		34	29		EquipMeterial	99	29	殘缺不全的稀有戒指碎片，需要  [FFFE0D]10塊[-]才能打造成1枚[FFFE0D]9階【稀有】[-]戒指	800000	6	1	800000	6	1		999										
3671	10階稀有戒指碎片	T10_Ring_Q2_piece		34	30		EquipMeterial	99	30	殘缺不全的稀有戒指碎片，需要  [FFFE0D]10塊[-]才能打造成1枚[FFFE0D]10階【稀有】[-]戒指	1000000	7	1	1000000	6	1		999										
5781	11階稀有戒指碎片	T11_Ring_Q2_piece		34	4921		EquipMeterial	99	4921	殘缺不全的稀有戒指碎片，需要  [FFFE0D]10塊[-]才能打造成1枚[FFFE0D]11階【稀有】[-]戒指	1250000	8	1	1250000	6	1		999										
