TemplateId	Name	Kind	ItemType	Icon	BigIcon	CDType	ClassName	DetailType	Intro	ItemValue	Level	ObjID	Price	Quality	RequireLevel	Sellable	Stack	ExtParam1	ExtParam2	ExtParam3	ExtParam4	ExtParam5	ExtParam6	ExtParam7	ExtParam8	ExtParam9	ExtParam10
3549	同伴·蚩尤	Parter_sss_1	34	3549	3549		RandomItem	1	使用後召喚[e6d012]SSS級[-]同伴蚩尤\n[FFFE0D]（不可擺攤出售）[-]	18000000	1	1	100	7	1	0	1	3549									
3550	同伴·後羿	Parter_sss_2	34	3550	3550		RandomItem	1	使用後召喚[e6d012]SSS級[-]同伴後羿\n[FFFE0D]（不可擺攤出售）[-]	18000000	1	1	100	7	1	0	1	3550									
3551	同伴·蘇妲己	Parter_sss_3	34	3551	3551		RandomItem	1	使用後召喚[e6d012]SSS級[-]同伴蘇妲己\n[FFFE0D]（不可擺攤出售）[-]	18000000	1	1	100	7	1	0	1	3551									
3552	同伴·鬼穀子	Parter_sss_4	34	3552	3552		RandomItem	1	使用後召喚[e6d012]SSS級[-]同伴鬼穀子\n[FFFE0D]（不可擺攤出售）[-]	18000000	1	1	100	7	1	0	1	3552									
3553	同伴·項羽	Parter_sss_5	34	3553	3553		RandomItem	1	使用後召喚[e6d012]SSS級[-]同伴項羽\n[FFFE0D]（不可擺攤出售）[-]	18000000	1	1	100	7	1	0	1	3553									
3554	同伴·秦始皇	Parter_sss_6	34	3554	3554		RandomItem	1	使用後召喚[e6d012]SSS級[-]同伴秦始皇\n[FFFE0D]（不可擺攤出售）[-]	18000000	1	1	100	7	1	0	1	3554									
3555	同伴·武則天	Parter_sss_7	34	3555	3555		RandomItem	1	使用後召喚[e6d012]SSS級[-]同伴武則天\n[FFFE0D]（不可擺攤出售）[-]	18000000	1	1	100	7	1	0	1	3555									
3556	同伴·呂洞賓	Parter_sss_8	34	3556	3556		RandomItem	1	使用後召喚[e6d012]SSS級[-]同伴呂洞賓\n[FFFE0D]（不可擺攤出售）[-]	18000000	1	1	100	7	1	0	1	3556									
3557	同伴·張三豐	Parter_sss_9	34	3557	3557		RandomItem	1	使用後召喚[e6d012]SSS級[-]同伴張三豐\n[FFFE0D]（不可擺攤出售）[-]	18000000	1	1	100	7	1	0	1	3557									
3558	同伴·西施	Parter_sss_10	34	3558	3558		RandomItem	1	使用後召喚[e6d012]SSS級[-]同伴西施\n[FFFE0D]（不可擺攤出售）[-]	18000000	1	1	100	7	1	0	1	3558									
4056	同伴·完顏洪烈	Partner_sss_11	34	4056	4056		RandomItem	1	使用後召喚[e6d012]SSS級[-]同伴完顏洪烈\n[FFFE0D]（不可擺攤出售）[-]	18000000	1	1	100	7	1	0	1	4056									
1374	同伴·高長恭	Parter_s_boss1	34	821	821		RandomItem	1	使用後召喚[ff578c]S級[-]同伴高長恭\n[FFFE0D]（不可擺攤出售）[-]	1500000	1	1	100	5	1	0	1	1374									
1375	同伴·哲別	Parter_s_boss2	34	822	822		RandomItem	1	使用後召喚[ff578c]S級[-]同伴哲別\n[FFFE0D]（不可擺攤出售）[-]	1500000	1	1	100	5	1	0	1	1375									
1376	同伴·袁承志	Parter_s_boss3	34	823	823		RandomItem	1	使用後召喚[ff578c]S級[-]同伴袁承志\n[FFFE0D]（不可擺攤出售）[-]	1500000	1	1	100	5	1	0	1	1376									
1377	同伴·鼇拜	Parter_s_boss4	34	824	824		RandomItem	1	使用後召喚[ff578c]S級[-]同伴鼇拜\n[FFFE0D]（不可擺攤出售）[-]	1500000	1	1	100	5	1	0	1	1377									
2235	同伴·韓世忠	Parter_mj_boss5	34	2235	2235		RandomItem	1	使用後召喚[ff578c]S級[-]同伴韓世忠\n[FFFE0D]（不可擺攤出售）[-]	1500000	1	1	100	5	1	0	1	2235									
2236	同伴·秦良玉	Parter_mj_boss6	34	2236	2236		RandomItem	1	使用後召喚[ff578c]S級[-]同伴秦良玉\n[FFFE0D]（不可擺攤出售）[-]	1500000	1	1	100	5	1	0	1	2236									
1378	同伴·獨孤劍	Parter_ss_boss1	34	803	803		RandomItem	1	使用後召喚[ff578c]SS級[-]同伴獨孤劍\n[FFFE0D]（不可擺攤出售）[-]	6000000	1	1	100	6	1	0	1	1378									
1398	同伴·荊軻	Parter_ss_boss2	34	809	809		RandomItem	1	使用後召喚[ff578c]SS級[-]同伴荊軻\n[FFFE0D]（不可擺攤出售）[-]	6000000	1	1	100	6	1	0	1	1379									
1399	同伴·李廣	Parter_ss_boss3	34	810	810		RandomItem	1	使用後召喚[ff578c]SS級[-]同伴李廣\n[FFFE0D]（不可擺攤出售）[-]	6000000	1	1	100	6	1	0	1	1380									
1400	同伴·趙雲	Parter_ss_boss4	34	811	811		RandomItem	1	使用後召喚[ff578c]SS級[-]同伴趙雲\n[FFFE0D]（不可擺攤出售）[-]	6000000	1	1	100	6	1	0	1	1381									
1401	同伴·李元霸	Parter_ss_boss5	34	1447	1447		RandomItem	1	使用後召喚[ff578c]SS級[-]同伴李元霸\n[FFFE0D]（不可擺攤出售）[-]	6000000	1	1	100	6	1	0	1	1382									
