TemplateId	Name	Kind	ItemType	Icon	BigIcon	CDType	ClassName	DetailType	Intro	ItemValue	Level	ObjID	Price	Quality	RequireLevel	Sellable	Stack	ExtParam1	ExtParam2	ExtParam3	ExtParam4	ExtParam5	ExtParam6	ExtParam7	ExtParam8	ExtParam9	ExtParam10
1971	【初級】命中	PartnerSkillLevel1_1	35	1971	1971		PartnerSkillBook	35	【被動】提升同伴自身命中	50000	1	1	1000	1	1	0	99999	28									
1972	【初級】閃避	PartnerSkillLevel1_2	35	1972	1972		PartnerSkillBook	35	【被動】提升同伴自身閃避	50000	1	1	1000	1	1	0	99999	31									
1973	【初級】忽略閃避	PartnerSkillLevel1_3	35	1973	1973		PartnerSkillBook	35	【被動】提升同伴自身忽略閃避的能力	50000	1	1	1000	1	1	0	99999	34									
1974	【初級】抗會心機率	PartnerSkillLevel1_4	35	1974	1974		PartnerSkillBook	35	【被動】提升同伴自身抗會心機率	50000	1	1	1000	1	1	0	99999	37									
1975	【初級】生命恢復	PartnerSkillLevel1_5	35	1975	1975		PartnerSkillBook	35	【被動】提升同伴自身生命恢復	50000	1	1	1000	1	1	0	99999	40									
1976	【初級】抗受傷效果	PartnerSkillLevel1_6	35	1976	1976		PartnerSkillBook	35	【被動】提升同伴自身抵禦受傷效果的能力	50000	1	1	1000	1	1	0	99999	43									
1977	【初級】抗遲緩效果	PartnerSkillLevel1_7	35	1977	1977		PartnerSkillBook	35	【被動】提升同伴自身抵禦遲緩效果的能力	50000	1	1	1000	1	1	0	99999	46									
1978	【初級】抗致纏效果	PartnerSkillLevel1_8	35	1978	1978		PartnerSkillBook	35	【被動】提升同伴自身抵禦致纏效果的能力	50000	1	1	1000	1	1	0	99999	49									
1979	【初級】抗麻痹效果	PartnerSkillLevel1_9	35	1979	1979		PartnerSkillBook	35	【被動】提升同伴自身抵禦麻痹效果的能力	50000	1	1	1000	1	1	0	99999	52									
1980	【初級】抗眩暈效果	PartnerSkillLevel1_10	35	1980	1980		PartnerSkillBook	35	【被動】提升同伴自身抵禦眩暈效果的能力	50000	1	1	1000	1	1	0	99999	55									
1981	無名斬	PartnerSkillLevel2_1	35	1981	1981		PartnerSkillBook	35	【主動】近程攻擊	150000	1	1	1000	2	1	0	99999	1									
1982	寒霜印	PartnerSkillLevel2_2	35	1982	1982		PartnerSkillBook	35	【主動】遠端攻擊目標	150000	1	1	1000	2	1	0	99999	2									
1983	劇毒鏢	PartnerSkillLevel2_3	35	1983	1983		PartnerSkillBook	35	【主動】遠端攻擊目標	150000	1	1	1000	2	1	0	99999	3									
1984	霹靂印	PartnerSkillLevel2_4	35	1984	1984		PartnerSkillBook	35	【主動】遠端攻擊目標	150000	1	1	1000	2	1	0	99999	4									
1985	雷霆印	PartnerSkillLevel2_5	35	1985	1985		PartnerSkillBook	35	【主動】遠端攻擊目標	150000	1	1	1000	2	1	0	99999	5									
1986	治癒術	PartnerSkillLevel2_6	35	1986	1986		PartnerSkillBook	35	【主動】對單個友方目標進行治療	150000	1	1	1000	2	1	0	99999	16									
1987	【中級】命中	PartnerSkillLevel2_7	35	1987	1987		PartnerSkillBook	35	【被動】提升同伴自身命中	150000	1	1	1000	2	1	0	99999	29									
1988	【中級】閃避	PartnerSkillLevel2_8	35	1988	1988		PartnerSkillBook	35	【被動】提升同伴自身閃避	150000	1	1	1000	2	1	0	99999	32									
1989	【中級】忽略閃避	PartnerSkillLevel2_9	35	1989	1989		PartnerSkillBook	35	【被動】提升同伴自身忽略閃避的能力	150000	1	1	1000	2	1	0	99999	35									
1990	【中級】抗會心機率	PartnerSkillLevel2_10	35	1990	1990		PartnerSkillBook	35	【被動】提升同伴自身抗會心機率	150000	1	1	1000	2	1	0	99999	38									
1991	【中級】生命恢復	PartnerSkillLevel2_11	35	1991	1991		PartnerSkillBook	35	【被動】提升同伴自身生命恢復	150000	1	1	1000	2	1	0	99999	41									
1992	【中級】抗受傷效果	PartnerSkillLevel2_12	35	1992	1992		PartnerSkillBook	35	【被動】提升同伴自身抵禦受傷效果的能力	150000	1	1	1000	2	1	0	99999	44									
1993	【中級】抗遲緩效果	PartnerSkillLevel2_13	35	1993	1993		PartnerSkillBook	35	【被動】提升同伴自身抵禦遲緩效果的能力	150000	1	1	1000	2	1	0	99999	47									
1994	【中級】抗致纏效果	PartnerSkillLevel2_14	35	1994	1994		PartnerSkillBook	35	【被動】提升同伴自身抵禦致纏效果的能力	150000	1	1	1000	2	1	0	99999	50									
1995	【中級】抗麻痹效果	PartnerSkillLevel2_15	35	1995	1995		PartnerSkillBook	35	【被動】提升同伴自身抵禦麻痹效果的能力	150000	1	1	1000	2	1	0	99999	53									
1996	【中級】抗眩暈效果	PartnerSkillLevel2_16	35	1996	1996		PartnerSkillBook	35	【被動】提升同伴自身抵禦眩暈效果的能力	150000	1	1	1000	2	1	0	99999	56									
1997	【初級】會心機率	PartnerSkillLevel2_17	35	1997	1997		PartnerSkillBook	35	【被動】提升同伴自身會心機率	150000	1	1	1000	2	1	0	99999	58									
1998	【初級】攻擊力	PartnerSkillLevel2_18	35	1998	1998		PartnerSkillBook	35	【被動】提升同伴自身攻擊力	150000	1	1	1000	2	1	0	99999	61									
1999	【初級】生命	PartnerSkillLevel2_19	35	1999	1999		PartnerSkillBook	35	【被動】提升同伴自身生命	150000	1	1	1000	2	1	0	99999	64									
2000	【初級】移動速度	PartnerSkillLevel2_20	35	2000	2000		PartnerSkillBook	35	【被動】提升同伴自身移動速度	150000	1	1	1000	2	1	0	99999	67									
2001	【初級】金系抗性	PartnerSkillLevel2_21	35	2001	2001		PartnerSkillBook	35	【被動】提升同伴自身金系抗性	150000	1	1	1000	2	1	0	99999	70									
2002	【初級】木系抗性	PartnerSkillLevel2_22	35	2002	2002		PartnerSkillBook	35	【被動】提升同伴自身木系抗性	150000	1	1	1000	2	1	0	99999	73									
2003	【初級】水系抗性	PartnerSkillLevel2_23	35	2003	2003		PartnerSkillBook	35	【被動】提升同伴自身水系抗性	150000	1	1	1000	2	1	0	99999	76									
2004	【初級】火系抗性	PartnerSkillLevel2_24	35	2004	2004		PartnerSkillBook	35	【被動】提升同伴自身火系抗性	150000	1	1	1000	2	1	0	99999	79									
2005	【初級】土系抗性	PartnerSkillLevel2_25	35	2005	2005		PartnerSkillBook	35	【被動】提升同伴自身土系抗性	150000	1	1	1000	2	1	0	99999	82									
2006	【初級】抗屬性效果	PartnerSkillLevel2_26	35	2006	2006		PartnerSkillBook	35	【被動】提升同伴自身抵禦屬性效果的能力	150000	1	1	1000	2	1	0	99999	85									
2007	破天斬	PartnerSkillLevel3_1	35	2007	2007		PartnerSkillBook	35	【主動】近程攻擊，附帶受傷效果	500000	1	1	1000	3	1	0	99999	6									
2008	冰封指	PartnerSkillLevel3_2	35	2008	2008		PartnerSkillBook	35	【主動】遠端攻擊目標，附帶遲緩效果	500000	1	1	1000	3	1	0	99999	7									
2009	袖裡箭	PartnerSkillLevel3_3	35	2009	2009		PartnerSkillBook	35	【主動】遠端攻擊目標，附帶致纏效果	500000	1	1	1000	3	1	0	99999	8									
2010	烈焰指	PartnerSkillLevel3_4	35	2010	2010		PartnerSkillBook	35	【主動】遠端攻擊目標，附帶麻痹效果	500000	1	1	1000	3	1	0	99999	9									
2011	怒雷指	PartnerSkillLevel3_5	35	2011	2011		PartnerSkillBook	35	【主動】遠端攻擊目標，附帶眩暈效果	500000	1	1	1000	3	1	0	99999	10									
2012	群體治癒術	PartnerSkillLevel3_6	35	2012	2012		PartnerSkillBook	35	【主動】對視野範圍內友方目標進行治療	500000	1	1	1000	3	1	0	99999	17									
2013	毒瘴術	PartnerSkillLevel3_7	35	2013	2013		PartnerSkillBook	35	【主動】使目標中毒，造成恢復效果無效	500000	1	1	1000	3	1	0	99999	19									
2014	金剛護體	PartnerSkillLevel3_8	35	2014	2014		PartnerSkillBook	35	【主動】使單個友方一定時間內不受任何傷害	500000	1	1	1000	3	1	0	99999	21									
2015	不動明王	PartnerSkillLevel3_9	35	2015	2015		PartnerSkillBook	35	【主動】使單個友方一定時間內免疫任何屬性狀態和負面狀態	500000	1	1	1000	3	1	0	99999	23									
2016	枯木逢春	PartnerSkillLevel3_10	35	2016	2016		PartnerSkillBook	35	【主動】重傷時有一定機率恢復生命	500000	1	1	1000	3	1	0	99999	25									
2017	蓄力箭	PartnerSkillLevel3_11	35	2017	2017		PartnerSkillBook	35	【主動】遠端攻擊目標，造成擊退	500000	1	1	1000	3	1	0	99999	27									
2018	【高級】命中	PartnerSkillLevel3_12	35	2018	2018		PartnerSkillBook	35	【被動】提升同伴自身命中	500000	1	1	1000	3	1	0	99999	30									
2019	【高級】閃避	PartnerSkillLevel3_13	35	2019	2019		PartnerSkillBook	35	【被動】提升同伴自身閃避	500000	1	1	1000	3	1	0	99999	33									
2020	【高級】忽略閃避	PartnerSkillLevel3_14	35	2020	2020		PartnerSkillBook	35	【被動】提升同伴自身忽略閃避的能力	500000	1	1	1000	3	1	0	99999	36									
2021	【高級】抗會心機率	PartnerSkillLevel3_15	35	2021	2021		PartnerSkillBook	35	【被動】提升同伴自身抗會心機率	500000	1	1	1000	3	1	0	99999	39									
2022	【高級】生命恢復	PartnerSkillLevel3_16	35	2022	2022		PartnerSkillBook	35	【被動】提升同伴自身生命恢復	500000	1	1	1000	3	1	0	99999	42									
2023	【高級】抗受傷效果	PartnerSkillLevel3_17	35	2023	2023		PartnerSkillBook	35	【被動】提升同伴自身抵禦受傷效果的能力	500000	1	1	1000	3	1	0	99999	45									
2024	【高級】抗遲緩效果	PartnerSkillLevel3_18	35	2024	2024		PartnerSkillBook	35	【被動】提升同伴自身抵禦遲緩效果的能力	500000	1	1	1000	3	1	0	99999	48									
