TemplateId	Name	Kind	ItemType	Icon	BigIcon	CDType	ClassName	DetailType	Intro	ItemValue	Level	ObjID	Price	Quality	RequireLevel	Sellable	Stack	ExtParam1	ExtParam2	ExtParam3	ExtParam4	ExtParam5	ExtParam6	ExtParam7	ExtParam8	ExtParam9	ExtParam10
3539	蚩尤	PartnerWeapon_SSS1	35	3539	3539		PartnerWeapon	2	蚩尤的本命武器，使用後提升同伴屬性並使同伴武器發光	10000000	1	1	1000	7	1	1	99999										
3540	後羿	PartnerWeapon_SSS2	35	3540	3540		PartnerWeapon	2	後羿的本命武器，使用後提升同伴屬性並使同伴武器發光	10000000	1	1	1000	7	1	1	99999										
3541	蘇妲己	PartnerWeapon_SSS3	35	3541	3541		PartnerWeapon	2	蘇妲己的本命武器，使用後提升同伴屬性並使同伴武器發光	10000000	1	1	1000	7	1	1	99999										
3542	鬼穀子	PartnerWeapon_SSS4	35	3542	3542		PartnerWeapon	2	鬼穀子的本命武器，使用後提升同伴屬性並使同伴武器發光	10000000	1	1	1000	7	1	1	99999										
3543	項羽·霸王戟	PartnerWeapon_SSS5	35	3543	3543		PartnerWeapon	2	項羽的本命武器，使用後提升同伴屬性並使同伴武器發光	10000000	1	1	1000	7	1	1	99999										
3544	秦始皇·泰阿劍	PartnerWeapon_SSS6	35	3544	3544		PartnerWeapon	2	秦始皇的本命武器，使用後提升同伴屬性並使同伴武器發光	10000000	1	1	1000	7	1	1	99999										
4057	完顏洪烈·金龍禦鷹手	PartnerWeapon_SSS11	35	4057	4057		PartnerWeapon	2	完顏洪烈的本命武器，使用後提升同伴屬性並使同伴武器發光	3000000	1	1	1000	7	1	1	99999										
3545	武則天·明空棲鳳指	PartnerWeapon_SSS7	35	3545	3545		PartnerWeapon	2	武則天的本命武器，使用後提升同伴屬性並使同伴武器發光	10000000	1	1	1000	7	1	1	99999										
3546	呂洞賓	PartnerWeapon_SSS8	35	3546	3546		PartnerWeapon	2	呂洞賓的本命武器，使用後提升同伴屬性並使同伴武器發光	10000000	1	1	1000	7	1	1	99999										
3547	張三豐	PartnerWeapon_SSS9	35	3547	3547		PartnerWeapon	2	張三豐的本命武器，使用後提升同伴屬性並使同伴武器發光	10000000	1	1	1000	7	1	1	99999										
3548	西施	PartnerWeapon_SSS10	35	3548	3548		PartnerWeapon	2	西施的本命武器，使用後提升同伴屬性並使同伴武器發光	10000000	1	1	1000	7	1	1	99999										
1471	獨孤劍·巨闕劍	PartnerWeapon_SS1	35	11471	11471		PartnerWeapon	2	獨孤劍的本命武器，使用後提升同伴屬性並使同伴武器發光	3000000	1	1	1000	6	1	1	99999										
1472	南宮飛雲·劍中之劍	PartnerWeapon_SS2	35	11472	11472		PartnerWeapon	2	南宮飛雲的本命武器，使用後提升同伴屬性並使同伴武器發光	3000000	1	1	1000	6	1	1	99999										
1473	楊影楓·悲魔之刃	PartnerWeapon_SS3	35	11473	11473		PartnerWeapon	2	楊影楓的本命武器，使用後提升同伴屬性並使同伴武器發光	3000000	1	1	1000	6	1	1	99999										
1474	唐簡·玄雨雙星	PartnerWeapon_SS4	35	11474	11474		PartnerWeapon	2	唐簡的本命武器，使用後提升同伴屬性並使同伴武器發光	3000000	1	1	1000	6	1	1	99999										
1475	玄天道人·雪墨	PartnerWeapon_SS5	35	11475	11475		PartnerWeapon	2	玄天道人的本命武器，使用後提升同伴屬性並使同伴武器發光	3000000	1	1	1000	6	1	1	99999										
