TemplateId	Name	Kind		ItemType	BigIcon	CDType	ClassName	DetailType	Icon	Intro	ItemValue	Level	ObjID	Price	Quality	RequireLevel	Sellable	Stack	ExtParam1	ExtParam2	ExtParam3	ExtParam4	ExtParam5	ExtParam6	ExtParam7	ExtParam8	ExtParam9	ExtParam10
3577	銘刻石【戰場】	RecordStone_N1		34	27001		RecordStone	3	27001	一種銘刻於武器之上的神奇寶石。銘刻後，可用來記錄[FFFE0D]在宋金戰場中，累計破敵數[-]\n\n只能銘刻於6階稀有及黃金武器上	1000000	1	2	1000	4	20	1	99999										
3578	銘刻石【攻城戰】	RecordStone_N2		34	27002		RecordStone	3	27002	一種銘刻於武器之上的神奇寶石。銘刻後，可用來記錄[FFFE0D]在攻城戰中，累計破敵數[-]\n\n只能銘刻於6階稀有及黃金武器上	1000000	1	2	1000	4	20	1	99999										
3579	銘刻石【白虎堂】	RecordStone_N3		34	27003		RecordStone	3	27003	一種銘刻於武器之上的神奇寶石。銘刻後，可用來記錄[FFFE0D]在白虎堂中，累計殺人數[-]\n\n只能銘刻於6階稀有及黃金武器上	1000000	1	2	1000	4	20	1	99999										
3580	銘刻石【門派競技】	RecordStone_N4		34	27004		RecordStone	3	27004	一種銘刻於武器之上的神奇寶石。銘刻後，可用來記錄[FFFE0D]在門派競技中，累計獲得新人王的次數[-]\n\n只能銘刻於6階稀有及黃金武器上	1000000	1	2	1000	4	20	1	99999										
3581	銘刻石【武林盟主】	RecordStone_N5		34	27005		RecordStone	3	27005	一種銘刻於武器之上的神奇寶石。銘刻後，可用來記錄[FFFE0D]在武林盟主中，累計搶分成功的次數[-]\n\n只能銘刻於6階稀有及黃金武器上	1000000	1	2	1000	4	20	1	99999										
3582	銘刻石【歷代名將】	RecordStone_N6		34	27006		RecordStone	3	27006	一種銘刻於武器之上的神奇寶石。銘刻後，可用來記錄[FFFE0D]在歷代名將中，累計破敵數[-]\n\n只能銘刻於6階稀有及黃金武器上	1000000	1	2	1000	4	20	1	99999										
3583	銘刻石【華山論劍】	RecordStone_N7		34	27007		RecordStone	3	27007	一種銘刻於武器之上的神奇寶石。銘刻後，可用來記錄[FFFE0D]在華山論劍中，累計獲勝的次數[-]\n\n只能銘刻於6階稀有及黃金武器上	1000000	1	2	1000	4	20	1	99999										
3584	銘刻石【通天塔】	RecordStone_N8		34	27008		RecordStone	3	27008	一種銘刻於武器之上的神奇寶石。銘刻後，可用來記錄[FFFE0D]在通天塔中，累計獲勝的次數[-]\n\n只能銘刻於6階稀有及黃金武器上	1000000	1	2	1000	4	20	1	99999										
230	1級生命寶石	life_stone_1		34	230		Stone	3	230	4個同級寶石可合成1個高級寶石	20000	1	2	1000	1	27	1	99999										
231	2級生命寶石	life_stone_2		34	231		Stone	3	231	4個同級寶石可合成1個高級寶石	60000	2	2	1000	2	27	1	99999										
232	3级生命宝石	life_stone_3		34	232		Stone	3	232	4個同級寶石可合成1個高級寶石	180000	3	2	1000	3	27	1	99999										
233	4级生命宝石	life_stone_4		34	233		Stone	3	233	4個同級寶石可合成1個高級寶石	540000	4	2	1000	4	40	1	99999										
