TemplateId	Name	Kind	ShowType	ItemType	BigIcon	CDType	ClassName	DetailType	Icon	Intro	ItemValue	Level	ObjID	Price	Quality	RequireLevel	Sellable	Stack	ExtParam1	ExtParam2	ExtParam3	ExtParam4	ExtParam5	ExtParam6	ExtParam7	ExtParam8	ExtParam9	ExtParam10
1022	1階武器	Un_T1_Weapon_Q1	1101	36	10111		Unidentify	1	10111	鑒定等級：1級\n鑒定後獲得[FFFE0D]1階[-]武器	25000	1	7	25000	1	1	1	999	1									
1023	2階武器	Un_T2_Weapon_Q1	1102	36	10112		Unidentify	1	10112	鑒定等級：20級\n鑒定後獲得[FFFE0D]2階[-]武器	50000	2	7	50000	1	20	1	999	2									
1024	3階武器	Un_T3_Weapon_Q1	1103	36	10113		Unidentify	1	10113	鑒定等級：40級\n鑒定後獲得[FFFE0D]3階[-]武器	100000	3	7	100000	1	40	1	999	3									
1025	4階武器	Un_T4_Weapon_Q1	1104	36	10114		Unidentify	1	10114	鑒定等級：50級\n鑒定後獲得[FFFE0D]4階[-]武器	200000	4	7	200000	1	50	1	999	4									
1026	5階武器	Un_T5_Weapon_Q1	1105	36	10115		Unidentify	1	10115	鑒定等級：60級\n鑒定後獲得[FFFE0D]5階[-]武器	400000	5	7	400000	1	60	1	999	5									
1027	6階武器	Un_T6_Weapon_Q1	1106	36	10116		Unidentify	1	10116	鑒定等級：70級\n鑒定後獲得[FFFE0D]6階[-]武器	800000	6	7	800000	1	70	1	999	6									
1028	7階武器	Un_T7_Weapon_Q1	1107	36	10117		Unidentify	1	10117	鑒定等級：80級\n鑒定後獲得[FFFE0D]7階[-]武器	1600000	7	7	1600000	1	80	1	999	7									
1029	8階武器	Un_T8_Weapon_Q1	1108	36	10118		Unidentify	1	10118	鑒定等級：90級\n鑒定後獲得[FFFE0D]8階[-]武器	2250000	8	7	2250000	1	90	1	999	8									
1030	9階武器	Un_T9_Weapon_Q1	1109	36	10119		Unidentify	1	10119	鑒定等級：100級\n鑒定後獲得[FFFE0D]9階[-]武器	3000000	9	7	3000000	1	100	1	999	9									
1031	10階武器	Un_T10_Weapon_Q1	1110	36	10120		Unidentify	1	10120	鑒定等級：110級\n鑒定後獲得[FFFE0D]10階[-]武器	4000000	10	7	4000000	1	110	1	999	10									
5441	11階武器	Un_T11_Weapon_Q1	1311	36			Unidentify	1		鑒定等級：120級\n鑒定後獲得[FFFE0D]11階[-]武器	5500000	11	7	5500000	1	120	1	999	4901									
5442	12階武器	Un_T12_Weapon_Q1	1312	36			Unidentify	1		鑒定等級：130級\n鑒定後獲得[FFFE0D]12階[-]武器	50000	12	7	50000	1	130	1	999	4902									
5443	13階武器	Un_T13_Weapon_Q1	1313	36			Unidentify	1		鑒定等級：140級\n鑒定後獲得[FFFE0D]13階[-]武器	100000	13	7	100000	1	140	1	999	4903									
5444	14階武器	Un_T14_Weapon_Q1	1314	36			Unidentify	1		鑒定等級：150級\n鑒定後獲得[FFFE0D]14階[-]武器	200000	14	7	200000	1	150	1	999	4904									
5445	15階武器	Un_T15_Weapon_Q1	1315	36			Unidentify	1		鑒定等級：160級\n鑒定後獲得[FFFE0D]15階[-]武器	400000	15	7	400000	1	160	1	999	4905									
5446	16階武器	Un_T16_Weapon_Q1	1316	36			Unidentify	1		鑒定等級：170級\n鑒定後獲得[FFFE0D]16階[-]武器	800000	16	7	800000	1	170	1	999	4906									
5447	17階武器	Un_T17_Weapon_Q1	1317	36			Unidentify	1		鑒定等級：180級\n鑒定後獲得[FFFE0D]17階[-]武器	1600000	17	7	1600000	1	180	1	999	4907									
5448	18階武器	Un_T18_Weapon_Q1	1318	36			Unidentify	1		鑒定等級：190級\n鑒定後獲得[FFFE0D]18階[-]武器	2250000	18	7	2250000	1	190	1	999	4908									
5449	19階武器	Un_T19_Weapon_Q1	1319	36			Unidentify	1		鑒定等級：200級\n鑒定後獲得[FFFE0D]19階[-]武器	3000000	19	7	3000000	1	200	1	999	4909									
5450	20階武器	Un_T20_Weapon_Q1	1320	36			Unidentify	1		鑒定等級：210級\n鑒定後獲得[FFFE0D]20階[-]武器	4000000	20	7	4000000	1	210	1	999	4910									
