AttribType	Level	FightPower	AttribValue	Value1	Value2	Value3	SpecialDesc
vitality_v	1	5	5000	3			
vitality_v	2	7	7500	5			
vitality_v	3	10	10000	8			
vitality_v	4	15	15000	10			
vitality_v	5	20	20000	13			
vitality_v	6	30	30000	15			
vitality_v	7	40	40000	18			
vitality_v	8	60	60000	20			
vitality_v	9	100	100000	23			
vitality_v	10	160	160000	25			
vitality_v	11	250	240000	28			
vitality_v	12	400	360000	30			
vitality_v	13	600	500000	33			
vitality_v	14	1000	800000	35			
vitality_v	15	1600	1000000	38			
vitality_v	16	2400	1200000	40			
vitality_v	17	3500	1500000	43			
vitality_v	18	5000	1800000	45			
vitality_v	19	6000	2400000	48			
vitality_v	20	7500	3000000	50			
vitality_v	21	8000	3600000	53			
vitality_v	22	8500	4200000	55			
vitality_v	23	9000	4800000	58			
vitality_v	24	9500	5400000	60			
vitality_v	25	10000	6000000	63			
vitality_v	26	10500	6600000	65			
vitality_v	27	11000	7200000	68			
vitality_v	28	11500	7800000	70			
vitality_v	29	12000	8400000	73			
vitality_v	30	12500	9000000	75			
energy_v	1	5	5000	3			
energy_v	2	7	7500	5			
energy_v	3	10	10000	8			
energy_v	4	15	15000	10			
energy_v	5	20	20000	13			
energy_v	6	30	30000	15			
energy_v	7	40	40000	18			
energy_v	8	60	60000	20			
energy_v	9	100	100000	23			
energy_v	10	160	160000	25			
energy_v	11	250	240000	28			
energy_v	12	400	360000	30			
energy_v	13	600	500000	33			
energy_v	14	1000	800000	35			
energy_v	15	1600	1000000	38			
energy_v	16	2400	1200000	40			
energy_v	17	3500	1500000	43			
energy_v	18	5000	1800000	45			
energy_v	19	6000	2400000	48			
energy_v	20	7500	3000000	50			
energy_v	21	8000	3600000	53			
energy_v	22	8500	4200000	55			
energy_v	23	9000	4800000	58			
energy_v	24	9500	5400000	60			
energy_v	25	10000	6000000	63			
energy_v	26	10500	6600000	65			
energy_v	27	11000	7200000	68			
energy_v	28	11500	7800000	70			
energy_v	29	12000	8400000	73			
energy_v	30	12500	9000000	75			
strength_v	1	5	5000	3			
strength_v	2	7	7500	5			
strength_v	3	10	10000	8			
strength_v	4	15	15000	10			
strength_v	5	20	20000	13			
strength_v	6	30	30000	15			
strength_v	7	40	40000	18			
strength_v	8	60	60000	20			
strength_v	9	100	100000	23			
strength_v	10	160	160000	25			
strength_v	11	250	240000	28			
strength_v	12	400	360000	30			
strength_v	13	600	500000	33			
strength_v	14	1000	800000	35			
strength_v	15	1600	1000000	38			
strength_v	16	2400	1200000	40			
strength_v	17	3500	1500000	43			
strength_v	18	5000	1800000	45			
strength_v	19	6000	2400000	48			
strength_v	20	7500	3000000	50			
strength_v	21	8000	3600000	53			
strength_v	22	8500	4200000	55			
strength_v	23	9000	4800000	58			
strength_v	24	9500	5400000	60			
strength_v	25	10000	6000000	63			
strength_v	26	10500	6600000	65			
strength_v	27	11000	7200000	68			
strength_v	28	11500	7800000	70			
strength_v	29	12000	8400000	73			
strength_v	30	12500	9000000	75			
dexterity_v	1	5	5000	3			
dexterity_v	2	7	7500	5			
dexterity_v	3	10	10000	8			
dexterity_v	4	15	15000	10			
dexterity_v	5	20	20000	13			
dexterity_v	6	30	30000	15			
dexterity_v	7	40	40000	18			
dexterity_v	8	60	60000	20			
dexterity_v	9	100	100000	23			
dexterity_v	10	160	160000	25			
dexterity_v	11	250	240000	28			
dexterity_v	12	400	360000	30			
dexterity_v	13	600	500000	33			
dexterity_v	14	1000	800000	35			
dexterity_v	15	1600	1000000	38			
dexterity_v	16	2400	1200000	40			
dexterity_v	17	3500	1500000	43			
dexterity_v	18	5000	1800000	45			
dexterity_v	19	6000	2400000	48			
dexterity_v	20	7500	3000000	50			
dexterity_v	21	8000	3600000	53			
dexterity_v	22	8500	4200000	55			
dexterity_v	23	9000	4800000	58			
dexterity_v	24	9500	5400000	60			
dexterity_v	25	10000	6000000	63			
dexterity_v	26	10500	6600000	65			
dexterity_v	27	11000	7200000	68			
dexterity_v	28	11500	7800000	70			
dexterity_v	29	12000	8400000	73			
dexterity_v	30	12500	9000000	75			
lifemax_v	1	5	5000	50			
lifemax_v	2	7	7500	100			
lifemax_v	3	10	10000	150			
lifemax_v	4	15	15000	200			
lifemax_v	5	20	20000	250			
lifemax_v	6	30	30000	300			
lifemax_v	7	40	40000	350			
lifemax_v	8	60	60000	400			
lifemax_v	9	100	100000	450			
lifemax_v	10	160	160000	500			
lifemax_v	11	250	240000	550			
lifemax_v	12	400	360000	600			
lifemax_v	13	600	500000	650			
lifemax_v	14	1000	800000	700			
lifemax_v	15	1600	1000000	750			
lifemax_v	16	2400	1200000	800			
lifemax_v	17	3500	1500000	850			
lifemax_v	18	5000	1800000	900			
lifemax_v	19	6000	2400000	950			
lifemax_v	20	7500	3000000	1000			
lifemax_v	21	8000	3600000	1050			
lifemax_v	22	8500	4200000	1100			
lifemax_v	23	9000	4800000	1150			
lifemax_v	24	9500	5400000	1200			
lifemax_v	25	10000	6000000	1250			
lifemax_v	26	10500	6600000	1300			
lifemax_v	27	11000	7200000	1350			
lifemax_v	28	11500	7800000	1400			
lifemax_v	29	12000	8400000	1450			
lifemax_v	30	12500	9000000	1500			
lifemax_p	1	5	5000	1			
lifemax_p	2	7	7500	2			
lifemax_p	3	10	10000	3			
lifemax_p	4	15	15000	4			
lifemax_p	5	20	20000	5			
lifemax_p	6	30	30000	6			
lifemax_p	7	40	40000	7			
lifemax_p	8	60	60000	8			
lifemax_p	9	100	100000	9			
lifemax_p	10	160	160000	10			
lifemax_p	11	250	240000	11			
