AttribType	Level	FightPower	AttribValue	Value1	Value2	Value3	SpecialDesc
vitality_v	1	10	10000	5			
vitality_v	2	15	15000	10			
vitality_v	3	20	20000	15			
vitality_v	4	30	30000	20			
vitality_v	5	40	40000	25			
vitality_v	6	60	60000	30			
vitality_v	7	80	80000	35			
vitality_v	8	120	120000	40			
vitality_v	9	200	200000	45			
vitality_v	10	320	320000	50			
vitality_v	11	500	480000	55			
vitality_v	12	800	720000	60			
vitality_v	13	1200	1000000	65			
vitality_v	14	2000	1600000	70			
vitality_v	15	3200	2000000	75			
vitality_v	16	4800	2400000	80			
vitality_v	17	7000	3000000	85			
vitality_v	18	10000	3600000	90			
vitality_v	19	12000	4800000	95			
vitality_v	20	15000	6000000	100			
vitality_v	21	16000	7200000	105			
vitality_v	22	17000	8400000	110			
vitality_v	23	18000	9600000	115			
vitality_v	24	19000	10800000	120			
vitality_v	25	20000	12000000	125			
vitality_v	26	21000	13200000	130			
vitality_v	27	22000	14400000	135			
vitality_v	28	23000	15600000	140			
vitality_v	29	24000	16800000	145			
vitality_v	30	25000	18000000	150			
energy_v	1	10	10000	5			
energy_v	2	15	15000	10			
energy_v	3	20	20000	15			
energy_v	4	30	30000	20			
energy_v	5	40	40000	25			
energy_v	6	60	60000	30			
energy_v	7	80	80000	35			
energy_v	8	120	120000	40			
energy_v	9	200	200000	45			
energy_v	10	320	320000	50			
energy_v	11	500	480000	55			
energy_v	12	800	720000	60			
energy_v	13	1200	1000000	65			
energy_v	14	2000	1600000	70			
energy_v	15	3200	2000000	75			
energy_v	16	4800	2400000	80			
energy_v	17	7000	3000000	85			
energy_v	18	10000	3600000	90			
energy_v	19	12000	4800000	95			
energy_v	20	15000	6000000	100			
energy_v	21	16000	7200000	105			
energy_v	22	17000	8400000	110			
energy_v	23	18000	9600000	115			
energy_v	24	19000	10800000	120			
energy_v	25	20000	12000000	125			
energy_v	26	21000	13200000	130			
energy_v	27	22000	14400000	135			
energy_v	28	23000	15600000	140			
energy_v	29	24000	16800000	145			
energy_v	30	25000	18000000	150			
strength_v	1	10	10000	5			
strength_v	2	15	15000	10			
strength_v	3	20	20000	15			
strength_v	4	30	30000	20			
strength_v	5	40	40000	25			
strength_v	6	60	60000	30			
strength_v	7	80	80000	35			
strength_v	8	120	120000	40			
strength_v	9	200	200000	45			
strength_v	10	320	320000	50			
strength_v	11	500	480000	55			
strength_v	12	800	720000	60			
strength_v	13	1200	1000000	65			
strength_v	14	2000	1600000	70			
strength_v	15	3200	2000000	75			
strength_v	16	4800	2400000	80			
strength_v	17	7000	3000000	85			
strength_v	18	10000	3600000	90			
strength_v	19	12000	4800000	95			
strength_v	20	15000	6000000	100			
strength_v	21	16000	7200000	105			
strength_v	22	17000	8400000	110			
strength_v	23	18000	9600000	115			
strength_v	24	19000	10800000	120			
strength_v	25	20000	12000000	125			
strength_v	26	21000	13200000	130			
