AttribType	Level	FightPower	AttribValue	Value1	Value2	Value3	SpecialDesc
vitality_v	1	25	25000	12			
vitality_v	2	37	37500	25			
vitality_v	3	50	50000	37			
vitality_v	4	75	75000	50			
vitality_v	5	100	100000	62			
vitality_v	6	150	150000	75			
vitality_v	7	200	200000	87			
vitality_v	8	300	300000	100			
vitality_v	9	500	500000	112			
vitality_v	10	800	800000	125			
vitality_v	11	1250	1200000	137			
vitality_v	12	2000	1800000	150			
vitality_v	13	3000	2500000	162			
vitality_v	14	5000	4000000	175			
vitality_v	15	8000	5000000	187			
vitality_v	16	12000	6000000	200			
vitality_v	17	17500	7500000	212			
vitality_v	18	25000	9000000	225			
vitality_v	19	30000	12000000	237			
vitality_v	20	37500	15000000	250			
vitality_v	21	40000	18000000	265			
vitality_v	22	42500	21000000	275			
vitality_v	23	45000	24000000	290			
vitality_v	24	47500	27000000	300			
vitality_v	25	50000	30000000	315			
vitality_v	26	52500	33000000	325			
vitality_v	27	55000	36000000	340			
vitality_v	28	57500	39000000	350			
vitality_v	29	60000	42000000	365			
vitality_v	30	62500	45000000	375			
energy_v	1	25	25000	12			
energy_v	2	37	37500	25			
energy_v	3	50	50000	37			
energy_v	4	75	75000	50			
energy_v	5	100	100000	62			
energy_v	6	150	150000	75			
energy_v	7	200	200000	87			
energy_v	8	300	300000	100			
energy_v	9	500	500000	112			
energy_v	10	800	800000	125			
energy_v	11	1250	1200000	137			
energy_v	12	2000	1800000	150			
energy_v	13	3000	2500000	162			
energy_v	14	5000	4000000	175			
energy_v	15	8000	5000000	187			
energy_v	16	12000	6000000	200			
energy_v	17	17500	7500000	212			
energy_v	18	25000	9000000	225			
energy_v	19	30000	12000000	237			
energy_v	20	37500	15000000	250			
energy_v	21	40000	18000000	265			
energy_v	22	42500	21000000	275			
energy_v	23	45000	24000000	290			
energy_v	24	47500	27000000	300			
energy_v	25	50000	30000000	315			
energy_v	26	52500	33000000	325			
energy_v	27	55000	36000000	340			
energy_v	28	57500	39000000	350			
energy_v	29	60000	42000000	365			
energy_v	30	62500	45000000	375			
strength_v	1	25	25000	12			
strength_v	2	37	37500	25			
strength_v	3	50	50000	37			
strength_v	4	75	75000	50			
strength_v	5	100	100000	62			
strength_v	6	150	150000	75			
strength_v	7	200	200000	87			
strength_v	8	300	300000	100			
strength_v	9	500	500000	112			
strength_v	10	800	800000	125			
strength_v	11	1250	1200000	137			
strength_v	12	2000	1800000	150			
strength_v	13	3000	2500000	162			
strength_v	14	5000	4000000	175			
strength_v	15	8000	5000000	187			
strength_v	16	12000	6000000	200			
strength_v	17	17500	7500000	212			
strength_v	18	25000	9000000	225			
strength_v	19	30000	12000000	237			
strength_v	20	37500	15000000	250			
strength_v	21	40000	18000000	265			
strength_v	22	42500	21000000	275			
strength_v	23	45000	24000000	290			
strength_v	24	47500	27000000	300			
strength_v	25	50000	30000000	315			
strength_v	26	52500	33000000	325			
strength_v	27	55000	36000000	340			
strength_v	28	57500	39000000	350			
strength_v	29	60000	42000000	365			
strength_v	30	62500	45000000	375			
dexterity_v	1	25	25000	12			
dexterity_v	2	37	37500	25			
dexterity_v	3	50	50000	37			
dexterity_v	4	75	75000	50			
dexterity_v	5	100	100000	62			
dexterity_v	6	150	150000	75			
dexterity_v	7	200	200000	87			
dexterity_v	8	300	300000	100			
dexterity_v	9	500	500000	112			
dexterity_v	10	800	800000	125			
dexterity_v	11	1250	1200000	137			
dexterity_v	12	2000	1800000	150			
dexterity_v	13	3000	2500000	162			
dexterity_v	14	5000	4000000	175			
dexterity_v	15	8000	5000000	187			
dexterity_v	16	12000	6000000	200			
dexterity_v	17	17500	7500000	212			
dexterity_v	18	25000	9000000	225			
dexterity_v	19	30000	12000000	237			
dexterity_v	20	37500	15000000	250			
dexterity_v	21	40000	18000000	265			
dexterity_v	22	42500	21000000	275			
dexterity_v	23	45000	24000000	290			
dexterity_v	24	47500	27000000	300			
dexterity_v	25	50000	30000000	315			
dexterity_v	26	52500	33000000	325			
dexterity_v	27	55000	36000000	340			
dexterity_v	28	57500	39000000	350			
dexterity_v	29	60000	42000000	365			
dexterity_v	30	62500	45000000	375			
lifemax_v	1	25	25000	250			
lifemax_v	2	37	37500	500			
lifemax_v	3	50	50000	750			
lifemax_v	4	75	75000	1000			
lifemax_v	5	100	100000	1250			
lifemax_v	6	150	150000	1500			
lifemax_v	7	200	200000	1750			
lifemax_v	8	300	300000	2000			
lifemax_v	9	500	500000	2250			
lifemax_v	10	800	800000	2500			
lifemax_v	11	1250	1200000	2750			
lifemax_v	12	2000	1800000	3000			
lifemax_v	13	3000	2500000	3250			
lifemax_v	14	5000	4000000	3500			
lifemax_v	15	8000	5000000	3750			
lifemax_v	16	12000	6000000	4000			
lifemax_v	17	17500	7500000	4250			
lifemax_v	18	25000	9000000	4500			
lifemax_v	19	30000	12000000	4750			
lifemax_v	20	37500	15000000	5000			
lifemax_v	21	40000	18000000	5250			
lifemax_v	22	42500	21000000	5500			
lifemax_v	23	45000	24000000	5750			
lifemax_v	24	47500	27000000	6000			
lifemax_v	25	50000	30000000	6250			
lifemax_v	26	52500	33000000	6500			
lifemax_v	27	55000	36000000	6750			
lifemax_v	28	57500	39000000	7000			
lifemax_v	29	60000	42000000	7250			
lifemax_v	30	62500	45000000	7500			
lifemax_p	1	25	25000	1			
lifemax_p	2	37	37500	2			
lifemax_p	3	50	50000	3			
lifemax_p	4	75	75000	4			
lifemax_p	5	100	100000	5			
lifemax_p	6	150	150000	6			
lifemax_p	7	200	200000	7			
lifemax_p	8	300	300000	8			
lifemax_p	9	500	500000	9			
lifemax_p	10	800	800000	10			
lifemax_p	11	1250	1200000	11			
lifemax_p	12	2000	1800000	12			
lifemax_p	13	3000	2500000	13			
lifemax_p	14	5000	4000000	14			
lifemax_p	15	8000	5000000	15			
lifemax_p	16	12000	6000000	16			
lifemax_p	17	17500	7500000	17			
lifemax_p	18	25000	9000000	18			
lifemax_p	19	30000	12000000	19			
lifemax_p	20	37500	15000000	20			
lifemax_p	21	40000	18000000	21			
lifemax_p	22	42500	21000000	22			
lifemax_p	23	45000	24000000	23			
lifemax_p	24	47500	27000000	24			
lifemax_p	25	50000	30000000	25			
lifemax_p	26	52500	33000000	26			
lifemax_p	27	55000	36000000	27			
lifemax_p	28	57500	39000000	28			
lifemax_p	29	60000	42000000	29			
lifemax_p	30	62500	45000000	30			
basic_damage_v	1	25	25000	12		12	
basic_damage_v	2	37	37500	25		25	
basic_damage_v	3	50	50000	37		37	
basic_damage_v	4	75	75000	50		50	
basic_damage_v	5	100	100000	62		62	
basic_damage_v	6	150	150000	75		75	
basic_damage_v	7	200	200000	87		87	
basic_damage_v	8	300	300000	100		100	
basic_damage_v	9	500	500000	112		112	
basic_damage_v	10	800	800000	125		125	
basic_damage_v	11	1250	1200000	137		137	
basic_damage_v	12	2000	1800000	150		150	
basic_damage_v	13	3000	2500000	162		162	
basic_damage_v	14	5000	4000000	175		175	
basic_damage_v	15	8000	5000000	187		187	
basic_damage_v	16	12000	6000000	200		200	
basic_damage_v	17	17500	7500000	212		212	
basic_damage_v	18	25000	9000000	225		225	
basic_damage_v	19	30000	12000000	237		237	
basic_damage_v	20	37500	15000000	250		250	
basic_damage_v	21	40000	18000000	265		265	
basic_damage_v	22	42500	21000000	275		275	
basic_damage_v	23	45000	24000000	290		290	
basic_damage_v	24	47500	27000000	300		300	
basic_damage_v	25	50000	30000000	315		315	
basic_damage_v	26	52500	33000000	325		325	
basic_damage_v	27	55000	36000000	340		340	
basic_damage_v	28	57500	39000000	350		350	
basic_damage_v	29	60000	42000000	365		365	
basic_damage_v	30	62500	45000000	375		375	
physical_damage_v	1	25	25000	12		12	
physical_damage_v	2	37	37500	25		25	
physical_damage_v	3	50	50000	37		37	
physical_damage_v	4	75	75000	50		50	
physical_damage_v	5	100	100000	62		62	
physical_damage_v	6	150	150000	75		75	
physical_damage_v	7	200	200000	87		87	
physical_damage_v	8	300	300000	100		100	
physical_damage_v	9	500	500000	112		112	
physical_damage_v	10	800	800000	125		125	
physical_damage_v	11	1250	1200000	137		137	
physical_damage_v	12	2000	1800000	150		150	
physical_damage_v	13	3000	2500000	162		162	
physical_damage_v	14	5000	4000000	175		175	
physical_damage_v	15	8000	5000000	187		187	
physical_damage_v	16	12000	6000000	200		200	
physical_damage_v	17	17500	7500000	212		212	
physical_damage_v	18	25000	9000000	225		225	
physical_damage_v	19	30000	12000000	237		237	
physical_damage_v	20	37500	15000000	250		250	
physical_damage_v	21	40000	18000000	265		265	
physical_damage_v	22	42500	21000000	275		275	
physical_damage_v	23	45000	24000000	290		290	
physical_damage_v	24	47500	27000000	300		300	
physical_damage_v	25	50000	30000000	315		315	
physical_damage_v	26	52500	33000000	325		325	
physical_damage_v	27	55000	36000000	340		340	
physical_damage_v	28	57500	39000000	350		350	
physical_damage_v	29	60000	42000000	365		365	
physical_damage_v	30	62500	45000000	375		375	
physical_metaldamage_v	1	25	25000	12		12	
physical_metaldamage_v	2	37	37500	25		25	
physical_metaldamage_v	3	50	50000	37		37	
physical_metaldamage_v	4	75	75000	50		50	
physical_metaldamage_v	5	100	100000	62		62	
physical_metaldamage_v	6	150	150000	75		75	
physical_metaldamage_v	7	200	200000	87		87	
physical_metaldamage_v	8	300	300000	100		100	
physical_metaldamage_v	9	500	500000	112		112	
physical_metaldamage_v	10	800	800000	125		125	
physical_metaldamage_v	11	1250	1200000	137		137	
physical_metaldamage_v	12	2000	1800000	150		150	
physical_metaldamage_v	13	3000	2500000	162		162	
physical_metaldamage_v	14	5000	4000000	175		175	
physical_metaldamage_v	15	8000	5000000	187		187	
physical_metaldamage_v	16	12000	6000000	200		200	
physical_metaldamage_v	17	17500	7500000	212		212	
physical_metaldamage_v	18	25000	9000000	225		225	
physical_metaldamage_v	19	30000	12000000	237		237	
physical_metaldamage_v	20	37500	15000000	250		250	
physical_metaldamage_v	21	40000	18000000	265		265	
physical_metaldamage_v	22	42500	21000000	275		275	
physical_metaldamage_v	23	45000	24000000	290		290	
physical_metaldamage_v	24	47500	27000000	300		300	
physical_metaldamage_v	25	50000	30000000	315		315	
physical_metaldamage_v	26	52500	33000000	325		325	
physical_metaldamage_v	27	55000	36000000	340		340	
physical_metaldamage_v	28	57500	39000000	350		350	
physical_metaldamage_v	29	60000	42000000	365		365	
physical_metaldamage_v	30	62500	45000000	375		375	
physical_earthdamage_v	1	25	25000	12		12	
physical_earthdamage_v	2	37	37500	25		25	
physical_earthdamage_v	3	50	50000	37		37	
physical_earthdamage_v	4	75	75000	50		50	
physical_earthdamage_v	5	100	100000	62		62	
physical_earthdamage_v	6	150	150000	75		75	
physical_earthdamage_v	7	200	200000	87		87	
physical_earthdamage_v	8	300	300000	100		100	
physical_earthdamage_v	9	500	500000	112		112	
physical_earthdamage_v	10	800	800000	125		125	
physical_earthdamage_v	11	1250	1200000	137		137	
physical_earthdamage_v	12	2000	1800000	150		150	
physical_earthdamage_v	13	3000	2500000	162		162	
physical_earthdamage_v	14	5000	4000000	175		175	
physical_earthdamage_v	15	8000	5000000	187		187	
physical_earthdamage_v	16	12000	6000000	200		200	
physical_earthdamage_v	17	17500	7500000	212		212	
physical_earthdamage_v	18	25000	9000000	225		225	
physical_earthdamage_v	19	30000	12000000	237		237	
physical_earthdamage_v	20	37500	15000000	250		250	
physical_earthdamage_v	21	40000	18000000	265		265	
physical_earthdamage_v	22	42500	21000000	275		275	
physical_earthdamage_v	23	45000	24000000	290		290	
physical_earthdamage_v	24	47500	27000000	300		300	
physical_earthdamage_v	25	50000	30000000	315		315	
physical_earthdamage_v	26	52500	33000000	325		325	
physical_earthdamage_v	27	55000	36000000	340		340	
physical_earthdamage_v	28	57500	39000000	350		350	
physical_earthdamage_v	29	60000	42000000	365		365	
physical_earthdamage_v	30	62500	45000000	375		375	
physical_waterdamage_v	1	25	25000	12		12	
physical_waterdamage_v	2	37	37500	25		25	
physical_waterdamage_v	3	50	50000	37		37	
physical_waterdamage_v	4	75	75000	50		50	
physical_waterdamage_v	5	100	100000	62		62	
physical_waterdamage_v	6	150	150000	75		75	
physical_waterdamage_v	7	200	200000	87		87	
physical_waterdamage_v	8	300	300000	100		100	
physical_waterdamage_v	9	500	500000	112		112	
physical_waterdamage_v	10	800	800000	125		125	
physical_waterdamage_v	11	1250	1200000	137		137	
physical_waterdamage_v	12	2000	1800000	150		150	
physical_waterdamage_v	13	3000	2500000	162		162	
physical_waterdamage_v	14	5000	4000000	175		175	
physical_waterdamage_v	15	8000	5000000	187		187	
physical_waterdamage_v	16	12000	6000000	200		200	
physical_waterdamage_v	17	17500	7500000	212		212	
physical_waterdamage_v	18	25000	9000000	225		225	
physical_waterdamage_v	19	30000	12000000	237		237	
physical_waterdamage_v	20	37500	15000000	250		250	
physical_waterdamage_v	21	40000	18000000	265		265	
physical_waterdamage_v	22	42500	21000000	275		275	
physical_waterdamage_v	23	45000	24000000	290		290	
physical_waterdamage_v	24	47500	27000000	300		300	
physical_waterdamage_v	25	50000	30000000	315		315	
physical_waterdamage_v	26	52500	33000000	325		325	
physical_waterdamage_v	27	55000	36000000	340		340	
physical_waterdamage_v	28	57500	39000000	350		350	
physical_waterdamage_v	29	60000	42000000	365		365	
physical_waterdamage_v	30	62500	45000000	375		375	
physical_firedamage_v	1	25	25000	12		12	
physical_firedamage_v	2	37	37500	25		25	
physical_firedamage_v	3	50	50000	37		37	
physical_firedamage_v	4	75	75000	50		50	
physical_firedamage_v	5	100	100000	62		62	
physical_firedamage_v	6	150	150000	75		75	
