ClassParamID	Desc	Probability	Name	Item	DebtReplaceItem	OtherType	SubType	Amount	Add2Auction	TimeLimit	WorldMsg	FriendMsg	KinMsg	TeamMsg
1		0	100銀兩			Coin		100						
1		0	一個同伴魂石			PartnerStone	9	10						
1		5	1個紅藥瓶小	579				1			5		3	
1		5	2個紅藥瓶小	579				2						
2		0	200銀兩			Coin		200						
2		0	20元寶			Gold		20						
2		5	1個紅藥瓶小	579				1					3	
2		5	2個紅藥瓶小	579				2						
3		0	300銀兩			Coin		300						
3		0	30元寶			Gold		30						
3		5	1個紅藥瓶小	579				1			5		3	
3		5	2個紅藥瓶小	579				2						
749	武神黃金箱（1-39級）	95200	T2稀有項鍊	1133				1					13	
749	武神黃金箱（1-39級）	476200	T2傳承項鍊	1621				1						
749	武神黃金箱（1-39級）	15900	魂石·楊鐵心	1731				1			13		13	
749	武神黃金箱（1-39級）	14300	3000貢獻			Contrib		3000					13	
749	武神黃金箱（1-39級）	28500	2000貢獻			Contrib		2000					13	
749	武神黃金箱（1-39級）	74250	1000貢獻			Contrib		1000						
749	武神黃金箱（1-39級）	117050	800貢獻			Contrib		800						
749	武神黃金箱（1-39級）	178600	500貢獻			Contrib		500						
750	武神黃金箱（40-49級）	34300	T3稀有項鍊	1134				1			13		13	
750	武神黃金箱（40-49級）	250000	T3傳承項鍊	1622				1					13	
750	武神黃金箱（40-49級）	15900	魂石·楊鐵心	1731				1			13		13	
750	武神黃金箱（40-49級）	2400	3000貢獻			Contrib		3000					13	
750	武神黃金箱（40-49級）	10700	2000貢獻			Contrib		2000					13	
750	武神黃金箱（40-49級）	42700	1000貢獻			Contrib		1000						
750	武神黃金箱（40-49級）	140250	600貢獻			Contrib		600						
750	武神黃金箱（40-49級）	503750	400貢獻			Contrib		400						
751	武神黃金箱（50-59級）	211500	T4稀有項鍊碎片	2094				1					13	
751	武神黃金箱（50-59級）	90000	T4傳承項鍊	1623				1			13		13	
751	武神黃金箱（50-59級）	16000	魂石·楊鐵心	1731				1			13		13	
751	武神黃金箱（50-59級）	4000	3000貢獻			Contrib		3000					13	
751	武神黃金箱（50-59級）	12000	2000貢獻			Contrib		2000					13	
751	武神黃金箱（50-59級）	40000	1000貢獻			Contrib		1000						
751	武神黃金箱（50-59級）	149500	600貢獻			Contrib		600						
751	武神黃金箱（50-59級）	477000	400貢獻			Contrib		400						
752	武神黃金箱（60-69級）	96000	T5稀有項鍊碎片	2095				1					13	
752	武神黃金箱（60-69級）	200000	T5傳承項鍊碎片	2098				1					13	
752	武神黃金箱（60-69級）	2000	魂石·楊瑛	2528				1			13		13	
752	武神黃金箱（60-69級）	5000	魂石·楊鐵心	1731				1			13		13	
752	武神黃金箱（60-69級）	300000	2級石頭	4322				1					13	
752	武神黃金箱（60-69級）	5000	3000貢獻			Contrib		3000					13	
752	武神黃金箱（60-69級）	15000	2000貢獻			Contrib		2000						
752	武神黃金箱（60-69級）	45000	1000貢獻			Contrib		1000						
752	武神黃金箱（60-69級）	138500	600貢獻			Contrib		600						
