UpgradeID	DESC	PlayerLevel	TimeFrame	BookLevel	BookSkillLevel	CostItem1	CostItemCount1	CostItem2	CostItemCount2
2398	秘笈·野蠻衝撞	65	OpenLevel69	100	10	2398	2	2424	200
2401	秘笈·血戰八方	70	OpenLevel69	100	10	2401	2	2424	200
2719	秘笈·金鐘罩	75	OpenLevel69	100	10	2719	2	2424	200
2402	秘笈·霸王怒吼	80	OpenLevel69	100	10	2402	2	2424	200
2720	秘笈·江海凝波	65	OpenLevel69	100	10	2720	2	2424	200
2403	秘笈·天舞寶輪	70	OpenLevel69	100	10	2403	2	2424	200
2404	秘笈·慈航普渡	75	OpenLevel69	100	10	2404	2	2424	200
2405	秘笈·白露凝霜	80	OpenLevel69	100	10	2405	2	2424	200
2409	秘笈·飛火流星	65	OpenLevel69	100	10	2409	2	2424	200
2722	秘笈·九耀連珠	70	OpenLevel69	100	10	2722	2	2424	200
2410	秘笈·火鳳燎原	75	OpenLevel69	100	10	2410	2	2424	200
2411	秘笈·穿雲破月	80	OpenLevel69	100	10	2411	2	2424	200
2721	秘笈·白虹貫日	65	OpenLevel69	100	10	2721	2	2424	200
2406	秘笈·七探蛇盤	70	OpenLevel69	100	10	2406	2	2424	200
2407	秘笈·鬥轉星移	75	OpenLevel69	100	10	2407	2	2424	200
2408	秘笈·風捲殘雲	80	OpenLevel69	100	10	2408	2	2424	200
2412	秘笈·劍飛驚天	65	OpenLevel69	100	10	2412	2	2424	200
2413	秘笈·坐忘無我	70	OpenLevel69	100	10	2413	2	2424	200
2414	秘笈·天地無極	75	OpenLevel69	100	10	2414	2	2424	200
2723	秘笈·人劍合一	80	OpenLevel69	100	10	2723	2	2424	200
2724	秘笈·死亡迴旋	65	OpenLevel69	100	10	2724	2	2424	200
2415	秘笈·魔焰在天	70	OpenLevel69	100	10	2415	2	2424	200
2416	秘笈·血月之影	75	OpenLevel69	100	10	2416	2	2424	200
2417	秘笈·攝魂亂心	80	OpenLevel69	100	10	2417	2	2424	200
2713	秘笈·降龍棍	65	OpenLevel69	100	10	2713	2	2424	200
2714	秘笈·大力金剛指	70	OpenLevel69	100	10	2714	2	2424	200
2715	秘笈·金剛伏魔	75	OpenLevel69	100	10	2715	2	2424	200
2749	秘笈·十二擒龍手	80	OpenLevel69	100	10	2749	2	2424	200
2716	秘笈·璿璣羅舞	65	OpenLevel69	100	10	2716	2	2424	200
2717	秘笈·雨打梨花	70	OpenLevel69	100	10	2717	2	2424	200
2718	秘笈·召喚啵啵	75	OpenLevel69	100	10	2718	2	2424	200
2750	秘笈·冰蹤無影	80	OpenLevel69	100	10	2750	2	2424	200
3267	秘笈·纏身刺	65	OpenLevel69	100	10	3267	2	2424	200
3268	秘笈·暴雨梨花	70	OpenLevel69	100	10	3268	2	2424	200
3269	秘笈·迷影縱	75	OpenLevel69	100	10	3269	2	2424	200
3270	秘笈·九宮飛星	80	OpenLevel69	100	10	3270	2	2424	200
3271	秘笈·仙人指路	65	OpenLevel69	100	10	3271	2	2424	200
3272	秘笈·嘯風三連擊	70	OpenLevel69	100	10	3272	2	2424	200
3273	秘笈·混沌劍陣	75	OpenLevel69	100	10	3273	2	2424	200
3274	秘笈·雷動九天	80	OpenLevel69	100	10	3274	2	2424	200
4021	秘笈·亢龍有悔	65	OpenLevel69	100	10	4021	2	2424	200
4022	秘笈·困龍功	70	OpenLevel69	100	10	4022	2	2424	200
4023	秘笈·醉蝶狂舞	75	OpenLevel69	100	10	4023	2	2424	200
4024	秘笈·龍戰於野	80	OpenLevel69	100	10	4024	2	2424	200
4025	秘笈·陰風蝕骨	65	OpenLevel69	100	10	4025	2	2424	200
4026	秘笈·召喚毒蟲	70	OpenLevel69	100	10	4026	2	2424	200
4027	秘笈·迷心蠱	75	OpenLevel69	100	10	4027	2	2424	200
4028	秘笈·萬蠱蝕心	80	OpenLevel69	100	10	4028	2	2424	200
5201	秘笈·九溪彌煙	65	OpenLevel69	100	10	5201	2	2424	200
5202	秘笈·心劍	70	OpenLevel69	100	10	5202	2	2424	200
5203	秘笈·平湖斷月	75	OpenLevel69	100	10	5203	2	2424	200
5204	秘笈·峰插雲景	80	OpenLevel69	100	10	5204	2	2424	200
5205	秘笈·平沙雁落	65	OpenLevel69	100	10	5205	2	2424	200
5206	秘笈·雲生結海	70	OpenLevel69	100	10	5206	2	2424	200
5207	秘笈·清音長嘯	75	OpenLevel69	100	10	5207	2	2424	200
5208	秘笈·江逐月天	80	OpenLevel69	100	10	5208	2	2424	200
2725	中級秘笈·野蠻衝撞	85	OpenLevel99	150	15	2398	5	2424	300
2726	中級秘笈·血戰八方	90	OpenLevel99	150	15	2401	5	2424	300
2728	中級秘笈·金鐘罩	95	OpenLevel99	150	15	2719	5	2424	300
2727	中級秘笈·霸王怒吼	100	OpenLevel99	150	15	2402	5	2424	300
2732	中級秘笈·江海凝波	85	OpenLevel99	150	15	2720	5	2424	300
2729	中級秘笈·天舞寶輪	90	OpenLevel99	150	15	2403	5	2424	300
2730	中級秘笈·慈航普渡	95	OpenLevel99	150	15	2404	5	2424	300
