Type	Faction	SkillBookID	DESC
1	1	2398	秘笈·野蠻衝撞
2	1	2401	秘笈·血戰八方
3	1	2719	秘笈·金鐘罩
4	1	2402	秘笈·霸王怒吼
1	2	2720	秘笈·江海凝波
2	2	2403	秘笈·天舞寶輪
3	2	2404	秘笈·慈航普渡
4	2	2405	秘笈·白露凝霜
1	3	2409	秘笈·飛火流星
2	3	2722	秘笈·九耀連珠
3	3	2410	秘笈·火鳳燎原
4	3	2411	秘笈·穿雲破月
1	4	2721	秘笈·白虹貫日
2	4	2406	秘笈·七探蛇盤
3	4	2407	秘笈·鬥轉星移
4	4	2408	秘笈·風捲殘雲
1	5	2412	秘笈·劍飛驚天
2	5	2413	秘笈·坐忘無我
3	5	2414	秘笈·天地無極
4	5	2723	秘笈·人劍合一
1	6	2724	秘笈·死亡迴旋
2	6	2415	秘笈·魔焰在天
3	6	2416	秘笈·血月之影
4	6	2417	秘笈·攝魂亂心
1	7	2713	秘笈·降龍棍
2	7	2714	秘笈·大力金剛指
3	7	2715	秘笈·金剛伏魔
4	7	2749	秘笈·十二擒龍手
1	8	2716	秘笈·璿璣羅舞
2	8	2717	秘笈·雨打梨花
3	8	2718	秘笈·召喚啵啵
4	8	2750	秘笈·冰蹤無影
1	9	3267	秘笈·纏身刺
2	9	3268	秘笈·暴雨梨花
3	9	3269	秘笈·迷影縱
4	9	3270	秘笈·九宮飛星
1	10	3271	秘笈·仙人指路
2	10	3272	秘笈·嘯風三連擊
3	10	3273	秘笈·混沌劍陣
4	10	3274	秘笈·雷動九天
1	11	4021	秘笈·亢龍有悔
2	11	4022	秘笈·困龍功
3	11	4023	秘笈·醉蝶狂舞
4	11	4024	秘笈·龍戰於野
1	12	4025	秘笈·陰風蝕骨
2	12	4026	秘笈·召喚毒蟲
3	12	4027	秘笈·迷心蠱
4	12	4028	秘笈·萬蠱蝕心
1	13	5201	秘笈·九溪彌煙
2	13	5202	秘笈·心劍
3	13	5203	秘笈·平湖斷月
4	13	5204	秘笈·峰插雲景
1	14	5205	秘笈·平沙雁落
2	14	5206	秘笈·雲生結海
3	14	5207	秘笈·清音長嘯
4	14	5208	秘笈·江逐月天
5	1	2725	中級秘笈·野蠻衝撞
6	1	2726	中級秘笈·血戰八方
7	1	2728	中級秘笈·金鐘罩
8	1	2727	中級秘笈·霸王怒吼
5	2	2732	中級秘笈·江海凝波
6	2	2729	中級秘笈·天舞寶輪
7	2	2730	中級秘笈·慈航普渡
8	2	2731	中級秘笈·白露凝霜
5	3	2737	中級秘笈·飛火流星
6	3	2740	中級秘笈·九耀連珠
7	3	2738	中級秘笈·火鳳燎原
8	3	2739	中級秘笈·穿雲破月
5	4	2736	中級秘笈·白虹貫日
6	4	2733	中級秘笈·七探蛇盤
7	4	2734	中級秘笈·鬥轉星移
8	4	2735	中級秘笈·風捲殘雲
5	5	2741	中級秘笈·劍飛驚天
6	5	2742	中級秘笈·坐忘無我
7	5	2743	中級秘笈·天地無極
8	5	2744	中級秘笈·人劍合一
5	6	2748	中級秘笈·死亡迴旋
6	6	2745	中級秘笈·魔焰在天
7	6	2746	中級秘笈·血月之影
8	6	2747	中級秘笈·攝魂亂心
5	7	2751	中級秘笈·降龍棍
6	7	2752	中級秘笈·大力金剛指
7	7	2753	中級秘笈·金剛伏魔
8	7	2754	中級秘笈·十二擒龍手
5	8	2755	中級秘笈·璿璣羅舞
6	8	2756	中級秘笈·雨打梨花
7	8	2757	中級秘笈·召喚啵啵
8	8	2758	中級秘笈·冰蹤無影
5	9	3275	中級秘笈·纏身刺
6	9	3276	中級秘笈·暴雨梨花
7	9	3277	中級秘笈·迷影縱
8	9	3278	中級秘笈·九宮飛星
5	10	3279	中級秘笈·仙人指路
6	10	3280	中級秘笈·嘯風三連擊
7	10	3281	中級秘笈·混沌劍陣
8	10	3282	中級秘笈·雷動九天
5	11	4029	中級秘笈·亢龍有悔
6	11	4030	中級秘笈·困龍功
7	11	4031	中級秘笈·醉蝶狂舞
8	11	4032	中級秘笈·龍戰於野
5	12	4033	中級秘笈·陰風蝕骨
6	12	4034	中級秘笈·召喚毒蟲
7	12	4035	中級秘笈·迷心蠱
8	12	4036	中級秘笈·萬蠱蝕心
5	13	5209	中級秘笈·九溪彌煙
6	13	5210	中級秘笈·心劍
7	13	5211	中級秘笈·平湖斷月
8	13	5212	中級秘笈·峰插雲景
5	14	5213	中級秘笈·平沙雁落
6	14	5214	中級秘笈·雲生結海
7	14	5215	中級秘笈·清音長嘯
8	14	5216	中級秘笈·江逐月天
9	1	3317	高級秘笈·野蠻衝撞
10	1	3318	高級秘笈·血戰八方
11	1	3320	高級秘笈·金鐘罩
12	1	3319	高級秘笈·霸王怒吼
9	2	3324	高級秘笈·江海凝波
10	2	3321	高級秘笈·天舞寶輪
11	2	3322	高級秘笈·慈航普渡
12	2	3323	高級秘笈·白露凝霜
9	3	3329	高級秘笈·飛火流星
10	3	3332	高級秘笈·九耀連珠
11	3	3330	高級秘笈·火鳳燎原
12	3	3331	高級秘笈·穿雲破月
9	4	3328	高級秘笈·白虹貫日
10	4	3325	高級秘笈·七探蛇盤
11	4	3326	高級秘笈·鬥轉星移
12	4	3327	高級秘笈·風捲殘雲
9	5	3333	高級秘笈·劍飛驚天
10	5	3334	高級秘笈·坐忘無我
11	5	3335	高級秘笈·天地無極
12	5	3336	高級秘笈·人劍合一
9	6	3340	高級秘笈·死亡迴旋
10	6	3337	高級秘笈·魔焰在天
11	6	3338	高級秘笈·血月之影
12	6	3339	高級秘笈·攝魂亂心
9	7	3341	高級秘笈·降龍棍
10	7	3342	高級秘笈·大力金剛指
11	7	3343	高級秘笈·金剛伏魔
12	7	3344	高級秘笈·十二擒龍手
9	8	3345	高級秘笈·璿璣羅舞
10	8	3346	高級秘笈·雨打梨花
11	8	3347	高級秘笈·召喚啵啵
12	8	3348	高級秘笈·冰蹤無影
9	9	3349	高級秘笈·纏身刺
10	9	3350	高級秘笈·暴雨梨花
11	9	3351	高級秘笈·迷影縱
12	9	3352	高級秘笈·九宮飛星
9	10	3353	高級秘笈·仙人指路
10	10	3354	高級秘笈·嘯風三連擊
11	10	3355	高級秘笈·混沌劍陣
12	10	3356	高級秘笈·雷動九天
9	11	4037	高級秘笈·亢龍有悔
10	11	4038	高級秘笈·困龍功
11	11	4039	高級秘笈·醉蝶狂舞
12	11	4040	高級秘笈·龍戰於野
9	12	4041	高級秘笈·陰風蝕骨
10	12	4042	高級秘笈·召喚毒蟲
11	12	4043	高級秘笈·迷心蠱
12	12	4044	高級秘笈·萬蠱蝕心
9	13	5217	高級秘笈·九溪彌煙
10	13	5218	高級秘笈·心劍
11	13	5219	高級秘笈·平湖斷月
12	13	5220	高級秘笈·峰插雲景
9	14	5221	高級秘笈·平沙雁落
10	14	5222	高級秘笈·雲生結海
11	14	5223	高級秘笈·清音長嘯
12	14	5224	高級秘笈·江逐月天
