ChangeId	Desc	Part	ConsumeCount	ColorItem1	ColorItem2	ColorItem3	ColorItem4	ColorItem5	ColorItem6	ColorItem7	ColorItem8	NameFacion1	NameFacion2	NameFacion3	NameFacion4	NameFacion5	NameFacion6	NameFacion7	NameFacion8	NameFacion9	NameFacion10	NameFacion11	NameFacion12	NameFacion13	NameFacion14
1	外裝T1（限時）	0		2516								外裝：傲雪丹青	外裝：青燈曳影	外裝：青玉雲歌	外裝：千葉森羅	外裝：醉月青霄	外裝：青絲綰	外裝：青竹菩提	外裝：翠玉明珠	外裝：青鱗鎮海	外裝：禦海聽濤	外裝：傲雪丹青	外裝：青燈曳影	外裝：千葉森羅	外裝：青玉雲歌
2	外裝T1	0	2	2512	2513	2514	2515					外裝：<傲雪丹青>系列	外裝：<青燈曳影>系列	外裝：<青玉雲歌>系列	外裝：<千葉森羅>系列	外裝：<醉月青霄>系列	外裝：<青絲綰>系列	外裝：<青竹菩提>系列	外裝：<翠玉明珠>系列	外裝：<青鱗鎮海>系列	外裝：<禦海聽濤>系列	外裝：<傲雪丹青>系列	外裝：<青燈曳影>系列	外裝：<千葉森羅>系列	外裝：<青玉雲歌>系列
3	外裝T2	0	5	2702	2703	2704	2705	3025	3026	3027	3028	外裝：<鐵血龍膽>系列	外裝：<青蓮濯雨>系列	外裝：<櫻落長空>系列	外裝：<晚香如玉>系列	外裝：<君子如風>系列	外裝：<曼珠沙華>系列	外裝：<彼岸無涯>系列	外裝：<牡丹望月>系列	外裝：<寒星碎影>系列	外裝：<滌雨浣花>系列	外裝：<鐵血龍膽>系列	外裝：<青蓮濯雨>系列	外裝：<晚香如玉>系列	外裝：<櫻落長空>系列
4	外裝T3	0	5	3259	3260	3261	3262					外裝：<八方雲動>系列	外裝：<傲寒訴雪>系列	外裝：<墨芷幽蘭>系列	外裝：<真武之淵>系列	外裝：<白玉琅環>系列	外裝：<墨染金枝>系列	外裝：<蒼月之痕>系列	外裝：<白露為霜>系列	外裝：<夜幕之紗>系列	外裝：<墨竹踏雪>系列	外裝：<八方雲動>系列	外裝：<傲寒訴雪>系列	外裝：<真武之淵>系列	外裝：<墨芷幽蘭>系列
5	外裝T4	0	10	3263	3264	3265	3266					外裝：<玄甲鐵騎>系列	外裝：<雨落塵殤>系列	外裝：<伽藍聽雨>系列	外裝：<水龍吟>系列	外裝：<銀鷹掠地>系列	外裝：<流風回雪>系列	外裝：<誑語朱降>系列	外裝：<朱顏改>系列	外裝：<墨語無塵>系列	外裝：<花開藍亭>系列	外裝：<玄甲鐵騎>系列	外裝：<雨落塵殤>系列	外裝：<水龍吟>系列	外裝：<伽藍聽雨>系列
6	藝趣·盛典華服（限時）	0		3568								外裝：藝趣·盛典華服	外裝：藝趣·盛典華服	外裝：藝趣·盛典華服	外裝：藝趣·盛典華服	外裝：藝趣·盛典華服	外裝：藝趣·盛典華服	外裝：藝趣·盛典華服	外裝：藝趣·盛典華服	外裝：藝趣·盛典華服	外裝：藝趣·盛典華服	外裝：藝趣·盛典華服	外裝：藝趣·盛典華服	外裝：藝趣·盛典華服	外裝：藝趣·盛典華服
7	外裝T5	0	10	3870	3871	3872	3873					外裝：<漆黑之影>系列	外裝：<夜幕之花>系列	外裝：<夜幕之花>系列	外裝：<漆黑之影>系列	外裝：<漆黑之影>系列	外裝：<夜幕之花>系列	外裝：<漆黑之影>系列	外裝：<夜幕之花>系列	外裝：<漆黑之影>系列	外裝：<夜幕之花>系列	外裝：<漆黑之影>系列	外裝：<夜幕之花>系列	外裝：<漆黑之影>系列	外裝：<夜幕之花>系列
8	周年慶典華服·3天	0		4743								外裝：周年慶典華服	外裝：周年慶典華服	外裝：周年慶典華服	外裝：周年慶典華服	外裝：周年慶典華服	外裝：周年慶典華服	外裝：周年慶典華服	外裝：周年慶典華服	外裝：周年慶典華服	外裝：周年慶典華服	外裝：周年慶典華服	外裝：周年慶典華服	外裝：周年慶典華服	外裝：周年慶典華服
9	周年慶典華服	0		4892								外裝：周年慶典華服	外裝：周年慶典華服	外裝：周年慶典華服	外裝：周年慶典華服	外裝：周年慶典華服	外裝：周年慶典華服	外裝：周年慶典華服	外裝：周年慶典華服	外裝：周年慶典華服	外裝：周年慶典華服	外裝：周年慶典華服	外裝：周年慶典華服	外裝：周年慶典華服	外裝：周年慶典華服
102	外裝T1（限時3天）	0		4478								外裝：<傲雪丹青>	外裝：<青燈曳影>	外裝：<青玉雲歌>	外裝：<千葉森羅>	外裝：<醉月青霄>	外裝：<青絲綰>	外裝：<青竹菩提>	外裝：<翠玉明珠>	外裝：<青鱗鎮海>	外裝：<禦海聽濤>	外裝：<傲雪丹青>	外裝：<青燈曳影>	外裝：<千葉森羅>	外裝：<青玉雲歌>
103	外裝T2（限時3天）	0		4481								外裝：<鐵血龍膽>	外裝：<青蓮濯雨>	外裝：<櫻落長空>	外裝：<晚香如玉>	外裝：<君子如風>	外裝：<曼珠沙華>	外裝：<彼岸無涯>	外裝：<牡丹望月>	外裝：<寒星碎影>	外裝：<滌雨浣花>	外裝：<鐵血龍膽>	外裝：<青蓮濯雨>	外裝：<晚香如玉>	外裝：<櫻落長空>
104	外裝T3（限時3天）	0		4484								外裝：<八方雲動>	外裝：<傲寒訴雪>	外裝：<墨芷幽蘭>	外裝：<真武之淵>	外裝：<白玉琅環>	外裝：<墨染金枝>	外裝：<蒼月之痕>	外裝：<白露為霜>	外裝：<夜幕之紗>	外裝：<墨竹踏雪>	外裝：<八方雲動>	外裝：<傲寒訴雪>	外裝：<真武之淵>	外裝：<墨芷幽蘭>
105	外裝T4（限時3天）	0		4487								外裝：<玄甲鐵騎>	外裝：<雨落塵殤>	外裝：<伽藍聽雨>	外裝：<水龍吟>	外裝：<銀鷹掠地>	外裝：<流風回雪>	外裝：<誑語朱降>	外裝：<朱顏改>	外裝：<墨語無塵>	外裝：<花開藍亭>	外裝：<玄甲鐵騎>	外裝：<雨落塵殤>	外裝：<水龍吟>	外裝：<伽藍聽雨>
106	外裝T5（限時3天）	0		4490								外裝：<漆黑之影>	外裝：<夜幕之花>	外裝：<夜幕之花>	外裝：<漆黑之影>	外裝：<漆黑之影>	外裝：<夜幕之花>	外裝：<漆黑之影>	外裝：<夜幕之花>	外裝：<漆黑之影>	外裝：<夜幕之花>	外裝：<漆黑之影>	外裝：<夜幕之花>	外裝：<漆黑之影>	外裝：<夜幕之花>
