EquipLevel	AttribLevel	Quality
1	1	3
1	2	4
1	3	5
1	4	6
1	5	6
1	6	6
1	7	6
1	8	6
1	9	6
1	10	6
1	11	6
1	12	6
1	13	6
1	14	6
1	15	6
1	16	6
1	17	6
1	18	6
1	19	6
1	20	6
1	21	6
1	22	6
1	23	6
1	24	6
1	25	6
1	26	6
1	27	6
1	28	6
1	29	6
1	30	6
2	1	1
2	2	2
2	3	3
2	4	4
2	5	5
2	6	6
2	7	6
2	8	6
2	9	6
2	10	6
2	11	6
2	12	6
2	13	6
2	14	6
2	15	6
2	16	6
2	17	6
2	18	6
2	19	6
2	20	6
2	21	6
2	22	6
2	23	6
2	24	6
2	25	6
2	26	6
2	27	6
2	28	6
2	29	6
2	30	6
3	1	1
3	2	1
3	3	1
3	4	2
3	5	3
3	6	4
3	7	5
3	8	6
3	9	6
3	10	6
3	11	6
3	12	6
3	13	6
3	14	6
3	15	6
3	16	6
3	17	6
3	18	6
3	19	6
3	20	6
3	21	6
3	22	6
3	23	6
3	24	6
3	25	6
3	26	6
3	27	6
3	28	6
3	29	6
3	30	6
4	1	1
4	2	1
4	3	1
4	4	1
4	5	1
4	6	2
4	7	3
4	8	4
4	9	5
4	10	6
4	11	6
4	12	6
4	13	6
4	14	6
4	15	6
4	16	6
4	17	6
4	18	6
4	19	6
4	20	6
4	21	6
4	22	6
4	23	6
4	24	6
4	25	6
4	26	6
4	27	6
4	28	6
4	29	6
4	30	6
5	1	1
5	2	1
5	3	1
5	4	1
5	5	1
5	6	1
5	7	1
5	8	2
5	9	3
5	10	4
5	11	5
5	12	6
5	13	6
5	14	6
5	15	6
5	16	6
5	17	6
5	18	6
5	19	6
5	20	6
5	21	6
5	22	6
5	23	6
5	24	6
5	25	6
5	26	6
5	27	6
5	28	6
5	29	6
5	30	6
6	1	1
6	2	1
6	3	1
6	4	1
6	5	1
6	6	1
6	7	1
6	8	1
6	9	1
6	10	2
6	11	3
6	12	4
6	13	5
6	14	6
6	15	6
6	16	6
6	17	6
6	18	6
6	19	6
6	20	6
6	21	6
6	22	6
6	23	6
6	24	6
6	25	6
6	26	6
6	27	6
6	28	6
6	29	6
6	30	6
7	1	1
7	2	1
7	3	1
7	4	1
7	5	1
7	6	1
7	7	1
7	8	1
7	9	1
7	10	1
7	11	1
7	12	2
7	13	3
7	14	4
7	15	5
7	16	6
7	17	6
7	18	6
7	19	6
7	20	6
7	21	6
7	22	6
7	23	6
7	24	6
7	25	6
7	26	6
7	27	6
7	28	6
7	29	6
7	30	6
