TypeId	Level	Rate	Cost1	Cost2	Cost3
1	1	1000000	ZhenQi|500	Coin|1000	
1	2	900000	ZhenQi|500	Coin|1000	
1	3	900000	ZhenQi|500	Coin|1000	
1	4	800000	ZhenQi|500	Coin|1000	
1	5	800000	ZhenQi|1000	Coin|2000	
1	6	700000	ZhenQi|1000	Coin|2000	
1	7	700000	ZhenQi|1000	Coin|2000	
1	8	600000	ZhenQi|1000	Coin|2000	
1	9	600000	ZhenQi|1000	Coin|2000	
1	10	500000	ZhenQi|1500	Coin|3000	
1	11	500000	ZhenQi|1500	Coin|3000	
1	12	400000	ZhenQi|1500	Coin|3000	
1	13	400000	ZhenQi|1500	Coin|3000	
1	14	300000	ZhenQi|1500	Coin|3000	
1	15	300000	ZhenQi|1500	Coin|3000	
1	16	200000	ZhenQi|1500	Coin|3000	
1	17	200000	ZhenQi|1500	Coin|3000	
1	18	200000	ZhenQi|1500	Coin|3000	
1	19	200000	ZhenQi|1500	Coin|3000	
2	1	950000	ZhenQi|500	Coin|2000	
2	2	900000	ZhenQi|500	Coin|2000	
2	3	850000	ZhenQi|500	Coin|2000	
2	4	800000	ZhenQi|500	Coin|2000	
2	5	750000	ZhenQi|1000	Coin|2000	
2	6	700000	ZhenQi|1000	Coin|2000	
2	7	650000	ZhenQi|1000	Coin|2000	
2	8	600000	ZhenQi|1000	Coin|2000	
2	9	550000	ZhenQi|1000	Coin|2000	
2	10	500000	ZhenQi|1500	Coin|3000	
2	11	450000	ZhenQi|1500	Coin|3000	
2	12	400000	ZhenQi|1500	Coin|3000	
2	13	350000	ZhenQi|1500	Coin|3000	
2	14	300000	ZhenQi|1500	Coin|3000	
2	15	250000	ZhenQi|1500	Coin|3000	
2	16	200000	ZhenQi|1500	Coin|3000	
2	17	150000	ZhenQi|1500	Coin|3000	
2	18	150000	ZhenQi|1500	Coin|3000	
2	19	150000	ZhenQi|1500	Coin|3000	
3	1	950000	ZhenQi|1000	Coin|2000	
3	2	900000	ZhenQi|1000	Coin|2000	
3	3	850000	ZhenQi|1000	Coin|2000	
3	4	800000	ZhenQi|1000	Coin|2000	
3	5	750000	ZhenQi|1500	Coin|2000	
3	6	700000	ZhenQi|1500	Coin|2000	
3	7	650000	ZhenQi|1500	Coin|2000	
3	8	600000	ZhenQi|1500	Coin|2000	
3	9	550000	ZhenQi|1500	Coin|2000	
3	10	500000	ZhenQi|2000	Coin|3000	
3	11	450000	ZhenQi|2000	Coin|3000	
3	12	400000	ZhenQi|2000	Coin|3000	
3	13	350000	ZhenQi|2000	Coin|3000	
3	14	300000	ZhenQi|2000	Coin|3000	
3	15	250000	ZhenQi|2000	Coin|3000	
3	16	200000	ZhenQi|2000	Coin|3000	
3	17	150000	ZhenQi|2000	Coin|3000	
3	18	100000	ZhenQi|2000	Coin|3000	
3	19	100000	ZhenQi|2000	Coin|3000	
4	1	950000	ZhenQi|1000	Coin|2000	item|6149|1
4	2	900000	ZhenQi|1000	Coin|2000	item|6149|1
4	3	850000	ZhenQi|1000	Coin|2000	item|6149|1
4	4	800000	ZhenQi|1000	Coin|2000	item|6149|1
4	5	750000	ZhenQi|1500	Coin|2000	item|6149|1
4	6	700000	ZhenQi|1500	Coin|2000	item|6149|1
4	7	650000	ZhenQi|1500	Coin|2000	item|6149|1
4	8	600000	ZhenQi|1500	Coin|2000	item|6149|1
4	9	550000	ZhenQi|1500	Coin|2000	item|6149|1
4	10	500000	ZhenQi|2000	Coin|3000	item|6149|1
4	11	450000	ZhenQi|2000	Coin|3000	item|6149|1
4	12	400000	ZhenQi|2000	Coin|3000	item|6149|1
4	13	350000	ZhenQi|2000	Coin|3000	item|6149|1
4	14	300000	ZhenQi|2000	Coin|3000	item|6149|1
4	15	250000	ZhenQi|2000	Coin|3000	item|6149|1
4	16	200000	ZhenQi|2000	Coin|3000	item|6149|1
4	17	150000	ZhenQi|2000	Coin|3000	item|6149|1
4	18	100000	ZhenQi|2000	Coin|3000	item|6149|1
4	19	100000	ZhenQi|2000	Coin|3000	item|6149|1
5	1	700000	ZhenQi|2000	Coin|4000	
5	2	700000	ZhenQi|2000	Coin|4000	
5	3	700000	ZhenQi|2000	Coin|4000	
5	4	700000	ZhenQi|2000	Coin|4000	
5	5	650000	ZhenQi|2000	Coin|4000	
5	6	650000	ZhenQi|2000	Coin|4000	
5	7	650000	ZhenQi|2000	Coin|4000	
5	8	650000	ZhenQi|2000	Coin|4000	
5	9	650000	ZhenQi|2000	Coin|4000	
5	10	600000	ZhenQi|2000	Coin|4000	
5	11	600000	ZhenQi|2000	Coin|4000	
5	12	600000	ZhenQi|2000	Coin|4000	
5	13	600000	ZhenQi|2000	Coin|4000	
5	14	600000	ZhenQi|2000	Coin|4000	
5	15	400000	ZhenQi|2000	Coin|4000	
5	16	400000	ZhenQi|2000	Coin|4000	
5	17	400000	ZhenQi|2000	Coin|4000	
5	18	400000	ZhenQi|2000	Coin|4000	
5	19	200000	ZhenQi|2000	Coin|4000	
