Id	Desc	Tip	GroupId	NeedCount	MoneyType1	MoneyCount1	Item1	Item2	Item3	Item4	Item5	Award	KinMsg	WorldMsg
1	【山賊信物收集】						3079|2					Contrib|800		
2	【戰場信物收集】						3080|2					Contrib|800		
3	【首領信物收集】						3081|2					Contrib|800		
4	【幫派信物收集】						3082|2					Contrib|800		
5	【殺手信物收集】						3083|2					Contrib|800		
6	【懲惡信物收集】						3084|2					Contrib|800		
7	【白水晶收集】						212|5					item|787|8		
8	【淩絕峰權杖收集】						1236|1	923|1	924|1	925|1	926|1	Renown|1500		
9	【銀兩收集】				Coin	20000						item|223|2	700	
10	【古董收集】		1									item|224|1	700	
11	【宋金詔書收集】						1970|2					item|1930|1	700	
12	【洗髓丹收集】						1968|5					item|2569|1	700	
13	【魂石收集】李三						1849|1					item|2164|1	700	
14	【魂石收集】盧青						1850|1					item|2164|1	700	
15	【魂石收集】鶯兒						1851|1					item|2164|1	700	
16	【魂石收集】顧武						1852|1					item|2164|1	700	
17	【魂石收集】蘇墨芸						1854|1					item|2164|1	700	
18	【魂石收集】蕭動塵						1855|1					item|2164|1	700	
19	【魂石收集】胡神醫						1856|1					item|2164|1	700	
20	【魂石收集】秦沐白						1857|1					item|2164|1	700	
21	【魂石收集】張仲天						1858|1					item|2164|1	700	
22	【魂石收集】路達						1859|1					item|2164|1	700	
23	【魂石收集】薔薇						1863|1					item|2164|1	700	
24	【魂石收集】紫軒						1864|1					item|2164|1	700	
25	【魂石收集】南宮彩虹						1870|1					item|2164|1	700	
26	【魂石收集】林海						1871|1					item|2164|1	700	
27	【魂石收集】陸文龍						1873|1					item|2164|1	700	
28	【魂石收集】趙無雙						1872|1					item|2164|1	700	
29	【魂石收集】無相						1874|1					item|2164|1	700	
30	【魂石收集】張如夢						1876|1					item|2164|1	700	
31	【魂石收集】趙節						1879|1					item|2164|1	700	
32	【魂石收集】邵騎風						1880|1					item|2164|1	700	
33	【魂石收集】殷方						1853|1					item|2165|1	700	700
34	【魂石收集】白眉猴王						1860|1					item|2165|1	700	700
35	【魂石收集】大地狼王						1861|1					item|2165|1	700	700
36	【魂石收集】寒玉鹿王						1862|1					item|2165|1	700	700
37	【魂石收集】卓非凡						1865|1					item|2165|1	700	700
38	【魂石收集】月明瑤						1866|1					item|2165|1	700	700
39	【魂石收集】龍傲天						1867|1					item|2165|1	700	700
40	【魂石收集】沫天然						1868|1					item|2165|1	700	700
41	【魂石收集】唐瀟						1875|1					item|2165|1	700	700
42	【魂石收集】張琳心						1877|1					item|2165|1	700	700
43	【魂石收集】封玉書						1878|1					item|2165|1	700	700
44	【魂石收集】何暮雪						1881|1					item|2165|1	700	700
45	【魂石收集】趙升權						1882|1					item|2165|1	700	700
46	【魂石收集】納蘭真						1883|1					item|2165|1	700	700
47	【魂石收集】柴嵩						1884|1					item|2165|1	700	700
48	【魂石收集】邵宏淵						1893|1					item|2165|1	700	700
49	【魂石收集】白彥敬						1894|1					item|2165|1	700	700
50	【魂石收集】雷風						1896|1					item|2165|1	700	700
51	【魂石收集】雷同						1897|1					item|2165|1	700	700
52	【魂石收集】唐娟娟						1898|1					item|2165|1	700	700
53	【魂石收集】奪寶賊						1900|1					item|2165|1	700	700
54	【魂石收集】雙獸異獸						1901|1					item|2165|1	700	700
55	【魂石收集】奔焰豹王						1902|1					item|2165|1	700	700
56	【魂石收集】九尾狐王						1903|1					item|2165|1	700	700
57	【魂石收集】張風						1916|1					item|2165|1	700	700
58	【魂石收集】月眉兒						1917|1					item|2165|1	700	700
59	【照夜玉獅子收集】						1423|1					Gold|1000	700	700
60	【盟主令收集】						1393|3					item|1395|1	700	700
61	【秘笈收集】	4本不同的初級秘笈（未升級過的）	2	4								Renown|20000	700	700
62	【夜明珠收集】						2840|2					item|788|1	700	
63	【魂石收集】	10個不同的藍色初級魂石	3	10								item|2400|1	700	700
64	【名將令收集】						1394|6					item|1396|1	700	700
65	【本命武器收集】	6把不同的S級同伴本命武器	4	6								item|3179|1	700	700
66	【同伴技能書收集】	4本不同的紫色同伴技能書	5	4								item|3180|1	700	700
67	【和氏璧兌換】帽子						2804|8					item|2796|1	700	700
68	【和氏璧兌換】腰帶						2804|8					item|2797|1	700	700
69	【和氏璧兌換】項鍊						2804|16					item|2800|1	700	700
70	【和氏璧兌換】衣服						2804|24					item|2795|1	700	700
71	【和氏璧兌換】玉佩						2804|16					item|2802|1	700	700
72	【和氏璧兌換】武器						2804|40					item|2794|1	700	700
73	【魂石收集】白色初級	9個不同的白色初級魂石	6	9								item|2164|1	700	
74	【魂石收集】綠色初級	9個不同的綠色初級魂石	7	9								item|2165|1	700	700
75	【魂石收集】紫色中級	1個任意紫色中級魂石	8	1								item|3855|1	700	700
76	【魂石收集】粉色高級	1個任意的粉色高級魂石	9	1								Gold|3000	700	700
