nEventId	nTypeId	szTyepName	nTarget	nBaseGold	szAddGoldList	nCount	nAverageMin
1	1	儲值次數	1	100	500_200_100	15	5
2	2	【劍俠V】等級	6	500	2500_1000_500	30	5
3	2	【劍俠V】等級	9	1500	7500_3000_1500	50	15
4	2	【劍俠V】等級	12	5000	25000_10000_5000	100	50
5	2	【劍俠V】等級	15	15000	75000_30000_15000	100	150
61	2	【劍俠V】等級	18	30000	150000_60000_30000	100	300
6	3	武神殿排名	100	100	500_200_100	10	5
7	3	武神殿排名	10	300	1500_600_300	30	5
8	3	武神殿排名	1	1000	5000_2000_1000	50	10
9	4	全身強化	20	100	500_200_100	15	5
10	4	全身強化	40	200	1000_400_200	20	5
11	4	全身強化	50	400	2000_800_400	30	5
12	4	全身強化	60	600	3000_1200_600	40	6
13	4	全身強化	70	1500	7500_3000_1500	50	15
14	4	全身強化	80	2000	10000_4000_2000	50	20
15	4	全身強化	90	5000	25000_10000_5000	100	50
16	4	全身強化	100	15000	75000_30000_15000	100	150
17	5	全身鑲滿	1	100	500_200_100	15	5
18	5	全身鑲滿	2	200	1000_400_200	20	5
19	5	全身鑲滿	3	400	2000_800_400	30	5
20	5	全身鑲滿	4	600	3000_1200_600	40	6
21	5	全身鑲滿	5	1500	7500_3000_1500	50	15
22	5	全身鑲滿	6	5000	25000_10000_5000	100	50
23	5	全身鑲滿	7	15000	75000_30000_15000	100	150
24	6	頭銜	4	100	500_200_100	15	5
25	6	頭銜	5	200	1000_400_200	20	5
26	6	頭銜	6	400	2000_800_400	30	5
27	6	頭銜	7	600	3000_1200_600	40	6
28	6	頭銜	8	1200	6000_2400_1200	50	12
29	6	頭銜	9	2000	10000_4000_2000	60	20
30	6	頭銜	10	4000	20000_8000_4000	80	40
31	6	頭銜	11	6000	30000_12000_6000	100	60
32	6	頭銜	12	15000	75000_30000_15000	100	150
33	6	頭銜	13	30000	150000_60000_30000	100	300
34	7	門派新人王		500	2500_1000_500	50	5
35	8	門派大師兄		2000	10000_4000_2000	100	20
36	9	白虎堂x層首領	4	200	1000_400_200	20	5
62	9	白虎堂x層首領	5	300	1500_600_300	20	5
37	10	戰場排名	1	200	1000_400_200	20	5
63	34	跨服戰場排名	1	300	1500_600_300	20	5
38	11	盟主排名	1	300	1500_600_300	20	5
39	12	通天塔層數	7	300	1500_600_300	20	5
64	12	通天塔層數	8	500	2500_1000_500	30	5
40	13	第一幫派堂主		10000	50000_30000_15000	100	100
41	14	十大幫派堂主		5000	25000_10000_5000	100	50
42	15	卓越幫派堂主		3000	15000_6000_3000	100	30
43	16	第一幫派總堂主		10000	50000_30000_15000	100	100
44	17	十大幫派總堂主		5000	25000_10000_5000	100	50
45	18	卓越幫派總堂主		3000	15000_6000_3000	100	30
46	19	金牌堂主		2000	10000_4000_2000	50	20
47	20	卓越堂主		1000	5000_2000_1000	40	10
48	21	優秀堂主		500	2500_1000_500	30	5
49	22	合格堂主		200	1000_400_200	20	5
50	23	金牌副堂主		1000	5000_2000_1000	50	10
51	24	卓越副堂主		500	2500_1000_500	40	5
52	25	優秀副堂主		200	1000_400_200	20	5
53	26	合格副堂主		100	500_200_100	15	5
54	27	金牌會長		500	2500_1000_500	50	5
55	28	卓越會長		200	1000_400_200	40	5
56	29	優秀會長		100	500_200_100	20	5
57	30	購買7日禮包		100	500_200_100	15	5
58	31	購買30日禮包		200	1000_400_200	30	5
59	32	購買一本萬利		400	2000_800_400	30	5
60	33	購買一本萬利·貳		400	2000_800_400	30	5
65	35	購買一本萬利·三		400	2000_800_400	30	5
66	36	心魔幻境優勝		600	3000_1200_600	40	6
67	37	百人戰場排名	1	600	3000_1200_600	30	6
68	38	購買一本萬利（新年）		400	2000_800_400	30	5
69	39	購買鷄年大吉禮包		1000	5000_2000_1000	50	10
70	40	購買恭喜發財禮包		600	3000_1200_600	40	6
71	41	購買新春快樂禮包		400	2000_800_400	30	5
72	42	購買普天同慶禮包		150	750_300_150	20	5
73	43	購買一本萬利·肆		400	2000_800_400	30	5
74	44	購買一本萬利·伍		400	2000_800_400	30	5
75	45	月度戰場第一	1	2000	10000_4000_2000	100	20
76	46	群英會全勝	6	600	3000_1200_600	40	6
77	47	劍俠情緣周年慶		500	2500_1000_500	30	5
78	47	劍俠情緣周年慶		1000	5000_2000_1000	50	10
