nId	szMark	szRecordFormat	szRelation	szRepeat	nGlobal
1	首次儲值	首次儲值	=		
2	vip等級	劍俠V%s	>=		
3	武神殿排名	武神殿%s	<=		
4	全身強化	全身強化+%s	>=		
5	全身鑲滿	鑲嵌20個%s級魂石	>=		
6	頭銜	「%s」頭銜	=		
7	門派新人王	%s新人王			
8	門派大師兄	%s大師兄			
9	白虎堂x層首領	本周首次擊殺白虎堂%s層首領	>=	weekly	
10	戰場排名	本周首次獲得宋金戰場第一	<=	weekly	
34	跨服戰場排名	本周首次獲得跨服戰場第一	<=	weekly	
11	盟主排名	本周首次獲得武林盟主第一	<=	weekly	
12	通天塔層數	本周首次登上通天塔%s層	>=	weekly	
13	第一幫派堂主	第一幫派堂主			
14	十大幫派堂主	十大幫派堂主			
15	卓越幫派堂主	卓越幫派堂主			
16	第一幫派總堂主	第一幫派總堂主			
17	十大幫派總堂主	十大幫派總堂主			
18	卓越幫派總堂主	卓越幫派總堂主			
19	金牌堂主	金牌堂主	>=	weekly	
20	卓越堂主	卓越堂主	>=	weekly	
21	優秀堂主	優秀堂主	>=	weekly	
22	合格堂主	合格堂主	>=	weekly	
23	金牌副堂主	金牌副堂主	>=	weekly	
24	卓越副堂主	卓越副堂主	>=	weekly	
25	優秀副堂主	優秀副堂主	>=	weekly	
26	合格副堂主	合格副堂主	>=	weekly	
27	金牌會長	金牌會長	>=	weekly	
28	卓越會長	卓越會長	>=	weekly	
29	優秀會長	優秀會長	>=	weekly	
30	購買7日禮包	購買7日禮包		nolimit	
31	購買30日禮包	購買30日禮包		nolimit	
32	購買一本萬利	購買一本萬利		nolimit	
33	購買一本萬利·貳	購買一本萬利·貳		nolimit	
35	購買一本萬利·三	購買一本萬利·三		nolimit	
36	心魔幻境優勝	獲得心魔幻境的優勝		nolimit	
37	百人戰場排名	本周首次獲得百人戰場第一	<=	weekly	
38	購買一本萬利（新年）	購買一本萬利（新年）		nolimit	
39	新年禮包（99.99）	購買鷄年大吉禮包		nolimit	
40	新年禮包（99.99）	購買恭喜發財禮包		nolimit	
41	新年禮包（29.99）	購買新春快樂禮包		nolimit	
42	新年禮包（5.99）	購買普天同慶禮包		nolimit	
43	購買一本萬利·肆	購買一本萬利·肆		nolimit	
44	購買一本萬利·伍	購買一本萬利·伍		nolimit	
45	月度戰場第一	獲得月度戰場第一	<=	nolimit	
46	群英會全勝	在群英會中取得六場全勝	=	weekly	
47	劍俠情緣周年慶	劍俠情緣周年慶		nolimit	
48	周年慶緣起禮包（648）	購買周年慶緣起禮包		nolimit	
49	周年慶情韻禮包（298）	購買周年慶情韻禮包		nolimit	
50	周年慶俠蹤禮包（98）	購買周年慶俠蹤禮包		nolimit	
51	周年慶劍影禮包（30）	購買周年慶劍影禮包		nolimit	
52	美女評選海選賽第一	美女評選中獲得海選賽第一		nolimit	
53	美女評選海選賽前十	美女評選中獲得海選賽前十		nolimit	
54	美女評選海選賽獲投199	美女評選中海選賽獲投199票	>=	nolimit	
55	美女評選決賽第一	美女評選中獲得決賽第一		nolimit	
56	美女評選海選賽第一（全服紅包）	美女評選中獲得海選賽第一		nolimit	1
57	美女評選決賽前十（全服紅包）	美女評選中獲得決賽前十		nolimit	1
58	美女評選決賽第一（全服紅包）	美女評選中獲得決賽第一		nolimit	1
59	美女評選決賽前十	美女評選中獲得決賽前十		nolimit	
60	月度通天塔八層	登上月度通天塔八層	=	nolimit	
61	購買每日禮包7日套包	購買每日禮包7日套包		nolimit	
62	美女評選決賽獲投8000	美女評選決賽獲投8000票	>=	nolimit	
63	美女評選決賽獲投8000（全服紅包）	美女評選決賽獲投8000票	>=	nolimit	1
65	武林大會冠軍	在武林大會中獲得冠軍		nolimit	
66	武林大會四強	在武林大會中進入四強		nolimit	
67	武林大會十六強	在武林大會進入十六強		nolimit	
68	武林大會組長	在武林大會表現優異		nolimit	
69	武林大會冠軍（全服紅包）	在武林大會中獲得冠軍		nolimit	1
70	武林大會四強（全服紅包）	在武林大會中進入四強		nolimit	1
71	聖誕狂歡禮包（99.99$）	購買聖誕狂歡禮包		nolimit	
72	聖誕盛典禮包（49.99$）	購買聖誕盛典禮包		nolimit	
73	聖誕祝福禮包（14.99$）	購買聖誕祝福禮包		nolimit	
74	聖誕平安禮包（4.99$）	購買聖誕平安禮包		nolimit	
75	行腳商人（全服紅包）	行腳商拍賣競價超1千元寶		nolimit	1
76	行腳商人（全服紅包）	行腳商拍賣競價超2千元寶		nolimit	1
77	行腳商人（全服紅包）	行腳商拍賣競價超5千元寶		nolimit	1
78	行腳商人（全服紅包）	行腳商拍賣競價超1萬元寶		nolimit	1
79	行腳商人（全服紅包）	行腳商拍賣競價超2萬元寶		nolimit	1
80	行腳商人（全服紅包）	行腳商拍賣競價超5萬元寶		nolimit	1
81	行腳商人（全服紅包）	行腳商拍賣競價超10萬元寶		nolimit	1
82	行腳商人（全服紅包）	行腳商拍賣競價超12萬元寶		nolimit	1
83	行腳商人（全服紅包）	行腳商拍賣競價超15萬元寶		nolimit	1
84	行腳商人（全服紅包）	行腳商拍賣競價超18萬元寶		nolimit	1
85	行腳商人（全服紅包）	行腳商拍賣競價超20萬元寶		nolimit	1
90	舉辦莊園·晚櫻連理婚禮	舉辦莊園·晚櫻連理婚禮	=	nolimit	
91	舉辦海島·紅鸞攬月婚禮	舉辦海島·紅鸞攬月婚禮	=	nolimit	
92	舉辦舫舟·乘龍配鳳婚禮	舉辦舫舟·乘龍配鳳婚禮	=	nolimit	
