WayName	Value	Desc	Comment	Reason2	Round	kin	kinMem
LogWay_DegreeCtrl	1		活動次數購買	活動key			
LogWay_Refinement	2		洗練				
LogWay_IdentifyEquip	3		裝備鑒定				
LogWay_ConsumePartnerStone	4		消耗同伴魂石				
LogWay_QuickBuy	5		快速購買				
LogWay_ClearRevengeCD	6		清除復仇CD				
LogWay_WantedLongCost	7		長時間通緝				
LogWay_ResetFubenTimes	8		重置副本次數				
LogWay_ReviveInFuben	9		副本裡重生				
LogWay_AuctionBid	10		拍賣行競價	拍賣單號ID			
LogWay_AuctionBidOver	11		拍賣行一口價	拍賣單號ID			
LogWay_JoinKin	12		加入幫派			1	
LogWay_KinGatherDrink	13	烤火喝酒	幫派聚集飲酒				1
LogWay_MapExploreReset	14		重置地圖探索				
LogWay_MissionAwardAdd	15		增加副本事後抽獎次數	抽獎次數			
LogWay_PartnerSkillLevelUp	17		同伴技能升級				
LogWay_ChangeName	18		玩家改名				
LogWay_Offline	19		非同步消耗銀兩（被搶奪）				
LogWay_BuyRankBattleTimes	20		購買武神殿次數				
LogWay_BuyVipAward	21		購買【劍俠V】特權禮包				
LogWay_SkillLevelUp	22		技能升級				
LogWay_Strengthen	23		強化				
LogWay_StoneCombine	24		寶石合成				
LogWay_CommerceTaskHelp	25	協助商會任務	商會任務協助				
LogWay_UseHelper	27		助戰				
LogWay_AddPartnerStone	28		獲取同伴魂石				
LogWay_QuickBuyRecu	29		快速購買失敗				
LogWay_ChuangGongSend	30	傳功	傳功授予				
LogWay_RobCoinAddHate	31		搶奪銀兩				
LogWay_DungeonMgrKill	32		神秘洞窟擊殺				
LogWay_BidFail	33		拍賣競價失敗	拍賣單號ID			
LogWay_BidOverFail	34		拍賣一口價失敗				
LogWay_CreateKin	35		創建幫派			1	
LogWay_KinDonate	36	幫派捐獻	幫派捐獻				1
LogWay_KinGatherAward	37	幫派烤火	幫派聚集獎勵				
LogWay_KinRobberFirstKill	38		幫派盜賊首殺				
LogWay_KinRobber	39		幫派盜賊擊殺				
LogWay_MoneyTreeShake	40	搖錢樹	搖動搖錢樹				
LogWay_RankBattle_BASE_AWARD	42	武神殿	武神殿基礎獎勵				
LogWay_RankBattle_WIN_AWARD	43	武神殿	武神殿勝利獎勵				
LogWay_Recharge	44		儲值				
LogWay_BuyMonthCard	45		月卡				
LogWay_BuyWeekCard	46		周卡				
LogWay_GrowInvestAward	47		一本萬利	nGroupIndex*1000+nIndex			
LogWay_ShopSell	48		商店出售				
LogWay_FinishCommerceTask	49	商會任務	完成商會任務				
LogWay_CommerceTaskDoHelp	50	協助商會任務	商會任務協助				
LogWay_JuBaoPenTakeMoney	51		聚寶盆獲取				
LogWay_OpenLightStone	52		武器附魔				
LogWay_DebrisCreateStone	53		寶石碎片合成				
LogWay_PartnerStoneUse	54		同伴魂石使用				
LogWay_RandomItem	55		隨機道具（寶箱）使用	道具獎勵配置ID			
LogWay_AchievementAward	56	成就	成就獎勵				
LogWay_Battle	57	戰場	戰場		1		
LogWay_FieldBoss	58	歷代名將	歷代名將		1		
LogWay_FieldLeader	59	野外首領	野外首領		1		
LogWay_EverydayTargetAward	60	每日目標	每日目標獎勵				
LogWay_CoinPick	61		銀兩抽卡	道具ID			
LogWay_CoinTenPick	62		銀兩十連抽	道具ID,道具ID,...(十個)			
LogWay_GoldPick	63		元寶抽卡	道具ID			
LogWay_GoldTenPick	64		元寶十連抽	道具ID,道具ID,...(十個)			
LogWay_GoldFreePick	65		元寶免費抽卡				
