MapId	Title	Info	ShowTime	DealyTime
20	雪山古道		5	1
21	離憂山		5	1
22	無憂禁地		5	1
23	離憂山洞		5	1
24	呼嘯棧道		5	1
25	藏劍山莊		5	1
26	忘憂旅道		5	1
27	心魔陣		5	1
28	藏劍幽谷		5	1
29	劍氣峰		5	1
30	天山古道		5	1
31	紅葉穀		5	1
32	凌絕峰		5	1
33	無憂禁地		5	1
34	摘星地牢		5	1
35	通天塔		5	1
36	悲魔山莊		5	1
37	衡山腳下		5	1
38	九猴洞		5	1
39	福緣莊		5	1
40	碧霞島		5	1
41	臨安城東		5	1
42	武夷派		5	1
43	武夷禁地		5	1
44	臨安驛道		5	1
45	暗影竹林		5	1
46	幽暗地牢		5	1
47	長安郊外		5	1
48	華山派		5	1
49	少林幽谷		5	1
50	古戰場		5	1
51	蕭瑟戰場		5	1
52	修武密地		5	1
53	天山淒道		5	1
54	洞庭迷宮		5	1
55	天王校場		5	1
56	五色老巢		5	1
57	三魔絕地		5	1
58	悲泣荒穀		5	1
59	鳳凰山		5	1
60	狂風穀		5	1
61	葬馬崗		5	1
62	府衙密室		5	1
63	風雪山莊		5	1
64	唐門幽徑		5	1
300	藏劍山莊		5	1
301	武夷禁地		5	1
302	熔火霹靂		5	1
303	翠竹幽谷		5	1
304	呼嘯棧道		5	1
305	雪峰硝煙		5	1
1602	忘憂島		5	1
1603	鳳凰山		5	1
1604	凌絕峰		5	1
1605	劍氣峰		5	1
1606	凌絕峰		5	1
1607	落葉穀		5	1
1608	臨安驛道		5	1
1609	武當山		5	1
1610	風波亭		5	1
