Index	NpcName	TitleID	NpcTemplateId	WalkNearLength	CanAutoPath	NpcLevel	XPos	YPos	StandDir	Quantity	NpcType	NpcCamp	NpcDroprate	NpcSeriesAuto	NpcSeriesMetal	NpcSeriesWood	NpcSeriesWater	NpcSeriesFire	NpcSeriesEarth	Removewhendeath	ChangeColorScheme	HideTaskId
citynpc1	唐影	100	620	200	1	99	16100	11550	53	-1	0	0		0	0	0	0	0	0	0	0	
citynpc2	張琳心	101	621	200	1	99	14739	11250	63	-1	0	0		0	0	0	0	0	0	0	0	
citynpc3	陸文龍		630	150		99	11188	9384	0	-1	0	0		0	0	0	0	0	0	0	0	
citynpc4	納蘭真	103	90	200	1	99	12621	14938	53	-1	0	0		0	0	0	0	0	0	0	0	
citynpc5	紫軒	121	622	150	1	99	12760	18840	33	-1	0	0		0	0	0	0	0	0	0	0	
citynpc6	納蘭潛凜	151	629	150	1	99	7730	10590	0	-1	0	0		0	0	0	0	0	0	0	0	
citynpc7	小殷方	106	623	150		99	14140	12080	32	-1	0	0		0	0	0	0	0	0	0	0	
citynpc8	孟知秋	107	100	150		99	7860	12520	0	-1	0	0		0	0	0	0	0	0	0	0	
citynpc9	月眉兒		97	150		99	14940	17900	51	-1	0	0		0	0	0	0	0	0	0	0	
citynpc10	公孫惜花	110	99	150		99	9570	11560	0	-1	0	0		0	0	0	0	0	0	0	0	
citynpc11	玄天道人		626	150		99	14020	17480	55	-1	0	0		0	0	0	0	0	0	0	0	
citynpc12	幫派總管		627	150		99	10950	14140	0	-1	0	0		0	0	0	0	0	0	0	0	
citynpc13	楊影楓	113	624	150		99	12440	14510	57	-1	0	0		0	0	0	0	0	0	0	0	
citynpc14	獨孤劍	114	88	150		99	15130	12650	45	-1	0	0		0	0	0	0	0	0	0	0	
citynpc15	燕若雪		631	150		99	12121	14161	55	-1	0	0		0	0	0	0	0	0	0	0	
citynpc16	薔薇		632	150		99	12860	15930	50	-1	0	0		0	0	0	0	0	0	0	0	
citynpc17	張如夢	108	625	150		99	8570	14180	50	-1	0	0		0	0	0	0	0	0	0	0	
citynpc18	騰雲		693	150		99	12380	18530	16	-1	0	0		0	0	0	0	0	0	0	0	
citynpc19	駕霧		699	150		99	12370	18680	19	-1	0	0		0	0	0	0	0	0	0	0	
citynpc20	秋依水		694	150		99	8650	11040	60	-1	0	0		0	0	0	0	0	0	0	0	
citynpc21	劉雲	105	91	150		99	12027	9384	0	-1	0	0		0	0	0	0	0	0	0	0	
citynpc22	楊瑛		633	150		99	16130	13350	48	-1	0	0		0	0	0	0	0	0	0	0	
citynpc23	柴嵩		1350	150		99	11140	10360	53	-1	0	0		0	0	0	0	0	0	0	0	
citynpc24	南宮飛雲		89	150		99	15650	11300	2	-1	0	0		0	0	0	0	0	0	0	0	
citynpc25	張風		92	150		99	14502	11245	62	-1	0	0		0	0	0	0	0	0	0	0	
citynpc26	清曉		1529	150		99	12130	10330	15	-1	0	0		0	0	0	0	0	0	0	0	
citynpc27	祝子虛		1528	150		99	8950	12920	51	-1	0	0		0	0	0	0	0	0	0	0	
citynpc28	黃暮雲	123	1530	150	1	99	8070	13370	0	-1	0	0		0	0	0	0	0	0	0	0	
citynpc29	小紫煙	118	95	150		99	15200	13140	0	-1	0	0		0	0	0	0	0	0	0	0	
CommerceTask	萬金財	109	190	200	1	99	13100	17870	0	-1	0	0		0	0	0	0	0	0	0	0	
daiyanren_tingting	挺哥	5000	1666	150	1	99	9700	17500	43	-1	0	0		0	0	0	0	0	0	0	0	
daiyanren_yuanyuan	小緣	5001	1667	150		99	9600	17400	11	-1	0	0		0	0	0	0	0	0	0	0	6008
Arena_np1	武僧	115	1829	200	1	99	14312	12641	53	-1	0	0		0	0	0	0	0	0	0	0	
Daiyanren_City_zhaoliying	真兒	120	2279		1	1	15110	11210	63	0	-1	0	0		0	0	0	0	0	0	0	0
Daiyanren_City_lingengxin	楊大俠	122	2326	150	1	99	13377	17839	0	-1	0	0		0	0	0	0	0	0	0	0	
BeautyPageant_diaoxiang	選美雕像（本服冠軍）		2306	150			13284	18936	0	-1	0	0		0	0	0	0	0	0	0	0	
BeautyPageant_diaoxiang2	選美雕像（全服冠軍）		2336	150			13275	18637	0	-1	0	0		0	0	0	0	0	0	0	0	
Marry_yuelao	月老	125	2371	150	1	99	18287	12628	50	-1	0	0		0	0	0	0	0	0	0	0	
Marry_hongniang	紅娘	126	2372	150	1	99	18079	12127	0	-1	0	0		0	0	0	0	0	0	0	0	
Marry_huatong1	鳳囍	124	2373	150	1	99	18338	12955	46	-1	0	0		0	0	0	0	0	0	0	0	
