Index	NpcName	TitleID	NpcTemplateId	HideTaskId	WalkNearLength	CanAutoPath	NpcLevel	XPos	YPos	StandDir	Quantity	NpcType	NpcCamp	NpcDroprate	NpcSeriesAuto	NpcSeriesMetal	NpcSeriesWood	NpcSeriesWater	NpcSeriesFire	NpcSeriesEarth	Removewhendeath	ChangeColorScheme
wyd_hushenyi	胡神醫		417		100	1	99	6755	6845	37	-1	0	0		0	0	0	0	0	0	0	0
wyd_bingxinhua	赤心花		955	5	100		99	4850	8750	40	-1	0	0		0	0	0	0	0	0	0	0
wyd_nalanzhen	納蘭真		418	18	100		99	2180	4140	33	-1	0	0		0	0	0	0	0	0	0	0
wyd_yangyingfeng	楊影楓		419	55	100		99	6150	7630	36	-1	0	0		0	0	0	0	0	0	0	0
whz_xiaolizi	小殷方		578	14	100		99	1835	2670	24	-1	0	0		0	0	0	0	0	0	0	0
wyd_nalanqianlin	納蘭潛凜		954	14	100		99	6530	4200	47	-1	0	0		0	0	0	0	0	0	0	0
wyd_lieying	獵鷹		956	14	100		99	6650	4120	48	-1	0	0		0	0	0	0	0	0	0	0
daiyanren_tingting	楊大俠	117	2116		150	1	99	2955	6735	30	-1	0	0		0	0	0	0	0	0	0	0
hd_xiaoyintong	真兒	119	2204		150	1	99	3660	1460	0	-1	0	0		0	0	0	0	0	0	0	0
qinggong1	上升氣流		74		20		99	4100	2185	0	-1	0	0		0	0	0	0	0	0	0	0
qinggong2	上升氣流		74		20		99	3588	7092	0	-1	0	0		0	0	0	0	0	0	0	0
qinggong3	上升氣流		74		20		99	5015	8182	0	-1	0	0		0	0	0	0	0	0	0	0
qinggong3	上升氣流		74		20		99	5660	1710	0	-1	0	0		0	0	0	0	0	0	0	0
st_npc	上官飛龍	160	1839		100	1	99	6846	2182	48	-1	0	0		0	0	0	0	0	0	0	0
