Info	Type	Item	Count	SSS	SS	S	A	B	C	D	Addition	Other	SendWorld
錢袋		1224	1	192000	186700	160000	86700	52000	4000	0	166600	100000	
200秘境榮譽	HonorTeamFuben		200	115200	100800	115200	180000	246000	176400		120000	75000	
300秘境榮譽	HonorTeamFuben		300	76800	67200	67200	48000	7200	0		60000	75000	
500秘境榮譽	HonorTeamFuben		500	46200	40500	34500	14400	0	0		36000	75000	
1000秘境榮譽	HonorTeamFuben		1000	27000	23400	11400	2400	0	0		15000	60000	
200友情點	Jade		200	38400	33600	38400	60000	82000	58800	0	40000	25000	
300友情點	Jade		300	25600	22400	22400	16000	2400	0	0	20000	25000	
500友情點	Jade		500	15400	13500	11500	4800	0	0	0	12000	25000	
1000友情點	Jade		1000	9000	7800	3800	800	0	0	0	5000	20000	
藏寶圖		787	1	0	112000	168000	200000	238000	380800	0	175500	100000	
修煉丹		764	1	161100	140000	120000	100000	68000	45000	0	124800	80000	
1級生命寶石		230	1	6400	8400	9600	10000	10000	5600	0	7500	10000	
1級攻擊寶石		240	1	6400	8400	9600	10000	10000	5600	0	7500	10000	
1級抗性寶石		250	1	6400	8400	9600	10000	10000	5600	0	7500	10000	
1級忽抗寶石		260	1	6400	8400	9600	10000	10000	5600	0	7500	10000	
1級閃避寶石		270	1	6400	8400	9600	10000	10000	5600	0	7500	10000	
1級忽閃寶石		280	1	6400	8400	9600	10000	10000	5600	0	7500	10000	
1級會心寶石		290	1	6400	8400	9600	10000	10000	5600	0	7500	10000	
1級抗會心寶石		300	1	6400	8400	9600	10000	10000	5600	0	7500	10000	
1級效果寶石		310	1	6400	8400	9600	10000	10000	5600	0	7500	10000	
1級減效果寶石		320	1	6400	8400	9600	10000	10000	5600	0	7500	10000	
2級生命寶石		231	1	5000	3700	1600	700	0	0	0	2500	8000	
2级攻击宝石		241	1	5000	3700	1600	700	0	0	0	2500	8000	
2级抗性宝石		251	1	5000	3700	1600	700	0	0	0	2500	8000	
2级忽抗宝石		261	1	5000	3700	1600	700	0	0	0	2500	8000	
2级闪避宝石		271	1	5000	3700	1600	700	0	0	0	2500	8000	
2级忽闪宝石		281	1	5000	3700	1600	700	0	0	0	2500	8000	
2级会心宝石		291	1	5000	3700	1600	700	0	0	0	2500	8000	
2級抗會心寶石		301	1	5000	3700	1600	700	0	0	0	2500	8000	
2级效果宝石		311	1	5000	3700	1600	700	0	0	0	2500	8000	
2级减效果宝石		321	1	5000	3700	1600	700	0	0	0	2500	8000	
小塊的水晶		212	1	0	43900	82500	139100	182200	279000	0	62600	60000	
破損的水晶		222	1	89300	40100	12900	14300	0	0	0	20800	50000	
破損的神秘礦石		213	1	90000	47100	40200	26500	22200	0	0	41700	50000	
