szKey	nReqLevel	szUiName	szTitle	nShowPriority	szContent	szTimeFunc	szTimeParam1	szTimeParam2	szClickFunc	szBtnName	szBtnTrap	nBtnCloseWnd
FactionBattleTips	20		第一屆門派競技		[FFFE0D]事件背景[-]\n    諸位同門袍澤，如今我派愈發繁榮，門下精英輩出，故師尊欲舉行同門之間切磋之盛舉——門派競技，但凡我派弟子均可參與，先以混戰形式交手，剩餘的十六位門派精英將進行一對一單挑，最終勝者將榮獲本派「新人王」稱號。諸位同門，施展渾身手段，展現習武成果，一展我輩武人風範的時候來了，努力為此榮耀戰鬥吧！\n\n[FFFE0D]活動簡介[-]\n    門派競技是門派間最熱血沸騰的盛事，同門派所有等級≥30級以上的弟子均可參與，通過若干次兩方混戰及一對一選拔，最終角逐門派第一人的盛舉！\n\n[FFFE0D]比賽規則[-]\n    1、報名後，經過一定準備時間將進入混戰階段，所有參與比賽的角色將[FFFE0D]隨機分為兩隊[-]進行混戰，[FFFE0D]擊敗對手[-]將獲得[FFFE0D]積分[-]，被擊敗後等待一段時間將自動復活，最終積分[FFFE0D]前十六[-]的門派弟子進入單挑賽。\n    2、前十六名玩家將進行[FFFE0D] 一對一 [-]的比試，經過八強賽、四強賽、准決賽、決賽，最終勝者將榮獲本屆[FFFE0D]「新人王」[-]的稱號；\n    3、活動名次越好，獎勵越高！除了稀有魂石外，還將獲得門派武功秘笈！快來參加吧！	fnOpenServer	OpenLevel39|3	OpenLevel39|5				
Spokesman	15		終於等到你		[FFFE0D]事件背景[-]\n 挺哥自小長於武當山，但自上月與諸派師兄師姐一同搜索五色教餘孽，遇峨眉小緣師姐，便覺她清純脫俗，美若天仙，實乃超出人之想像般的存在。後回到武當山，常茶飯不思，對小緣師姐念念不忘，希望珍惜她、保護她、待她如家人一般。\n 經過多方求探，聽聞小緣師姐極為喜食又緣糕，便託名廚兔小灰、兔小白費盡心力做出獨一無二的又緣糕。不想半途被寂寞雙煞劫走，現逃竄於野外。\n 現聽聞小緣師姐已來到襄陽，但我因走火入魔難以行動，還望少俠幫我奪回又緣糕，送至小緣師姐處。我的終生幸福便託付與少俠了！\n\n[FFFE0D]活動內容[-]\n 前往襄陽城尋找[47f005][url=npc:NPC挺哥, 1666, 10][-]接取任務，根據任務提示完成步驟後即可。	fnSpecialTime	2016/5/10	2016/6/12				
WhiteTigerTips	20		白虎堂		[FFFE0D]事件背景[-]\n 江南白虎堂，一入一魂殤。\n 雷氏幫派掌控的白虎堂，是江湖中最為兇險的地方之一，無數人覬覦其中的寶物，在其中除了要應付雷氏幫派，更要小心那些同樣以奪寶為目的而來的幫派，最終存活者方有機會擊敗白虎堂主雷震天奪得高額獎勵。\n\n[FFFE0D]玩法規則[-]\n 1、白虎堂是兇險異常的爭奪之地，角色等級≥30級可以參與，進入白虎堂將自動切換為[FFFE0D] 幫派模式[-]，每個俠士[FFFE0D] 只有一次機會[-]，一旦重傷就將出場，活得越久奪得最終大寶藏的機會就越大！\n 2、白虎堂共有八個入口，選擇進入同一入口進入的俠士將直接進行對決，而不同入口的俠士將在不同階段相遇，展開爭鬥，同隊伍的成員注意選擇[FFFE0D] 同一個入口 [-]進入，避免分散！\n 3、白虎堂共分為四層，每層時間結束後都將[FFFE0D] 刷新首領 [-]，擊敗首領時，輸出最高的幾支隊伍均可獲得獎勵，同時開啟下層入口，與另一側入口獲勝的隊伍不期而遇。\n 4、與[FFFE0D] 幫派成員 [-]結成隊伍一同前往將增加生存幾率！有時候不幸遇見過於強大的隊伍，暫時避其鋒芒等待時機也是不錯的選擇！	fnOpenServer	OpenLevel39|2	OpenLevel39|3				
OpenLevel49	10		49級等級上限		[FFFE0D]49級即將開放[-]\n\n    諸位俠士，江湖即將開放49級等級上限，諸位可做好歷練準備，爭取早日名動武林。	fnOpenServer	OpenLevel49|-1	OpenLevel49|2				
OpenLevel59	10		59級等級上限		[FFFE0D]59級即將開放[-]\n    諸位俠士，江湖即將開放59級等級上限，諸位可做好歷練準備，爭取早日名動武林。開放59級上限後，武林各大活動將會有更多稀有物品掉落！\n\n[FFFE0D]新增活動獎勵[-]\n   [FFFE0D]開放幫派攻城戰、師徒系統。[-]\n   [FFFE0D]可裝備並修煉第二本門派秘笈。[-]\n   武林盟主：[ff8f06] [url=openwnd:4階稀有衣服碎片, ItemTips, "Item", nil, 2124, me.nFaction] [-] [11adf6] [url=openwnd:名將令, ItemTips, "Item", nil, 1394] [-]\n   英雄挑戰：[ff8f06] [url=openwnd:4階稀有腰帶碎片, ItemTips, "Item", nil, 2136, me.nFaction] [-]\n   野外首領：[ff8f06] [url=openwnd:4階稀有護身符碎片, ItemTips, "Item", nil, 2112, me.nFaction] [-]\n   歷代名將：[ff8f06] [url=openwnd:4階稀有武器碎片, ItemTips, "Item", nil, 2088, me.nFaction] [-] [11adf6] [url=openwnd:名將令, ItemTips, "Item", nil, 1394] [-]\n   組隊秘境：[ff8f06] [url=openwnd:4階稀有帽子碎片, ItemTips, "Item", nil, 2118, me.nFaction] [-]\n   懲惡任務：[ff8f06] [url=openwnd:4階稀有護腕碎片, ItemTips, "Item", nil, 2130, me.nFaction] [-]\n   商會任務：[ff8f06] [url=openwnd:4階稀有玉佩碎片, ItemTips, "Item", nil, 2106, me.nFaction] [-]\n   宋金戰場：[ff8f06] [url=openwnd:4階稀有戒指碎片, ItemTips, "Item", nil, 2100, me.nFaction] [-] [aa62fc] [url=openwnd:4階傳承戒指碎片, ItemTips, "Item", nil, 2103, me.nFaction] [-]\n   通天塔：   [ff8f06] [url=openwnd:4階稀有鞋子碎片, ItemTips, "Item", nil, 2142, me.nFaction] [-]\n   武神殿：   [ff8f06] [url=openwnd:4階稀有項鍊碎片, ItemTips, "Item", nil, 2094, me.nFaction] [-]\n   攻城戰：   [ff578c] [url=openwnd:烏雲踏雪, EquipTips, nil, 2400, me.nFaction] [-] [11adf6] [url=openwnd:名將令, ItemTips, "Item", nil, 1394] [-] [11adf6] [i]3級魂石[/i] [-]\n   黃金寶箱：[aa62fc] [i]4階傳承裝備碎片[/i] [-] [11adf6] [url=openwnd:藍水晶, ItemTips, "Item", nil, 223] [-]\n   1元超值禮包：[ff8f06] [i]4階稀有裝備[/i] [-] [11adf6] [url=openwnd:名將令, ItemTips, "Item", nil, 1394] [-]\n   3元超值禮包：[ff8f06] [i]4階稀有裝備[/i] [-] [11adf6] [url=openwnd:名將令, ItemTips, "Item", nil, 1394] [-]\n   6元超值禮包：[ff8f06] [i]4階稀有裝備[/i] [-] [11adf6] [url=openwnd:名將令, ItemTips, "Item", nil, 1394] [-]\n   除以上特殊獎勵外，其他活動的獎勵也將整體提升！備戰武林，好獎相迎！	fnOpenServer	OpenLevel59|-3	OpenLevel59|2				
OpenLevel69	10		69級等級上限		[FFFE0D]69級即將開放[-]\n    諸位俠士，江湖即將開放69級等級上限，諸位可做好歷練準備，爭取早日名動武林。開放69級上限後，武林各大活動將會有更多稀有物品掉落！\n\n[FFFE0D]新增活動獎勵[-]\n   [FFFE0D]開放家園系統（1級、2級）、婚姻系統、華山論劍、淩絕峰·噩夢難度副本。[-]\n   [FFFE0D]可裝備並修煉第三本門派秘笈。[-]\n   武林盟主：[ff8f06] [url=openwnd:5階稀有衣服碎片, ItemTips,  "Item", nil, 2125, me.nFaction] [-] [aa62fc] [url=openwnd:初級魂石·獨孤劍, StoneTipsPanel, nil, 2668] [-] [11adf6] [url=openwnd:銅錠, ItemTips, "Item", nil, 4307] [-]\n   英雄挑戰：[ff8f06] [url=openwnd:5階稀有腰帶碎片, ItemTips,  "Item", nil, 2137, me.nFaction] [-] [aa62fc] [url=openwnd:初級魂石·祝子虛, StoneTipsPanel, nil, 2530] [-]\n   60級野外首領：[ff8f06] [url=openwnd:5階稀有護身符碎片, ItemTips,  "Item", nil, 2113, me.nFaction] [-] [aa62fc] [url=openwnd: 初級魂石·定海金剛(唯一), StoneTipsPanel, nil, 1757] [-] [aa62fc] [url=openwnd: 初級魂石·金翅鵬皇(唯一), StoneTipsPanel, nil,  1758] [-] [aa62fc] [url=openwnd: 初級魂石·銀角犀皇(唯一), StoneTipsPanel, nil,  1759] [-] [11adf6] [url=openwnd:名將令, ItemTips, "Item", nil, 1394] [-]\n   歷代名將：[ff8f06] [url=openwnd:5階稀有武器碎片, ItemTips,  "Item", nil, 2089, me.nFaction] [-] [aa62fc] [url=openwnd:逐鹿令, ItemTips, "Item", nil, 1395] [-] [11adf6] [url=openwnd:羊皮, ItemTips, "Item", nil, 4317] [-]\n   組隊秘境：[ff8f06] [url=openwnd:5階稀有帽子碎片, ItemTips,  "Item", nil, 2119, me.nFaction] [-] [ff8f06] [i]S級同伴[/i] [-] [11adf6] [i]3級魂石[/i] [-]\n   懲惡任務：[ff8f06] [url=openwnd:5階稀有護腕碎片, ItemTips,  "Item", nil, 2131, me.nFaction] [-]\n   商會任務：[ff8f06] [url=openwnd:5階稀有玉佩碎片, ItemTips,  "Item", nil, 2107, me.nFaction] [-]\n   宋金戰場：[ff8f06] [url=openwnd:5階稀有戒指碎片, ItemTips,  "Item", nil, 2101, me.nFaction] [-] [aa62fc] [url=openwnd:5階傳承戒指碎片, ItemTips, "Item", nil, 2104, me.nFaction] [-] [aa62fc] [url=openwnd:初級魂石·徒單克寧, StoneTipsPanel, nil, 2536] [aa62fc] [url=openwnd:初級魂石·李顯忠, StoneTipsPanel, nil, 2535] [-] [-]\n   通天塔：   [ff8f06] [url=openwnd:5階稀有鞋子碎片, ItemTips,  "Item", nil, 2143, me.nFaction] [-] [aa62fc] [url=openwnd:初級魂石·端木睿, StoneTipsPanel, nil, 2533] [-]\n   武神殿：   [ff8f06] [url=openwnd:5階稀有項鍊碎片, ItemTips,  "Item", nil, 2095, me.nFaction] [-] [aa62fc] [url=openwnd:初級魂石·楊瑛, StoneTipsPanel, nil, 2528] [-] [11adf6] [url=openwnd:花崗岩, ItemTips, "Item", nil, 4322] [-]\n   門派競技：[aa62fc] [url=openwnd:初級魂石·孟知秋, StoneTipsPanel, nil, 2534] [-] [11adf6] [url=openwnd:藍水晶, ItemTips, "Item", nil, 223] [-]\n   藏寶圖：   [11adf6] [url=openwnd:藍水晶, ItemTips, "Item", nil, 223] [-]\n   白虎堂：   [11adf6] [url=openwnd:藍水晶, ItemTips, "Item", nil, 223] [-]\n   幫派試煉：[aa62fc] [url=openwnd:初級魂石·黃玉英, StoneTipsPanel, nil, 2531] [-]\n   攻城戰：   [ff8f06] [i]SS級本命武器[/i] [-] [aa62fc] [url=openwnd:初級魂石·完顏洪烈, StoneTipsPanel, nil, 2696] [-] [aa62fc] [url=openwnd:逐鹿令, ItemTips, "Item", nil, 1395] [-] [11adf6] [url=openwnd:琉璃, ItemTips, "Item", nil, 4312] [-] [11adf6] [url=openwnd:府綢, ItemTips, "Item", nil, 4302] [-]\n   華山論劍：[aa62fc] [url=openwnd:初級魂石·道一真人, StoneTipsPanel, nil, 2532] [-] [aa62fc] [url=openwnd:紫水晶, ItemTips, "Item", nil, 224] [-] [11adf6] [url=openwnd:藍水晶, ItemTips, "Item", nil, 223] [-] [11adf6] [url=openwnd:武林秘笈·中卷, ItemTips, "Item", nil, 1431] [-]\n   黃金寶箱：[aa62fc] [i]5階傳承裝備碎片[/i] [-]\n   1元超值禮包：[ff8f06] [i]5階稀有裝備[/i] [-]\n   3元超值禮包：[ff8f06] [i]5階稀有裝備[/i] [-] [11adf6] [url=openwnd:元氣瓶（小）, ItemTips, "Item", nil, 4462] [-]\n   6元超值禮包：[ff8f06] [i]5階稀有裝備[/i] [-]\n   除以上特殊獎勵外，其他活動的獎勵也將整體提升！備戰武林，好獎相迎！	fnOpenServer	OpenLevel69|-3	OpenLevel69|2				
OpenLevel79	10		79級等級上限		[FFFE0D]79級即將開放[-]\n    諸位俠士，江湖即將開放79級等級上限，諸位可做好歷練準備，爭取早日名動武林。開放79級上限後，武林各大活動將會有更多稀有物品掉落！\n\n[FFFE0D]新增活動獎勵[-]\n   [FFFE0D]開放3級家園系統。提升周卡、月卡每日領取額度（周卡每日200元寶、月卡每日160元寶）。[-]\n   [FFFE0D]可裝備並修煉第四本門派秘笈。[-]\n   武林盟主：[ff8f06] [url=openwnd:6階稀有衣服碎片, ItemTips,  "Item", nil, 2126, me.nFaction] [-] [ff8f06] [url=openwnd:同伴·南宮飛雲, ItemTips,  "Item", nil, 2253] [-] [aa62fc] [url=openwnd:初級魂石·南宮飛雲, StoneTipsPanel, nil, 2880] [-] [aa62fc] [url=openwnd:逐鹿令, ItemTips, "Item", nil, 1395] [-]\n   英雄挑戰：[ff8f06] [url=openwnd:6階稀有腰帶碎片, ItemTips,  "Item", nil, 2138, me.nFaction] [-]\n   野外首領：[ff8f06] [url=openwnd:6階稀有護身符碎片, ItemTips,  "Item", nil, 2114, me.nFaction] [-]\n   歷代名將：[ff8f06] [url=openwnd:6階稀有武器碎片, ItemTips,  "Item", nil, 2090, me.nFaction] [-]\n   組隊秘境：[ff8f06] [url=openwnd:6階稀有帽子碎片, ItemTips,  "Item", nil, 2120, me.nFaction] [-]\n   懲惡任務：[ff8f06] [url=openwnd:6階稀有護腕碎片, ItemTips,  "Item", nil, 2132, me.nFaction] [-]\n   商會任務：[ff8f06] [url=openwnd:6階稀有玉佩碎片, ItemTips,  "Item", nil, 2108, me.nFaction] [-]\n   宋金戰場：[ff8f06] [url=openwnd:6階稀有戒指碎片, ItemTips,  "Item", nil, 2102, me.nFaction] [-] [aa62fc] [url=openwnd:6階傳承戒指碎片, ItemTips, "Item", nil, 2105, me.nFaction] [-]\n   通天塔：   [ff8f06] [url=openwnd:6階稀有鞋子碎片, ItemTips,  "Item", nil, 2144, me.nFaction] [-]\n   武神殿：   [ff8f06] [url=openwnd:6階稀有項鍊碎片, ItemTips,  "Item", nil, 2096, me.nFaction] [-] [aa62fc] [url=openwnd:大理石, ItemTips, "Item", nil, 4323] [-]\n   藏寶圖：   [aa62fc] [url=openwnd:紫水晶, ItemTips, "Item", nil, 224] [-] [11adf6] [url=openwnd:無暇的神秘礦石, ItemTips, "Item", nil, 215] [-]\n   攻城戰：   [aa62fc] [url=openwnd:珍珠, ItemTips, "Item", nil, 4313] [-][aa62fc] [url=openwnd:素軟緞, ItemTips, "Item", nil, 4303] [-]\n   黃金寶箱：[aa62fc] [i]6階傳承裝備碎片[/i] [-] [11adf6] [i]3級魂石[/i] [-]\n   1元超值禮包：[ff8f06] [i]6階稀有裝備[/i] [-] [aa62fc] [url=openwnd:逐鹿令, ItemTips, "Item", nil, 1395] [-]\n   3元超值禮包：[ff8f06] [i]6階稀有裝備[/i] [-] [aa62fc] [url=openwnd:逐鹿令, ItemTips, "Item", nil, 1395] [-]\n   6元超值禮包：[ff8f06] [i]6階稀有裝備[/i] [-] [aa62fc] [url=openwnd:逐鹿令, ItemTips, "Item", nil, 1395] [-] [11adf6] [url=openwnd:藍水晶, ItemTips, "Item", nil, 223] [-] [11adf6] [url=openwnd:元氣瓶（小）, ItemTips, "Item", nil, 4462] [-]\n   除以上特殊獎勵外，其他活動的獎勵也將整體提升！備戰武林，好獎相迎！	fnOpenServer	OpenLevel79|-3	OpenLevel79|2				
OpenLevel89	10		89級等級上限		[FFFE0D]89級即將開放[-]\n    諸位俠士，江湖即將開放89級等級上限，諸位可做好歷練準備，爭取早日名動武林。開放89級上限後，武林各大活動將會有更多稀有物品掉落！\n\n[FFFE0D]新增活動獎勵[-]\n   [FFFE0D]開放4級家園系統。提升周卡、月卡每日領取額度（周卡每日220元寶、月卡每日170元寶）。[-]\n   武林盟主：[ff8f06] [url=openwnd:7階稀有衣服碎片, ItemTips,  "Item", nil, 2979, me.nFaction] [-] [ff8f06] [url=openwnd:和氏璧, ItemTips, "Item", nil, 2804] [-] [ff8f06] [url=openwnd:同伴·楊影楓, ItemTips,  "Item",  nil, 2254] [-] [ff8f06] [url=openwnd: 赤金馭天繩碎片, ItemTips,  "Item", nil, 3462] [-] [ff578c] [url=openwnd: 蒼虹降龍繩碎片, ItemTips, "Item", nil, 3461] [-] [aa62fc] [url=openwnd:初級魂石·楊影楓, StoneTipsPanel, nil, 2881] [-]\n   英雄挑戰：[ff8f06] [url=openwnd:7階稀有腰帶碎片, ItemTips,  "Item", nil, 2991, me.nFaction] [-]\n   80級野外首領：[ff8f06] [url=openwnd:7階稀有護身符碎片, ItemTips,  "Item", nil, 2967, me.nFaction] [-] [aa62fc] [url=openwnd:逐鹿令, ItemTips, "Item", nil, 1395] [-] [aa62fc] [url=openwnd: 初級魂石·赤睛虎皇(唯一), StoneTipsPanel, nil, 1754] [-] [aa62fc] [url=openwnd: 初級魂石·撼天熊皇(唯一), StoneTipsPanel, nil, 1755] [-] [aa62fc] [url=openwnd: 初級魂石·紫背鱷皇(唯一), StoneTipsPanel, nil, 1756] [-]\n   歷代名將：[ff8f06] [url=openwnd:7階稀有武器碎片, ItemTips,  "Item", nil, 2943, me.nFaction] [-]\n   組隊秘境：[ff8f06] [url=openwnd:7階稀有帽子碎片, ItemTips,  "Item", nil, 2973, me.nFaction] [-]\n   懲惡任務：[ff8f06] [url=openwnd:7階稀有護腕碎片, ItemTips,  "Item", nil, 2985, me.nFaction] [-]\n   商會任務：[ff8f06] [url=openwnd:7階稀有玉佩碎片, ItemTips,  "Item", nil, 2961, me.nFaction] [-]\n   宋金戰場：[ff8f06] [url=openwnd:7階稀有戒指碎片, ItemTips,  "Item", nil, 2955, me.nFaction] [-] [ff8f06] [url=openwnd: 赤金馭天蹬碎片, ItemTips,  "Item", nil, 3476, me.nFaction] [-] [ff578c] [url=openwnd: 蒼虹降龍蹬碎片, ItemTips,  "Item", nil, 3475] [-] [aa62fc] [url=openwnd:7階傳承戒指碎片, ItemTips, "Item", nil, 2958, me.nFaction] [-]\n   通天塔：   [ff8f06] [url=openwnd:7階稀有鞋子碎片, ItemTips,  "Item", nil, 2997, me.nFaction] [-]\n   武神殿：   [ff8f06] [url=openwnd:7階稀有項鍊碎片, ItemTips,  "Item", nil, 2949, me.nFaction] [-]\n   門派競技：[aa62fc] [url=openwnd:紫水晶, ItemTips, "Item", nil, 224] [-]\n   白虎堂：   [aa62fc] [url=openwnd:紫水晶, ItemTips, "Item", nil, 224] [-]\n   攻城戰：   [ff578c] [url=openwnd:帝皇令, ItemTips, "Item", nil, 1396] [-]\n   山賊秘窟：[11adf6] [url=openwnd:藍水晶, ItemTips, "Item", nil, 223]  [-]\n   高級藏寶圖：[aa62fc] [url=openwnd: 初級魂石·唐仇(唯一), StoneTipsPanel, nil, 3856] [-] [aa62fc] [i]4級魂石[/i] [-] [11adf6] [url=openwnd:武林秘笈（中卷）, ItemTips, "Item", nil, 1431] [-]\n   華山論劍：[ff8f06] [url=openwnd: 赤金馭天蹬碎片, ItemTips,  "Item", nil, 3476] [-] [ff578c] [url=openwnd: 蒼虹降龍蹬碎片, ItemTips, "Item", nil, 3475] [-] [aa62fc] [url=openwnd: 紫電淩雲蹬碎片, ItemTips, "Item", nil, 3474] [-]\n   黃金寶箱：[aa62fc] [i]7階傳承裝備碎片[/i] [-] [aa62fc] [url=openwnd: 紫電淩雲繩碎片, ItemTips, "Item", nil, 3460] [-]\n   1元超值禮包：[ff8f06] [i]7階稀有裝備[/i] [-] [aa62fc] [i]4級魂石[/i] [-]\n   3元超值禮包：[ff8f06] [i]7階稀有裝備[/i] [-] [aa62fc] [i]4級魂石[/i] [-]\n   6元超值禮包：[ff8f06] [i]7階稀有裝備[/i] [-] [aa62fc] [i]4級魂石[/i] [-]\n   除以上特殊獎勵外，其他活動的獎勵也將整體提升！備戰武林，好獎相迎！	fnOpenServer	OpenLevel89|-3	OpenLevel89|2				
OpenLevel99	10		99級等級上限		[FFFE0D]99級即將開放[-]\n    諸位俠士，江湖即將開放99級等級上限，諸位可做好歷練準備，爭取早日名動武林。開放99級上限後，武林各大活動將會有更多稀有物品掉落！\n\n[FFFE0D]新增活動獎勵[-]\n   [FFFE0D]開放5級家園系統、淩絕峰·地獄難度副本。提升周卡、月卡每日領取額度（周卡每日240元寶、月卡每日180元寶）。[-]\n   武林盟主：[ff8f06] [url=openwnd:8階稀有衣服碎片, ItemTips,  "Item", nil, 2980, me.nFaction] [-]\n   英雄挑戰： [ff8f06] [url=openwnd:8階稀有腰帶碎片, ItemTips,  "Item", nil, 2992, me.nFaction] [-]\n   野外首領：[ff8f06] [url=openwnd:8階稀有護身符碎片, ItemTips,  "Item", nil, 2968, me.nFaction] [-]\n   歷代名將：[ff8f06] [url=openwnd:8階稀有武器碎片, ItemTips,  "Item", nil, 2944, me.nFaction] [-]\n   組隊秘境：[ff8f06] [url=openwnd:8階稀有帽子碎片, ItemTips,  "Item", nil, 2974, me.nFaction] [-]\n   懲惡任務：[ff8f06] [url=openwnd:8階稀有護腕碎片, ItemTips,  "Item", nil, 2986, me.nFaction] [-]\n   商會任務：[ff8f06] [url=openwnd:8階稀有玉佩碎片, ItemTips,  "Item", nil, 2962, me.nFaction] [-]\n   宋金戰場：[ff8f06] [url=openwnd:8階稀有戒指碎片, ItemTips,  "Item", nil, 2956, me.nFaction] [-] [aa62fc] [url=openwnd:8階傳承戒指碎片, ItemTips, "Item", nil, 2959, me.nFaction] [-]\n   通天塔：   [ff8f06] [url=openwnd:8階稀有鞋子碎片, ItemTips,  "Item", nil, 2998, me.nFaction] [-]\n   武神殿：   [ff8f06] [url=openwnd:8階稀有項鍊碎片, ItemTips,  "Item", nil, 2950, me.nFaction] [-] [ff578c] [url=openwnd:雨花石, ItemTips,  "Item", nil, 4324] [-]\n   門派競技：[11adf6] [i]2級家園材料[/i] [-]\n   心魔幻境：[ff8f06] [url=openwnd:8階稀有戒指碎片, ItemTips,  "Item", nil, 2956, me.nFaction] [-] [aa62fc] [url=openwnd: 初級魂石·黑面郎君(唯一) , StoneTipsPanel, nil, 3854] [-]\n   藏寶圖：   [11adf6] [i]2級家園材料[/i] [-]\n   黃金寶箱：[aa62fc] [i]8階傳承裝備碎片[/i] [-] [aa62fc] [i]4級魂石[/i] [-] [11adf6] [i]2級家園材料[/i] [-]\n   1元超值禮包：[ff8f06] [i]8階稀有裝備[/i] [-]\n   3元超值禮包：[ff8f06] [i]8階稀有裝備[/i] [-]\n   6元超值禮包：[ff8f06] [i]8階稀有裝備[/i] [-]\n   除以上特殊獎勵外，其他活動的獎勵也將整體提升！備戰武林，好獎相迎！	fnOpenServer	OpenLevel99|-3	OpenLevel99|2				
OpenLevel109	10		109級等級上限		[FFFE0D]109級即將開放[-]\n    諸位俠士，江湖即將開放109級等級上限，諸位可做好歷練準備，爭取早日名動武林。開放109級上限後，武林各大活動將會有更多稀有物品掉落！\n\n[FFFE0D]新增活動獎勵[-]\n   [FFFE0D]開放6級家園系統。提升周卡、月卡每日領取額度（周卡每日260元寶、月卡每日190元寶）。[-]\n   武林盟主：[ff8f06] [url=openwnd:9階稀有衣服碎片, ItemTips,  "Item", nil, 2981, me.nFaction] [-] [ff578c] [url=openwnd:帝皇令, ItemTips, "Item", nil, 1396] [-]\n   英雄挑戰：[ff8f06] [url=openwnd:9階稀有腰帶碎片, ItemTips,  "Item", nil, 2993, me.nFaction] [-]\n   100級野外首領：[ff8f06] [url=openwnd:9階稀有護身符碎片, ItemTips,  "Item", nil, 2969, me.nFaction] [-] [aa62fc] [url=openwnd: 初級魂石·冰鱗蜥皇(唯一), StoneTipsPanel, nil, 4540] [-] [aa62fc] [url=openwnd: 初級魂石·銀鉤蠍皇(唯一), StoneTipsPanel, nil, 4541] [-] [aa62fc] [url=openwnd: 初級魂石·狂鬃獒皇(唯一), StoneTipsPanel, nil, 4542] [-]\n   歷代名將：[ff8f06] [url=openwnd:9階稀有武器碎片, ItemTips,  "Item", nil, 2945, me.nFaction] [-]\n   組隊秘境：[ff8f06] [url=openwnd:9階稀有帽子碎片, ItemTips,  "Item", nil, 2975, me.nFaction] [-] [aa62fc] [i]4級魂石[/i] [-]\n   懲惡任務：[ff8f06] [url=openwnd:9階稀有護腕碎片, ItemTips,  "Item", nil, 2987, me.nFaction] [-]\n   商會任務：[ff8f06] [url=openwnd:9階稀有玉佩碎片, ItemTips,  "Item", nil, 2963, me.nFaction] [-]\n   宋金戰場：[ff8f06] [url=openwnd:9階稀有戒指碎片, ItemTips,  "Item", nil, 2957, me.nFaction] [-] [aa62fc] [url=openwnd:9階傳承戒指碎片, ItemTips, "Item", nil, 2960, me.nFaction] [-]\n   通天塔：   [ff8f06] [url=openwnd:9階稀有鞋子碎片, ItemTips,  "Item", nil, 2999, me.nFaction] [-]\n   武神殿：   [ff8f06] [url=openwnd:9階稀有項鍊碎片, ItemTips,  "Item", nil, 2951, me.nFaction] [-]\n   心魔幻境：[ff8f06] [url=openwnd:9階稀有戒指碎片, ItemTips,  "Item", nil, 2957, me.nFaction] [-]\n   白虎堂5層： [ff578c] [url=openwnd: 初級魂石·唐曉(唯一), StoneTipsPanel, nil, 4849] [-]\n   高級藏寶圖：[11adf6] [url=openwnd: 武林秘笈（下卷）, ItemTips, "Item", nil, 1432] [-]\n   華山論劍：[11adf6] [url=openwnd: 武林秘笈（下卷）, ItemTips, "Item", nil, 1432] [-]\n   黃金寶箱：[aa62fc] [i]9階傳承裝備碎片[/i] [-]\n   1元超值禮包：[ff8f06] [i]9階稀有裝備[/i] [-] [ff578c] [url=openwnd:帝皇令, ItemTips, "Item", nil, 1396] [-]\n   3元超值禮包：[ff8f06] [i]9階稀有裝備[/i] [-] [ff578c] [url=openwnd:帝皇令, ItemTips, "Item", nil, 1396] [-]\n   6元超值禮包：[ff8f06] [i]9階稀有裝備[/i] [-] [ff578c] [url=openwnd:帝皇令, ItemTips, "Item", nil, 1396] [-]\n   除以上特殊獎勵外，其他活動的獎勵也將整體提升！備戰武林，好獎相迎！	fnOpenServer	OpenLevel109|-3	OpenLevel109|2				
