SkillId	Desc	Selector	LiftPercent	Distance
213	金鐘罩			
206	野蠻衝撞			
208	霸王怒吼			
210	血戰八方			
270	金剛伏魔			
272	十二擒龍手			
268	大力金剛指			
266	降龍棍			
306	慈航普度	Poorest	95	
308	白露凝霜			
310	江海凝波			
312	天舞寶輪		95	
406	火鳳燎原			
407	飛火流星			
410	九曜連珠			
412	穿雲破月			
506	鬥轉星移			
507	七探蛇盤			
510	白虹貫日			
513	風捲殘雲			
613	坐忘無我			
609	劍飛驚天			
611	人劍合一			
615	天地無極			
722	攝魂亂心			
708	死亡迴旋			
705	魔焰在天			
711	血月之影			
833	熊貓沖頂			
810	召喚			
806	璿璣羅舞			
816	冰蹤無影			
808	雨打梨花			
1105	同伴-金鐘罩			
1232	同伴-白虹貫日			
1136	同伴-江海凝波			
1188	同伴-飛火流星			
1262	同伴skill2			
1278				
1280				
1282				
1284				
1287				
1290	蘇墨芸-劍陣			
1293	蘇墨芸-飛斬			
1296	姬禦天-連擊			
1300	姬禦天-排山倒海			
1757	天外飛仙			
1760	夢蝶劍			
1763	烈火情天			
1768	花飛蝴蝶劍			
1772	忠貫白日	Player		
1780	暗影刺			
2502	紫軒-魅惑			
2505	紫軒-燕舞			
2509	薔薇-連環星月			
2512	薔薇-連環三星月			
2514	哲別-鐵騎突襲			
2516	哲別-萬箭齊發			
2519	袁承志-劍氣			
2523	袁承志-太乙生風			
2525	葉無心-旋扇			
2529	薛銀藥-劈空掌			
2530	薛銀藥-毒			
2533	狼王-嚎叫			
2536	狼王-瞬身撕咬			
2545	豹王-天火烈爪			
2547	狐王-風刃舞			
2549	狐王-影風斬			
2553	鹿王-漩渦			
2555	鹿王-寒冰沖頂			
2561	納蘭真-慈航普度	Poorest	95	
2515	哲別共用屬性	Player		
2522	袁承志共用屬性	Player		
2527	葉無心共用屬性	Player		
2563	納蘭真共用屬性	Player		
2565	少年楊影風畫地為牢			
2567	少年楊影風共用屬性	Player		
2569	公輸鈴橫風			
2572	公輸鈴龍捲風			
2575	納蘭潛凜劍刺			
2577	納蘭潛凜共用屬性	Player		
2578	納蘭潛凜重劍破塵			
2582	卓非凡十字劍			
2587	卓非凡劍雨			
2558				
2591				
1115				
1238				
1144	天舞寶輪		95	
1195				
2521				
2626	沐紫衣暗刺			
2630	火隕			
2635	毒			
2638	鰲拜-神力			
2640	重擊			
2642	冰心仙子			
2644	湧泉			
2655	弩箭連環			
2657	潛土冰刺			
2660	環鏢			
2662	半月斬			
2663	三連火球			
2664	重箭			
2666	寒冰刺			
2668	開天劈地			
2670	霸風			
2672	天外飛仙			
2674	歸元	Player		
2681	無敵斬			
2684	穿影斬			
2688	玄冥吸星			
2691	怒風破襲			
2692	重拳			
2697	橫掃一擊			
2699	寒冰三刃			
2713	金鐘罩			
2706	野蠻衝撞			
2708	霸王怒吼			
2710	血戰八方			
2747	定點持續群體（冰錐）			
2805	劍飛驚天			
2832	十字劍			
2837	風卷			
2841	斬飛			
2844	奪魂鏈			
2851	花飛蝴蝶劍			
2854	八卦陣			
2857	訣別			
2860	劍飛驚天			
2867	天外飛仙			
2871	鎮獄破天勁			
2878	劍氣凌雲			
2879	降龍伏象功			
2880	殘陽如血			
2881	橫掃千軍			
2882	九溪彌煙			
2886	依風劍法			
2888	風雪狂刀			
2893	衡山有雪			
24	近身群體傷害1			
25	近身群體傷害2			
26	近身群體傷害3			
27	近身群體傷害4			
59	近身群體傷害5			
28	身周群體傷害1			
29	身周群體傷害2			
30	身周群體傷害3			
31	身周群體傷害4			
61	身周群體傷害5			
42	遠程瞬間群體傷害1			
43	遠程瞬間群體傷害2			
44	遠程瞬間群體傷害3			
45	遠程瞬間群體傷害4			
63	遠程瞬間群體傷害5			
46	遠程單控1			
