Index	TemplateID	Name	Kind	Camp	ClassName	ScriptParam	NpcResID	FaceID	ReviveFrame	NpcAttribID	NormalSkill1	NormalSkillLevel1	NormalSkill2	NormalSkillLevel2	NormalSkill3	NormalSkillLevel3	VisionRadius	ActiveRadius	AiFile	Treasure	DropFile	FightMode	RunSpeed	AuraSkillId	AuraSkillLevel	BigFaceID	BloodStyle	DefaultDialog	DropType	ForbitMove	StartActEvent	Tag	TitleID	WalkSpeed	NameColor	Experience	GouHuoRate	TransBossNpcTID	TransBossRate	FixExperience	IsNotShowShadow	SyncFirst	IsNotBYStealLife
Character_tianwang	77	天王主角	0	1			1		10								3000	3000					27																				
Character_emei	78	峨嵋主角	0	1			2		10								3000	3000					27																				
Character_taohuadao	79	桃花主角	0	1			3		10								3000	3000					27																				
Character_xiaoyao	80	逍遙主角	0	1			4		10								3000	3000					27																				
Character_wudang	707	武當主角	0	1			5		10								3000	3000					27																				
Character_tianren	708	天忍主角	0	1			6		10								3000	3000					27																				
Character_shaolin	1787	少林主角	0	1			9		10								3000	3000					27																				
Character_cuiyan	1788	翠煙主角	0	1			10		10								3000	3000					27																				
Character_tangmen	1959	唐門主角	0	1			1001		10								3000	3000					27																				
Character_kunlun	1960	崑崙主角	0	1			1002		10								3000	3000					27																				
Character_gaibang	2157	丐幫主角	0	1			1003		10								3000	3000					27																				
Character_wudu	2158	五毒主角	0	1			1004		10								3000	3000					27																				
Character_cj	2337	藏劍主角	0	1			1005		10								3000	3000					27																				
Character_cg	2338	長歌主角	0	1			1006		10								3000	3000					27																				
newrole_tw	511	變身天王新手	1	1			1		10	21							3000	3000					27																				
newrole_em	512	變身峨嵋新手	0	1			2		10	21							3000	3000					27																				
newrole_th	513	變身桃花新手	0	1			3		10	21							3000	3000					27																				
newrole_xy	514	變身逍遙新手	0	1			4		10	21							3000	3000					27																				
newrole_wd	816	變身武當新手	0	1			5		10	21							3000	3000					27																				
newrole_tr	817	變身天忍新手	0	1			6		10	21							3000	3000					27																				
newrole_sl	1789	變身少林新手	0	1			9		10	21							3000	3000					27																				
newrole_cy	1790	變身翠煙新手	0	1			10		10	21							3000	3000					27																				
newrole_tm	1961	變身唐門新手	0	1			1001		10	21							3000	3000					27																				
newrole_kl	1962	變身崑崙新手	0	1			1002		10	21							3000	3000					27																				
newrole_gb	2227	變身丐幫新手	0	1			1003		10	21							3000	3000					27																				
newrole_wudu	2228	變身五毒新手	0	1			1004		10	21							3000	3000					27																				
newrole_cj	2339	變身藏劍新手	0	1			1005		10	21							3000	3000					27																				
newrole_cg	2340	變身長歌新手	0	1			1006		10	21							3000	3000					27																				
newrole_zc_tw	1084	新手戰場天王	1	1			1		10	21							1000	3000					27																				
newrole_zc_em	1085	新手戰場峨嵋	0	1			2		10	21							1000	3000					27																				
newrole_zc_th	1086	新手戰場桃花	0	1			3		10	21							1000	3000					27																				
newrole_zc_xy	1087	新手戰場逍遙	0	1			4		10	21							1000	3000					27																				
newrole_zc_wd	1088	新手戰場武當	0	1			5		10	21							1000	3000					27																				
newrole_zc_tr	1089	新手戰場天忍	0	1			6		10	21							1000	3000					27																				
newrole_zc_sl	1791	新手戰場少林	0	1			9		10	21							1000	3000					27																				
newrole_zc_cy	1792	新手戰場翠煙	0	1			10		10	21							1000	3000					27																				
newrole_zc_tm	1963	新手戰場唐門	0	1			1001		10	21							1000	3000					27																				
newrole_zc_kl	1964	新手戰場崑崙	0	1			1002		10	21							1000	3000					27																				
newrole_zc_gb	2229	新手戰場丐幫	0	1			1003		10	21							1000	3000					27																				
newrole_zc_wudu	2230	新手戰場五毒	0	1			1004		10	21							1000	3000					27																				
newrole_zc_cj	2341	新手戰場藏劍	0	1			1005		10	21							1000	3000					27																				
newrole_zc_cg	2342	新手戰場長歌	0	1			1006		10	21							1000	3000					27																				
Baby_cuiyan	1827	啵啵	7	1			1139		10	31	832	1	833	1	836	1	1200	1200	Setting/Npc/Ai/faction/xiongmao.ini				27																				1
Shadow_tangmen	1965	唐門影子	8	1			1001		10								3000	3000					27																				1
Baby_wudu_ls	2190	靈蛇	7	1			585		10	31	4322	1	4323	1	836	1	1200	1200	Setting/Npc/Ai/faction/wudu_lingshe.ini			1	27																				1
Baby_wudu_bc	2191	碧蟾	7	1			583		10	31	4324	1	4325	1	836	1	1200	1200	Setting/Npc/Ai/faction/wudu_bichan.ini			1	27																				1
Baby_wudu_cx	2192	赤蠍	7	1			581		10	31	4327	1	4328	1	836	1	1200	1200	Setting/Npc/Ai/faction/wudu_chixie.ini			1	27																				1
Baby_wudu_fw	2193	風蜈	7	1			584		10	31	4329	1	4330	1	836	1	1200	1200	Setting/Npc/Ai/faction/wudu_fengwu.ini			1	27																				1
Baby_wudu_mz	2194	墨蛛	7	1			582		10	31	4332	1	4333	1	836	1	1200	1200	Setting/Npc/Ai/faction/wudu_mozhu.ini			1	27																				1
