nNpcTemplateId	Name
274	
273	
650	
651	
638	
674	
675	
676	
957	弩車—組隊秘境
1643	玄天武機—組隊秘境
1258	
727	
1201	
933	
934	
935	
936	
937	
938	
939	
940	
435	
187	
1421	
148	血牡丹
149	葉上珠
150	銀線草
151	紫薔薇
152	地靈根
153	天香果
154	血風藤
155	虞美人
156	曼珠沙華
157	曼陀羅
158	金桑葉
159	百年朱果
1831	洗髓島NPC
1829	擂臺接引人
1830	擂臺報名人
1840	幫派慶典寶箱
1879	秦始皇陵寶箱
1966	納蘭潛凜
1967	納蘭真
1968	獨孤劍
1969	張琳心
1970	南宮飛雲
1971	燕若雪
1972	孟知秋
1973	月眉兒
1974	楊影楓
1975	薔薇
1976	張如夢
1977	南宮彩虹
1978	卓非凡
1979	紫軒
1980	柴嵩
1981	楊瑛
1982	胡神醫
1983	秋依水
1984	萬金財
1985	虞姬
2101	心魔幻境_心魔幻象
1994	心魔幻境_寶箱
1987	心魔幻境_商人
2130	神奇雪人
2131	神奇雪人
2132	神奇雪人
2133	神奇雪人
2134	神奇雪人
2135	神奇雪人
2136	冰原陷阱
2137	冰原陷阱
2138	冰原陷阱
2139	冰原陷阱
2140	冰原陷阱
2141	雪原神符
2142	雪原神符
2143	雪原神符
2144	雪原神符
2121	柔弱的雪人
2151	頑強的雪人
2152	普通的雪人
2153	精緻的雪人
2154	巨大的雪人
2155	壯觀的雪人
2156	超級大雪人
631	燕若雪
95	情人節
2198	赤心花
2206	植樹節許願樹
2207	植樹節許願樹
2208	植樹節許願樹
2209	植樹節許願樹
2210	植樹節許願樹
2211	植樹節許願樹
2212	植樹節許願樹
2257	清明節石碑
2199	毒蜂
2200	毒蜂
2201	伴生草
2202	精緻的小箱子
2311	代言人活動樹
2317	絕情龍柱
622	紫軒
2423	邪火
2477	機關
2494	雷電機關
2397	喜糖盒
2398	同心果
2537	姻緣美滿
2538	喜慶滿堂
2539	花好月圓
2540	永結連理
2541	百年好合
2542	姻緣美滿
2543	喜慶滿堂
2544	花好月圓
2545	永結連理
2546	百年好合
2547	姻緣美滿
2548	喜慶滿堂
2549	花好月圓
2550	永結連理
2551	百年好合
2371	月老
2535	月老
2372	紅娘
2373	鳳囍
