FaceId	Atlas	Sprite	Desc
1	UI/Atlas/Head/Partner/Partner_Others.prefab	Head_npc_076	紫衣妹子
2	UI/Atlas/Head/Partner/Partner_Others.prefab	Head_npc_064	絲巾妹子
3	UI/Atlas/Head/Partner/Partner_Others.prefab	Head_npc_005b	白衣女子
4	UI/Atlas/Head/Partner/Partner_Female_01.prefab	Head_npc_027	趙無雙
5	UI/Atlas/Head/Partner/Partner_Female_01.prefab	Head_npc_018	月明瑤
6	UI/Atlas/Head/Partner/Partner_Female_01.prefab	Head_pet_007	無想
7	UI/Atlas/Head/Partner/Partner_Others.prefab	Head_nil_002	白髮楊瑛
8	UI/Atlas/Head/Partner/Partner_Female_01.prefab	Head_pet_002	李恬兒
9	UI/Atlas/Head/Partner/Partner_Others.prefab	Head_npc_092	藍色桃花
10	UI/Atlas/Head/Partner/Partner_Female_01.prefab	Head_boss111	秦沐白
11	UI/Atlas/Head/Partner/Partner_Others.prefab	Head_nil_003	幫派管理員
12	UI/Atlas/Head/Partner/Partner_Others.prefab	Head_npc_002	曲霞
13	UI/Atlas/Head/Partner/Partner_Female_01.prefab	Head_npc_077	納蘭真
14	UI/Atlas/Head/Partner/Partner_Others.prefab	Head_pet_008	峨嵋大師姐
15	UI/Atlas/Head/Partner/Partner_Female_01.prefab	Head_npc_005a	何暮雪
16	UI/Atlas/Head/Partner/Partner_Female_01.prefab	Head_pet_001	黃暮雲
17	UI/Atlas/Head/Partner/Partner_Female_01.prefab	Head_npc_041	楊瑛
18	UI/Atlas/Head/Partner/Partner_Female_01.prefab	Head_npc_003	薔薇
19	UI/Atlas/Head/Partner/Partner_Female_01.prefab	Head_npc_033	蘇墨芸
20	UI/Atlas/Head/Partner/Partner_Female_01.prefab	Head_npc_031	紫軒
21	UI/Atlas/Head/Partner/Partner_Female_01.prefab	Head_npc_058	秋依水
22	UI/Atlas/Head/Partner/Partner_Female_01.prefab	Head_npc_102	月眉兒
23	UI/Atlas/Head/Partner/Partner_Female_02.prefab	FemaleHead23	新峨嵋
24	UI/Atlas/Head/Partner/Partner_Female_02.prefab	FemaleHead24	新翠煙
25	UI/Atlas/Head/Partner/Partner_Female_02.prefab	FemaleHead25	新昆侖
26	UI/Atlas/Head/Partner/Partner_Female_02.prefab	FemaleHead26	新桃花
27	UI/Atlas/Head/Partner/Partner_Female_02.prefab	FemaleHead27	新天忍
28	UI/Atlas/Head/Partner/Partner_Female_02.prefab	FemaleHead28	真兒
101	UI/Atlas/NPC/Female_01/Female_01.prefab	FemaleBust01	-
102	UI/Atlas/NPC/Female_01/Female_01.prefab	FemaleBust02	-
103	UI/Atlas/NPC/Female_01/Female_01.prefab	FemaleBust03	-
104	UI/Atlas/NPC/Female_01/Female_01.prefab	FemaleBust04	趙無雙
105	UI/Atlas/NPC/Female_01/Female_01.prefab	FemaleBust05	公孫惜花
106	UI/Atlas/NPC/Female_01/Female_01.prefab	FemaleBust06	無想
107	UI/Atlas/NPC/Female_01/Female_01.prefab	FemaleBust07	-
108	UI/Atlas/NPC/Female_02/Female_02.prefab	FemaleBust08	李恬兒
109	UI/Atlas/NPC/Female_02/Female_02.prefab	FemaleBust09	-
110	UI/Atlas/NPC/Female_02/Female_02.prefab	FemaleBust10	秦沐白
111	UI/Atlas/NPC/Female_02/Female_02.prefab	FemaleBust11	家園管理員
112	UI/Atlas/NPC/Female_02/Female_02.prefab	FemaleBust12	曲霞
113	UI/Atlas/NPC/Female_02/Female_02.prefab	FemaleBust13	納蘭真
114	UI/Atlas/NPC/Female_02/Female_02.prefab	FemaleBust14	峨嵋大師姐
115	UI/Atlas/NPC/Female_02/Female_02.prefab	FemaleBust15	-
116	UI/Atlas/NPC/Female_03/Female_03.prefab	FemaleBust16	黃暮雲
117	UI/Atlas/NPC/Female_03/Female_03.prefab	FemaleBust17	楊瑛
118	UI/Atlas/NPC/Female_03/Female_03.prefab	FemaleBust18	薔薇
119	UI/Atlas/NPC/Female_03/Female_03.prefab	FemaleBust19	蘇墨芸
120	UI/Atlas/NPC/Female_03/Female_03.prefab	FemaleBust20	紫軒
121	UI/Atlas/NPC/Female_03/Female_03.prefab	FemaleBust21	秋依水
122	UI/Atlas/NPC/Female_03/Female_03.prefab	FemaleBust22	月眉兒
123	UI/Atlas/NPC/Female_04/Female_04.prefab	FemaleBust23	新峨嵋
124	UI/Atlas/NPC/Female_04/Female_04.prefab	FemaleBust24	新翠煙
125	UI/Atlas/NPC/Female_04/Female_04.prefab	FemaleBust25	新昆侖
126	UI/Atlas/NPC/Female_04/Female_04.prefab	FemaleBust26	新桃花
127	UI/Atlas/NPC/Female_04/Female_04.prefab	FemaleBust27	新天忍
128	UI/Atlas/NPC/Female_04/Female_04.prefab	FemaleBust28	真兒
200	UI/Atlas/Head/Partner/Partner_Others.prefab	Head_normal_001	通用-男
201	UI/Atlas/Head/Partner/Partner_Male_01.prefab	Head_npc_019	唐影
202	UI/Atlas/Head/Partner/Partner_Male_02.prefab	Head_pet_005	楊鐵心
203	UI/Atlas/Head/Partner/Partner_Male_01.prefab	Head_npc_056	孟知秋
204	UI/Atlas/Head/Partner/Partner_Others.prefab	Head_nil_001	少年獨孤劍
205	UI/Atlas/Head/Partner/Partner_Male_01.prefab	Head_npc_040	捕頭
206	UI/Atlas/Head/Partner/Partner_Male_03.prefab	Head_npc_046	商會老闆
207	UI/Atlas/Head/Partner/Partner_Male_01.prefab	Head_boss017	南宮飛雲
208	UI/Atlas/Head/Partner/Partner_Male_01.prefab	Head_npc_025	小殷方
