Index	TemplateID	Name	Content	MapID	IntervalMin	IntervalMax	Duration	Distance	ActID	Action	Desc	nSoundId
citynpc1	626	玄天道人-城市	道可道，非常道，名可名，非恒名。	10	10	15	3	3				
citynpc1	626	玄天道人-城市	「武道德經」出世，只怕武林又要掀起一場腥風血雨……	10	10	15	3	3		3	die	
citynpc2	621	張琳心-城市	唉，哥哥整日如此頹廢，要怎麼勸他才好呢？	10	10	15	3	3		5	bat	
citynpc2	621	張琳心-城市	哼哼，我一定要將那個採花賊繩之於法！	10	10	15	3	3		6	qg	
citynpc2	621	張琳心-城市	咦，那個白衣青年劍客看上去好像我哥哥。	10	10	15	3	3		7	sta	
citynpc3	97	月眉兒-城市	嘖嘖嘖，最近江湖中的惡徒倒是很不安分啊，不知你可願意前去懲惡？	10	10	15	3	3		8	bat	
citynpc3	97	月眉兒-城市	比武比武，天天便知道打打殺殺，都是一介武夫！光靠武功能讓我「飛龍堡」成為「禦下三盟」嗎？	10	10	15	3	3				
citynpc3	97	月眉兒-城市	看什麼看？再看就把你抓走！	10	10	15	3	3	16	9	bat	
citynpc4	90	納蘭真-城市	比起你名揚武林，武功絕世，我更願你一生平安……	10	10	15	3	3		15	at	
citynpc4	90	納蘭真-城市	襄陽城比離憂島繁華千倍百倍，為何我卻更思念那兒？	10	10	15	3	3		16	at01	
citynpc4	90	納蘭真-城市	這裡人好多…路也好多…唉，可千萬莫要迷了路才好…	10	10	15	3	3		17	at02	
citynpc5	622	紫軒-城市	客官，可有中意的傘？要挑一柄嗎？	10	10	15	3	3		18	at03	
citynpc5	622	紫軒-城市	楊大哥，對不起……是我對不起你……	10	10	15	3	3		19	at04	
citynpc5	622	紫軒-城市	傘可遮風擋雨，卻不能遮醜……卓大哥，你這又是何苦呢？	10	10	15	3	3		20	jfd	
citynpc7	623	小李子-城市	哇哢哢，襄陽城真大！太棒了！臭老爹終於肯放我出來玩了！	10	10	15	3	3		21	jn01	
