Index	TemplateID	Name	Kind	Camp	ClassName	ScriptParam	NpcResID	FaceID	BigFaceID	DefaultDialog	ReviveFrame	NpcAttribID	NormalSkill1	NormalSkillLevel1	NormalSkill2	NormalSkillLevel2	NormalSkill3	NormalSkillLevel3	VisionRadius	ActiveRadius	AiFile	Treasure	DropFile	FightMode	RunSpeed	BloodStyle	ForbitMove	TitleID	AuraSkillId	AuraSkillLevel	StartActEvent	Tag	DropType	WalkSpeed	NameColor	Experience	GouHuoRate	TransBossNpcTID	TransBossRate	IsNotShowShadow	FixExperience	SyncFirst	IsNotBYStealLife
Fb_Protect_1	71	白衣女子	0	0	FubenDeath		105	3	103			205	57	1					560	980	Setting/Npc/Ai/CommonActive2.ini			1	20																		
Fb_Protect_2	72	紅纓侍	0	1	FubenDeath		108					201	21	1					560	980	Setting/Npc/Ai/CommonActive.ini			1	15	1					900000												
chuansong	73	傳送門	4	0			8					1							560	980				1	15																		
Changjing_hehua	232	荷花	5	0			355					1																															
qinggong	74	上升氣流	4	0			361					1							560	980				1	15																	1	
Task_xs_1	75	納蘭真	2	1			177	13	113	這是預設對話		1							560	980				1	17	1																	
Task_xs_2	76	納蘭潛凜	2	1			21	210	310			1							560	980				1	17	1																	
Test_muzhuang	81	木樁-穩如泰山	0	1			11					100							560	980				1	15	1	1																
Test_muzhuang_1	244	木樁	0	1			11					100							560	980				1	15	1																	
Test13	82	被動怪	0	1	FubenDeath		11					1	21	1					560	980	Setting/Npc/Ai/CommonPassive.ini			1	15	1																	
Test14	83	主動怪	0	1	FubenDeath		11					1	38	1					560	980	Setting/Npc/Ai/ComboTest.ini			1	15	1																	
Test_combo	84	測試AI連招	0	1			1				10	2	201	1	202	1	203	1	560	980	Setting/Npc/Ai/CommonActive.ini			1	15	1																	
Test_pt1	85	不是我的夥伴	3	1			11												560	980	Setting/Npc/Ai/partner/FellowCommon.ini			1	15	1																	
Test_pt2	86	不是你的夥伴	3	1			13						201	1					560	980	Setting/Npc/Ai/partner/FellowCommon.ini			1	17	1																	
Test_pt3	87	不是他的夥伴	3	1			103						501	1					560	980	Setting/Npc/Ai/partner/FellowCommon.ini			1	17	1																	
City_touxian	88	獨孤劍	2	1			32	210	310	一人之力，終究難以回天！早些團結周圍的力量，組成聯盟，方能長盛不衰！		1	21	1							Setting/Npc/Ai/CommonActive.ini			0	17	1																	
City_jingjichang	89	南宮飛雲	2	1			5027	207	307			1	21	1							Setting/Npc/Ai/CommonActive.ini			0	15	1																	
City_huodongjieyin	90	活動接引人	2	1	ActivityNpc		177	13	113			1	35	1							Setting/Npc/Ai/CommonActive.ini			0	15	1																	
City_lingtuzhan	91	劉雲	2	1			107	213	313			1	21	1							Setting/Npc/Ai/CommonActive.ini			0	15	1																	
City_shiliangu	92	張風	2	1			1119	15	115			1	21	1							Setting/Npc/Ai/CommonActive.ini			0	17	1																	
City_jiazu	93	幫派管理員	2	1			11	226	326			1	21	1							Setting/Npc/Ai/CommonActive.ini			0	15	1																	
City_qianghua	94	強化	2	1			139	203	303			1	21	1							Setting/Npc/Ai/CommonActive.ini			0	15	1																	
City_shanghui	95	小紫煙	2	1			191	802	802	這位客官好俊呐，可打算與心儀之人登上小樓聽雨舫？若未獲得船票，可從我這兒直接購買哦！		1	21	1							Setting/Npc/Ai/CommonActive.ini			0	15	1																	
