Index	TemplateID	Name	Kind	Camp	ClassName	ScriptParam	NpcResID	FaceID	ReviveFrame	NpcAttribID	NormalSkill1	NormalSkillLevel1	NormalSkill2	NormalSkillLevel2	NormalSkill3	NormalSkillLevel3	VisionRadius	ActiveRadius	AiFile	Treasure	DropFile	FightMode	RunSpeed	BloodStyle	ForbitMove	AuraSkillId	AuraSkillLevel	StartActEvent	TitleID	BigFaceID	DefaultDialog	DropType	Tag	WalkSpeed	NameColor	Experience	GouHuoRate	TransBossNpcTID	TransBossRate	IsNotShowShadow	FixExperience	IsNotBYStealLife	SyncFirst
DOTA_Soldier_A1	160	宋軍護衛	0	0	BattleNpc		394			131	21	1					800	800	Setting/Npc/Ai/battle/soldier.ini			1	15	1	0																		
DOTA_Soldier_A2	161	宋軍護衛	0	0	BattleNpc		393			131	40	1					800	800	Setting/Npc/Ai/battle/soldier.ini			1	15	1	0																		
DOTA_Soldier_A3	162	宋軍士兵	0	0	BattleNpc		150			131	21	1					800	800	Setting/Npc/Ai/battle/soldier.ini			1	15	1	0																		
DOTA_Soldier_A4	163	宋軍士兵	0	0	BattleNpc		150			131	40	1					800	800	Setting/Npc/Ai/battle/soldier.ini			1	15	1	0																		
DOTA_Soldier_A5	164	宋軍士兵	0	0	BattleNpc		150			131	21	1					800	800	Setting/Npc/Ai/battle/soldier.ini			1	15	1	0																		
DOTA_Soldier_A6	165	宋軍大將	0	0	BattleNpc		1114			138	40	1	91	1			800	800	Setting/Npc/Ai/battle/leader.ini			1	15	2	0	197	1																
DOTA_Soldier_A7	166	邵宏淵	0	0	BattleNpc		1113			139	21	1	91	1			800	800	Setting/Npc/Ai/battle/leader.ini			1	15	2	0	197	1		202														
DOTA_Soldier_A8	167	李顯忠	0	0	BattleNpc		1113			139	21	1	91	1			800	800	Setting/Npc/Ai/battle/leader.ini			1	15	2	0	197	1		202														
DOTA_Soldier_B1	168	金軍護衛	0	0	BattleNpc		394			131	21	1					800	800	Setting/Npc/Ai/battle/soldier.ini			1	15	1	0																		
DOTA_Soldier_B2	169	金軍護衛	0	0	BattleNpc		393			131	40	1					800	800	Setting/Npc/Ai/battle/soldier.ini			1	15	1	0																		
DOTA_Soldier_B3	170	金軍士兵	0	0	BattleNpc		151			131	21	1					800	800	Setting/Npc/Ai/battle/soldier.ini			1	15	1	0																		
DOTA_Soldier_B4	171	金軍士兵	0	0	BattleNpc		151			131	40	1					800	800	Setting/Npc/Ai/battle/soldier.ini			1	15	1	0																		
DOTA_Soldier_B5	172	金軍士兵	0	0	BattleNpc		151			131	21	1					800	800	Setting/Npc/Ai/battle/soldier.ini			1	15	1	0																		
