Index	TemplateID	Name	Kind	Camp	ClassName	ScriptParam	NpcResID	FaceID	BigFaceID	ReviveFrame	NpcAttribID	NormalSkill1	NormalSkillLevel1	NormalSkill2	NormalSkillLevel2	NormalSkill3	NormalSkillLevel3	VisionRadius	ActiveRadius	AiFile	Treasure	DropFile	FightMode	RunSpeed	BloodStyle	ForbitMove	TitleID	AuraSkillId	AuraSkillLevel	StartActEvent	Tag	DropType	DefaultDialog	WalkSpeed	NameColor	Experience	GouHuoRate	TransBossNpcTID	TransBossRate	IsNotShowShadow	FixExperience	IsNotBYStealLife	SyncFirst
Fb_boss_1	1	蕭動塵	0	1	FubenDeath		14	229	329		216	1335	1	91	1			1000	1500	Setting/Npc/Ai/fuben/Boss6.ini			1	20	2										4								
Fb_leader_1	2	單晶晶	0	1	FubenDeath		102	200	300		217	21	1	91	1			1000	1500	Setting/Npc/Ai/CommonActive.ini			1	15	1																		
Fb_enemy_1_1	3	紅衣壯漢	0	1	FubenDeath		101	200	300		211	21	1	91	1			1000	1500	Setting/Npc/Ai/CommonActive.ini			1	20	2																		
Fb_enemy_1_2	4	金錢豹	0	1	FubenDeath		111	200	300		211	22	1					1000	1500	Setting/Npc/Ai/CommonActive.ini			1	15	1																		
Fb_enemy_1_3	5	烈焰骷髏	0	1	FubenDeath		317	200	300		215	90	1	91	1			1000	1500	Setting/Npc/Ai/fuben/Boss1.ini			1	20	2									8	4								
Fb_boss_2	6	姬禦天	0	1	FubenDeath		13	200	300		217	1319	1	91	1			1000	1500	Setting/Npc/Ai/fuben/Boss2.ini			1	20	2																		
Fb_leader_2	7	顧少遊	0	1	FubenDeath		11	200	300		217	176	1	91	1			1000	1500	Setting/Npc/Ai/fuben/Boss13.ini			1	20	2																		
Fb_enemy_2_1	8	猛虎	0	1	FubenDeath		114	200	300		211	22	1					1000	1500	Setting/Npc/Ai/CommonActive.ini			1	15	1										1								
Fb_enemy_2_2	9	猴子	0	1	FubenDeath		117	200	300		211	22	1					1000	1500	Setting/Npc/Ai/RangeActive.ini			1	15	1										1								
Fb_enemy_2_3	10	猴子精英	0	1	FubenDeath		117	200	300		213	22	1					1000	1500	Setting/Npc/Ai/CommonSkill.ini			1	15	1										3								
Fb_boss_3	11	公輸鈴	0	1	FubenDeath		318	9	109		217	1317	1	91	1			1000	1500	Setting/Npc/Ai/fuben/Boss3.ini			1	20	2																		
Fb_leader_3	12	葉雨柔	0	1	FubenDeath		131	200	300		217	1374	1	91	1			1000	1500	Setting/Npc/Ai/fuben/Boss11.ini			1	20	2																		
Fb_enemy_3_1	13	灰狼	0	1	FubenDeath		115	200	300		211	22	1					1000	1500	Setting/Npc/Ai/CommonActive.ini			1	15	1										1								
Fb_enemy_3_2	14	紅衣劍侍	0	1	FubenDeath		104	200	300		211	40	1					1000	1500	Setting/Npc/Ai/RangeActive.ini			1	15	1					900001													
Fb_enemy_3_3	15	紅衣劍客	0	1	FubenDeath		135	200	300		211	1386	1					1000	1500	Setting/Npc/Ai/CommonActive.ini			1	15	1										1								
Fb_boss_4	16	紅衣小蘿莉	0	1	FubenDeath		104	200	300		217	40	1					1000	1500	Setting/Npc/Ai/RangeActive.ini			1	15	1					900001													
Fb_leader_4	17	紅纓侍	0	1	FubenDeath		318	9	109		211	21	1					1000	1500	Setting/Npc/Ai/CommonActive.ini			1	15	1																		
Fb_enemy_4_1	18	紫色蠍子	0	1	FubenDeath		109	200	300		211	21	1					1000	1500	Setting/Npc/Ai/CommonActive.ini			1	15	1																		
Fb_enemy_4_2	19	火狐	0	1	FubenDeath		110	200	300		211	22	1					1000	1500	Setting/Npc/Ai/CommonActive.ini			1	15	1																		
Fb_enemy_4_3	20	蜘蛛	0	1	FubenDeath		112	200	300		212	181	1					1000	1500	Setting/Npc/Ai/CommonActive.ini			1	15	1										1								
Fb_boss_5	21	慕容越	0	1	FubenDeath		12	200	300		215	1349	1	91	1			1000	1500	Setting/Npc/Ai/fuben/Boss7.ini			1	20	2										4								
Fb_leader_5	22	灰狼精英	0	1	FubenDeath		115	200	300		214	22	1					1000	1500	Setting/Npc/Ai/CommonSkill.ini			1	15	1										3								
Fb_enemy_5_1	23	逍遙派弟子	0	0	FubenDeath		120	200	300		211	21	1					1000	1500	Setting/Npc/Ai/CommonActive.ini			1	15	1																		
Fb_enemy_5_2	24	東瀛忍者	0	1	FubenDeath		124	200	300		211	40	1					1000	1500	Setting/Npc/Ai/RangeActive.ini			1	15	1					900001													
Fb_enemy_5_3	25	江湖草莽	0	1	FubenDeath		123	200	300		211	166	1					1000	1500	Setting/Npc/Ai/CommonActive.ini			1	15	1										1								
Fb_boss_6	26	月重天	0	1	FubenDeath		122	200	300		217	1340	1	91	1			1000	1500	Setting/Npc/Ai/fuben/Boss4.ini			1	20	2					900002													
Fb_leader_6	27	張仲天	0	1	FubenDeath		121	200	300		217	1342	1	91	1			1000	1500	Setting/Npc/Ai/fuben/Boss5.ini			1	20	2					900003													
Fb_enemy_6_1	28	五毒教弟子	0	1	FubenDeath		138	200	300		211	21	1					1000	1500	Setting/Npc/Ai/CommonActive.ini			1	15	1										1								
Fb_enemy_6_2	29	刺客	0	1	FubenDeath		124	200	300		211	40	1					1000	1500	Setting/Npc/Ai/RangeActive.ini			1	15	1					900001					1								
Fb_enemy_6_3	30	門派棄徒	0	1	FubenDeath		120	200	300		211	21	1					1000	1500	Setting/Npc/Ai/CommonActive.ini			1	15	1																		
Fb_boss_7	31	徐鐵心	0	1	FubenDeath		101	200	300		217	21	1	91	1			1000	1500	Setting/Npc/Ai/CommonActive.ini			1	20	2																		
Fb_leader_7	32	紫軒	0	1	FubenDeath		127	200	300		215	41	1	91	1			1000	1500	Setting/Npc/Ai/fuben/Boss12.ini			1	20	2																		
Fb_enemy_7_1	33	葉無心	0	1	FubenDeath		119	200	300		217	21	1	91	1			1000	1500	Setting/Npc/Ai/CommonActive.ini			1	20	2																		
Fb_enemy_7_2	34	水賊	0	1	FubenDeath		123	200	300		211	21	1					1000	1500	Setting/Npc/Ai/CommonActive.ini			1	15	1					900004					1								
Fb_enemy_7_3	35	葉浩	0	1	FubenDeath		119	200	300		213	21	1					1000	1500	Setting/Npc/Ai/CommonActive.ini			1	15	1																		
Fb_boss_8	36	葉雨柔	0	1	FubenDeath		131	200	300		217	21	1					1000	1500	Setting/Npc/Ai/RangeActive.ini			1	15	1																		
Fb_leader_8	37	強盜	0	1	FubenDeath		136	200	300		211	166	1					1000	1500	Setting/Npc/Ai/CommonActive.ini			1	15	1																		
Fb_enemy_8_1	38	五毒教男精英	0	1	FubenDeath		138	200	300		213	40	1	91	1			1000	1500	Setting/Npc/Ai/fuben/Npc2.ini			1	20	2																		
Fb_enemy_8_2	39	採藥人	0	1	FubenDeath		139	200	300		211	174	1					1000	1500	Setting/Npc/Ai/CommonActive.ini			1	15	1																		
Fb_enemy_8_3	40	死侍	0	1	FubenDeath		124	200	300		211	166	1					1000	1500	Setting/Npc/Ai/RangeActive.ini			1	15	1					900001													
Fb_boss_9	41	薔薇	0	1	FubenDeath		103	18	118		217	56	1	91	1			1000	1500	Setting/Npc/Ai/random/qiangwei.ini			1	20	2										5								
Fb_leader_9	42	公輸羽	0	1	FubenDeath		129	200	300		217	21	1	91	1			1000	1500	Setting/Npc/Ai/fuben/Boss10.ini			1	20	2																		
Fb_enemy_9_1	43	江湖流寇	0	1	FubenDeath		134	200	300		211	21	1					1000	1500	Setting/Npc/Ai/CommonActive.ini			1	15	1										1								
Fb_enemy_9_2	44	劍童	0	1	FubenDeath		125	200	300		211	167	1					1000	1500	Setting/Npc/Ai/CommonActive.ini			1	15	1										1								
Fb_enemy_9_3	45	火焰陷阱	6	1	FubenDeath		358	200	300		211							1000	1500				1	0																			
Fb_boss_10	46	紅衣劍客	0	1	FubenDeath		135	200	300		213	1386	1	91	1			1000	1500	Setting/Npc/Ai/CommonActive.ini			1	20	2																		
Fb_leader_10	47	五毒教女弟子	0	1	FubenDeath		137	200	300		211	21	1					1000	1500	Setting/Npc/Ai/CommonActive.ini			1	15	1																		
Fb_enemy_10_1	48	蘇家家丁	0	1	FubenDeath		123	200	300		211	21	1					1000	1500	Setting/Npc/Ai/CommonActive.ini			1	15	1					900004													
Fb_enemy_10_2	49	五毒教女精英	0	1	FubenDeath		137	200	300		213	39	1	91	1			1000	1500	Setting/Npc/Ai/fuben/Npc1.ini			1	20	2																		
Fb_enemy_10_3	50	蘇墨芸	4	0	FubenDeath		133	200	300		217	1816	1	91	1			1000	1500	Setting/Npc/Ai/fuben/Boss19.ini			1	20	2										5								
Fb_ememy_qiangdaotoumu	404	強盜頭目	0	1	FubenDeath		369	200	300		217	166	1	91	1			1000	1500	Setting/Npc/Ai/fuben/Boss16.ini			1	20	2																		
Fb_enmey_fenglinweitoumu	406	楓林衛頭目	0	1	FubenDeath		370	200	300		217	1843	1	91	1			1000	1500	Setting/Npc/Ai/fuben/Boss23.ini			1	20	2																		
Fb_enmey_etutoumu	408	惡人谷頭目	0	1	FubenDeath		364	200	300		217	166	1	91	1			1000	1500	Setting/Npc/Ai/CommonActive.ini			1	20	2																		
Fb_enmey_wumingdahan	409	無名壯漢	0	1	FubenDeath		368	200	300		217	1807	1	91	1			1000	1500	Setting/Npc/Ai/fuben/Boss17.ini			1	20	2																		
Fb_enmey_shenminvzi	410	苗疆女子	0	1	FubenDeath		137	200	300		217	40	1	91	1			1000	1500	Setting/Npc/Ai/CommonActive.ini			1	20	2																		
Fb_enmey_shenminanzi	411	蘇家總管	0	1	FubenDeath		354	200	300		217	1359	1	91	1			1000	1500	Setting/Npc/Ai/fuben/Boss8.ini			1	20	2																		
Fb_enmey_ciketoumu	412	刺客頭目	0	1	FubenDeath		365	200	300		217	1811	1	91	1			1000	1500	Setting/Npc/Ai/fuben/Boss18.ini			1	20	2																		
Fb_enmey_fujiagongzi	422	富家公子	0	1	FubenDeath		366	200	300		217	41	1	91	1			1000	1500	Setting/Npc/Ai/fuben/Boss15.ini			1	20	2																		
Fb_enmey_miaojiangnanzi	423	苗疆男子	0	1	FubenDeath		371	200	300		217	40	1	91	1			1000	1500	Setting/Npc/Ai/fuben/Boss22.ini			1	20	2																		
Fb_enmey_hongyingwei	424	紅纓衛	0	1	FubenDeath		372	200	300		217	21	1	91	1			1000	1500	Setting/Npc/Ai/fuben/Boss21.ini			1	20	2																		
Fb_enmey_dingchuinan	425	流寇頭目	0	1	FubenDeath		373	200	300		217	21	1	91	1			1000	1500	Setting/Npc/Ai/fuben/Boss20.ini			1	20	2																		
Fb_enmey_wangdachui	426	王大錘	0	1	FubenDeath		368	200	300		217	1848	1	91	1			1000	1500	Setting/Npc/Ai/fuben/Boss24.ini			1	20	2																		
Fb_enmey_sumoyun	427	蘇墨芸	0	1	FubenDeath		133	19	119		217	1816	1	91	1			1000	1500	Setting/Npc/Ai/fuben/Boss19.ini			1	20	2										5								
Fb_enmey_langwang	428	狼王	0	1	FubenDeath		357	200	300		215	1362	1	91	1			1000	1500	Setting/Npc/Ai/fuben/Boss9.ini			1	20	2										4								
Fb_enmey_shenmijianke	434	武言道	0	1	FubenDeath		367	200	300		215	1386	1	91	1			1000	1500	Setting/Npc/Ai/fuben/Boss14.ini			1	20	2										4								
Fb_enmey_shenmijianke_1	696	武言道	0	1	FubenDeath		367	200	300		215	1386	1	91	1			1000	1500	Setting/Npc/Ai/fuben/Boss14.ini			1	20	2					900007					4								
Fb_enmey_lieren	521	獵戶	0	1	FubenDeath		159	200	300		211	182	1					1000	1500	Setting/Npc/Ai/CommonActive.ini			1	15	1					900001													
Fb_enmey_jiguanren1	522	機關人	0	1	FubenDeath		157	200	300		211	21	1					1000	1500	Setting/Npc/Ai/CommonActive.ini			1	15	1					900001					1								
Fb_enmey_jiguanren2	523	機關戰車	0	1	FubenDeath		154	200	300		211	1874	1					1000	1500	Setting/Npc/Ai/CommonActive.ini			1	15	1					900001					1								
Fb_enmey_shensheshou	524	神射手	0	1	FubenDeath		159	200	300		211	182	1					1000	1500	Setting/Npc/Ai/CommonActive.ini			1	15	1					900001					1								
Fb_enemy_cike	576	刺客	0	1	FubenDeath		124	200	300		212	40	1					1000	1500	Setting/Npc/Ai/RangeActive.ini			1	15	1					900001					1								
Fb_enmey_mazei	579	攔路響馬	0	1	FubenDeath		143	200	300		211	21	1					1000	1500	Setting/Npc/Ai/CommonActive.ini			1	15	1										1								
Fb_enmey_daodunbing	580	刀盾兵	0	1	FubenDeath		150	200	300		211	21	1					1000	1500	Setting/Npc/Ai/CommonActive.ini			1	15	1																		
Fb_enmey_heiyilieyin	581	黑翼獵鷹	0	1	FubenDeath		147	200	300		211	21	1					1000	1500	Setting/Npc/Ai/CommonActive.ini			1	15	1																		
Fb_enmey_changgongshou	583	長弓手	0	1	FubenDeath		152	200	300		211	182	1					1000	1500	Setting/Npc/Ai/CommonActive.ini			1	15	1																		
Fb_enmey_dajishi	584	禁衛統領	0	1	FubenDeath		402	200	300		217	21	1	91	1			1000	1500	Setting/Npc/Ai/CommonActive.ini			1	20	2																		
Fb_enmey_wulinetu_ruo	658	江湖草莽	0	1	FubenDeath		123	200	300		212	166	1					1000	1500	Setting/Npc/Ai/CommonActive.ini			1	15	1										1								
