Index	TemplateID	Name	Kind	Camp	ClassName	ScriptParam	NpcResID	FaceID	BigFaceID	ReviveFrame	NpcAttribID	NormalSkill1	NormalSkillLevel1	NormalSkill2	NormalSkillLevel2	NormalSkill3	NormalSkillLevel3	VisionRadius	ActiveRadius	AiFile	Treasure	DropFile	FightMode	RunSpeed	BloodStyle	ForbitMove	AuraSkillId	AuraSkillLevel	StartActEvent	TitleID	BigFaceID	Tag	DropType	DefaultDialog	WalkSpeed	NameColor	Experience	GouHuoRate	TransBossNpcTID	TransBossRate	IsNotShowShadow	FixExperience																																																																																								SyncFirst	IsNotBYStealLife
RandomFuben_huohu_1	258	火狐	0	1	FubenDeath		110	200	300		314	22	1	1533	1	91	1	1500	1500	Setting/Npc/Ai/random/crazy.ini			1	20	1											1																																																																																															
RandomFuben_huohu_2	259	火狐王	0	1	FubenDeath		384	200	300		322	22	1	91	1			1500	1500	Setting/Npc/Ai/random/crazy.ini			1	20	2											3																																																																																															
RandomFuben_shanzei_1	260	山賊	0	1	FubenDeath		136	200	300		314	21	1	91	1			1500	1500	Setting/Npc/Ai/CommonActive.ini			1	20	1											1																																																																																															
RandomFuben_shanzei_2	261	山賊頭目	0	1	FubenDeath		369	200	300		322	21	1	24	1	91	1	1500	1500	Setting/Npc/Ai/CommonSkill.ini			1	20	2											3																																																																																															
RandomFuben_tiger_1	256	猛虎	0	1	FubenDeath		114	200	300		314	22	1	91	1			1500	1500	Setting/Npc/Ai/CommonActive.ini			1	18	1											1																																																																																															
RandomFuben_tiger_2	255	虎王	0	1	FubenDeath		114	200	300		322	22	1	2439	1	91	1	1500	1500	Setting/Npc/Ai/CommonSkill.ini			1	18	2											3																																																																																															
RandomFuben_bear_1	269	黑熊	0	1	FubenDeath		116	200	300		314	22	1	91	1			1500	1500	Setting/Npc/Ai/CommonActive.ini			1	18	1											1																																																																																															
RandomFuben_bear_2	1312	黑熊王	0	1	FubenDeath		399	200	300		322	22	1	2357	1	91	1	1500	1500	Setting/Npc/Ai/CommonSkill.ini			1	18	2											3																																																																																															
RandomFuben_jinqianbao_1	270	金錢豹	0	1	FubenDeath		111	200	300		314	22	1	91	1			1500	1500	Setting/Npc/Ai/CommonActive.ini			1	20	1											1																																																																																															
RandomFuben_jinqianbao_2	271	金錢豹王	0	1	FubenDeath		385	200	300		322	22	1	2357	1	91	1	1500	1500	Setting/Npc/Ai/CommonSkill.ini			1	18	2											3																																																																																															
RandomFuben_huilang_1	700	灰狼	0	1	FubenDeath		115	200	300		314	22	1	91	1			1500	1500	Setting/Npc/Ai/CommonActive.ini			1	20	1											1																																																																																															
RandomFuben_langwang_1	701	狼王	0	1	FubenDeath		357	200	300		322	1362	1	91	1			1500	1500	Setting/Npc/Ai/fuben/Boss9.ini	2	Setting/Npc/DropFile/RandomFuben/House_A/lisan.tab	1	20	2								1			3																																																																																															
RandomFuben_xiangma_1	661	攔路響馬	0	1	FubenDeath		143	200	300		314	21	1	91	1			1500	1500	Setting/Npc/Ai/CommonActive.ini			1	18	1											1																																																																																															
RandomFuben_xiangma_2	662	響馬頭目	0	1	FubenDeath		400	200	300		322	21	1	28	1			1500	1500	Setting/Npc/Ai/CommonSkill.ini			1	18	2											3																																																																																															
RandomFuben_jiading	643	蘇家家丁	0	1	FubenDeath		123	200	300		314	21	1	91	1			1500	1500	Setting/Npc/Ai/CommonActive.ini			1	20	1											1																																																																																															
RandomFuben_jiguan1	274	機關	2	0	FubenDialog	0,開啟中...,糟糕！中埋伏了！	377	995	300																							NoTurn																																																																																																			
RandomFuben_jiguan2	273	劍	2	0	FubenDialog	4,開啟中…	362	995	300		1							560	980				1	15		1						NoTurn																																																																																																			
RadomFuben_jiguanskill	264	機關技能	5	0	FubenDeath		358	995	300																																																																																																																										
RandomFuben_shibei	650	石碑	2	0	FubenDialog	0,開啟中...,糟糕！中埋伏了！	413	995	300																							NoTurn																																																																																																			
RandomFuben_shibei1	651	石碑	2	0	FubenDialog	4,開啟中…	413	995	300																							NoTurn																																																																																																			
RandomFuben_xinmo1	275	天王主角	0	1	FubenDeath		421	200	300		332	2001	1	91	1			3000	3000	Setting/Npc/Ai/random/jx_tianwang.ini			1	25	1																																																																																																										
RandomFuben_xinmo2	276	峨嵋主角	0	1	FubenDeath		422	200	300		332	2008	1	91	1			3000	3000	Setting/Npc/Ai/random/jx_emei.ini			1	25	1																																																																																																										
RandomFuben_xinmo3	277	桃花主角	0	1	FubenDeath		423	200	300		332	2014	1	91	1			3000	3000	Setting/Npc/Ai/random/jx_taohua.ini			1	25	1																																																																																																										
RandomFuben_xinmo4	278	逍遙主角	0	1	FubenDeath		424	200	300		332	2024	1	91	1			3000	3000	Setting/Npc/Ai/random/jx_xiaoyao.ini			1	25	1																																																																																																										
RandomFuben_xinmo5	1231	武當主角	0	1	FubenDeath		434	200	300		332	2901	1	91	1			3000	3000	Setting/Npc/Ai/random/jx_wudang.ini			1	25	1																																																																																																										
RandomFuben_xinmo6	1232	天忍主角	0	1	FubenDeath		435	200	300		332	2908	1	91	1			3000	3000	Setting/Npc/Ai/random/jx_tianren.ini			1	25	1																																																																																																										
RandomFuben_xinmo7	1849	少林主角	0	1	FubenDeath		525	200	300		332	2084	1	91	1			3000	3000	Setting/Npc/Ai/random/jx_shaolin.ini			1	25	1																																																																																																										
RandomFuben_xinmo8	1850	翠煙主角	0	1	FubenDeath		526	200	300		332	2088	1	91	1			3000	3000	Setting/Npc/Ai/random/jx_cuiyan.ini			1	25	1																																																																																																										
RandomFuben_xinmo9	2032	唐門主角	0	1	FubenDeath		561	200	300		332	3085	1	91	1			3000	3000	Setting/Npc/Ai/random/jx_tangmen.ini			1	25	1																																																																																																										
RandomFuben_xinmo10	2033	崑崙主角	0	1	FubenDeath		562	200	300		332	3096	1	91	1			3000	3000	Setting/Npc/Ai/random/jx_kunlun.ini			1	25	1																																																																																																										
RandomFuben_xinmo11	2233	丐幫主角	0	1	FubenDeath		588	200	300		332	3622	1	91	1			3000	3000	Setting/Npc/Ai/random/jx_gaibang.ini			1	25	1																																																																																																										
RandomFuben_xinmo12	2234	五毒主角	0	1	FubenDeath		589	200	300		332	3628	1	91	1			3000	3000	Setting/Npc/Ai/random/jx_wudu.ini			1	25	1																																																																																																										
RandomFuben_xinmo13	2383	藏劍主角	0	1	FubenDeath		610	200	300		332	3951	1	91	1			3000	3000	Setting/Npc/Ai/random/jx_cangjian.ini			1	25	1																																																																																																										
RandomFuben_xinmo14	2384	長歌主角	0	1	FubenDeath		611	200	300		332	3957	1	91	1			3000	3000	Setting/Npc/Ai/random/jx_changge.ini			1	25	1																																																																																																										
RandomFuben_BOSS1	272	公輸玲	0	1	FubenDeath		318	200	300		323	1317	1	91	1			1500	1500	Setting/Npc/Ai/fuben/Boss3.ini			1	25	2								1																																																																																																		
RandomFuben_muziyi	262	沐紫衣	0	0	FubenDeath		176	200	300		323	56	1	42	1			3000	3000	Setting/Npc/Ai/CommonSkill.ini			1	30	1								1																																																																																																		
RandomFuben_murongyue	441	慕容越	0	1	FubenDeath		1108	200	300		321	1580	1	91	1			1500	1500	Setting/Npc/Ai/random/murongyue.ini			1	17	2								1			3																																																																																															
RandomFuben_murongyue1	644	慕容越	2	0	FubenDeath		1108	200	300		321																									3																																																																																															
RandomFuben_murongyue2	646	慕容越	0	1	FubenDeath		1108	200	300		321	1580	1	91	1			1500	1500	Setting/Npc/Ai/random/murongyue.ini			1	17	2											3																																																																																															
RandomFuben_sumoyun	443	蘇墨芸	0	1	FubenDeath		615	200	300		331	1597	1	91	1			3000	3000	Setting/Npc/Ai/random/sumoyun.ini			1	18	2											4																																																																																															
RandomFuben_sumoyun1	645	蘇墨芸	2	0	FubenDeath		133	200	300		331																									4																																																																																															
RandomFuben_jiyutian	442	姬禦天	0	1	FubenDeath		13	200	300		323	1547	1	91	1			1500	1500				1	17	2																																																																																																										
RandomFuben_jiyutian1	652	姬禦天	0	0	FubenDeath		13	200	300		323									Setting/Npc/Ai/Stay.ini			1	17	2																																																																																																										
RandomFuben_zixuan	444	紫軒	0	1	FubenDeath		127	200	300		323	1648	1	91	1			1500	1500				1	18	2																																																																																																										
RandomFuben_zixuan1	648	紫軒	0	1	FubenDeath		127	200	300		323												1	18	2																																																																																																										
