Index	TemplateID	Name	Kind	Camp	ClassName	ScriptParam	NpcResID	FaceID	BigFaceID	DefaultDialog	ReviveFrame	NpcAttribID	NormalSkill1	NormalSkillLevel1	NormalSkill2	NormalSkillLevel2	NormalSkill3	NormalSkillLevel3	VisionRadius	ActiveRadius	AiFile	Treasure	DropFile	FightMode	RunSpeed	BloodStyle	ForbitMove	TitleID	AuraSkillId	AuraSkillLevel	StartActEvent	Tag	DropType	WalkSpeed	NameColor	Experience	GouHuoRate	TransBossNpcTID	TransBossRate	IsNotShowShadow	FixExperience	IsNotBYStealLife	SyncFirst
Birthplace_npc1	413	納蘭真	2	1	ClientTaskNpc		177	13	113	今日你到訪，我才驚覺在這島上已過了十多個年頭。		1	21	1							Setting/Npc/Ai/CommonActive.ini			0	15	3																	
Birthplace_npc2	414	小殷方	2	1	ClientTaskNpc		125	208	308	總有一日，我要成為頂天立地的大俠！		1	21	1							Setting/Npc/Ai/CommonActive.ini			0	15	3																	
Birthplace_npc3	415	楊影楓	2	1	ClientTaskNpc		1101	225	325	為求天下第一，便是沒了這條命，又算得什麼？		1	56	1							Setting/Npc/Ai/CommonActive.ini			0	15	3																	
Birthplace_npc4	416	納蘭潛凜	2	1	ClientTaskNpc		187	212	312	心若不靜，則萬物皆躁，行事需三思。		1	21	1							Setting/Npc/Ai/CommonActive.ini			0	15	3																	
Birthplace_npc5	417	胡神醫	2	1			5022	223	323	忘憂島可真是個寶庫啊，真兒也是個學醫的好胚子，也不知道怎麼就看上了那個臭小子！		1	21	1							Setting/Npc/Ai/CommonActive.ini			0	15	3																	
Birthplace_npc6	418	納蘭真	2	1			177	13	113	希望楊大哥的身體能夠快些好起來。		1	21	1							Setting/Npc/Ai/CommonActive.ini			0	15	3																	
Birthplace_npc7	578	小殷方	2	1			125	208	308	要名揚天下，自然是要學劍！呃，楊大哥你別誤會，我不是說你……		1	21	1							Setting/Npc/Ai/CommonActive.ini			0	15	3																	
Birthplace_npc8	419	楊影楓	2	1			1101	225	325	江湖險惡，人心難測，唉，		1	56	1							Setting/Npc/Ai/CommonActive.ini			0	15	3																	
Birthplace_npc9	954	納蘭潛凜	2	1			187	212	312	真兒性格外柔內剛，常言道嫁出去的女兒，潑出去的水，這都尚未……唉！		1	21	1							Setting/Npc/Ai/CommonActive.ini			0	15	3																	
Birthplace_npc11	956	獵鷹	5	1			147					1	21	1							Setting/Npc/Ai/CommonActive.ini			0	15	3																	
Birthplace_npc12	1080	納蘭真	0	1			177	13	113	今日你到訪，我才驚覺在這島上已過了十多個年頭。		1	21	1							Setting/Npc/Ai/partner/FellowCommon.ini			0	40	3																	
Birthplace_npc13	1081	楊影楓	0	1			1101	225	325	為求天下第一，便是沒了這條命，又算得什麼？		1	56	1							Setting/Npc/Ai/partner/FellowCommon.ini			0	30	3																	
Birthplace_npc14	1277	重傷的楊影楓	4	1			457	225	325			1	56	1							Setting/Npc/Ai/partner/FellowCommon.ini			0	30	3																	
Birthplace_npc15	1278	惡徒	2	1			123		993	大哥！您真是勇猛英俊！天下罕見！		1	21	1							Setting/Npc/Ai/CommonActive.ini			0	15	3						NoTurn											
Birthplace_npc10	955	赤心花	2	1	TaskNpc	14|3|採集中...	323					1	21	1							Setting/Npc/Ai/CommonActive.ini			0	15	3						NoTurn											
Task_syy_caiji_caoyao	1276	紫瀾草	2	1	TaskNpc	45|3|採集中...	448					1	21	1							Setting/Npc/Ai/CommonActive.ini			0	15	3						NoTurn											
House_caiji_caoyao	2213	紫瀾草	2	1	TaskNpc	3104|3|採集中...	448					1	21	1							Setting/Npc/Ai/CommonActive.ini			0	15	3						NoTurn											
Task_syy_caiji_xiangzi1	1284	貨物箱	2	1	TaskNpc	25|3|採集中...	446					1	21	1							Setting/Npc/Ai/CommonActive.ini			0	15	3						NoTurn											
Task_syy_caiji_xiangzi2	1285	貨物箱	2	1	TaskNpc	24|3|採集中...	446					1	21	1							Setting/Npc/Ai/CommonActive.ini			0	15	3						NoTurn											
Task_xsd_caiji_guozi	1252	果子	2	1	TaskNpc	312|3|採集中...	328					1	21	1							Setting/Npc/Ai/CommonActive.ini			0	15	3						NoTurn											
Task_wys_caiji_guozi	1349	果子	2	1	TaskNpc	76|3|採集中...	328					1	21	1							Setting/Npc/Ai/CommonActive.ini			0	15	3						NoTurn											
Task_caiji_muchai	1273	木柴	2	1	TaskNpc	74|3|採集中...	445					1	21	1							Setting/Npc/Ai/CommonActive.ini			0	15	3						NoTurn											
House_caiji_muchai	2214	木頭堆	2	1	TaskNpc	3102|3|採集中...	445					1	21	1							Setting/Npc/Ai/CommonActive.ini			0	15	3						NoTurn											
Task_hsmd_caiji_muchai	1274	木柴	2	1	TaskNpc	264|3|採集中...	445					1	21	1							Setting/Npc/Ai/CommonActive.ini			0	15	3						NoTurn											
Task_hsmd_caiji_guozi	1275	果子	2	1	TaskNpc	283|3|採集中...	440					1	21	1							Setting/Npc/Ai/CommonActive.ini			0	15	3						NoTurn											
Task_Syy_npc4	722	紫瀾花	2	1	TaskNpc	45|3|採集中...	323					1	21	1							Setting/Npc/Ai/CommonActive.ini			0	15	3						NoTurn											
Task_dth_caiji_xianjing	1280	虛掩的帽子	4	1			450					1	21	1							Setting/Npc/Ai/CommonActive.ini			0	15	3						NoTurn											
Task_scene_guozi	1262	果堆	4	1			447					1	21	1							Setting/Npc/Ai/CommonActive.ini			0	15	3																	
Task_scene_luoye	1264	落葉堆	4	1			444					1	21	1							Setting/Npc/Ai/CommonActive.ini			0	15	3																	
Task_scene_yifu	1266	散落的衣服	4	1			449					1	21	1							Setting/Npc/Ai/CommonActive.ini			0	15	3																	
Task_scene_zuji	1272	足跡	4	1			441					1	21	1							Setting/Npc/Ai/CommonActive.ini			0	15	3																	
Task_scene_biaoji1	1267	路標	4	1			442					1	21	1							Setting/Npc/Ai/CommonActive.ini			0	15	3																	
Task_scene_biaoji2	1268	路標	4	1			443					1	21	1							Setting/Npc/Ai/CommonActive.ini			0	15	3																	
Task_Client_lq	1160	盧青	2	1	ClientTaskNpc		1121		993	不知掌門師兄如今怎麼樣了……		1	56	1							Setting/Npc/Ai/CommonActive.ini			0	15	3																	
Task_Client_qiaofu	1163	樵夫	2	1	ClientTaskNpc		173		993	要問路來找我就對了！		1	56	1							Setting/Npc/Ai/CommonActive.ini			0	15	3																	
Task_Client_wydz	1165	武夷派弟子	2	1	ClientTaskNpc		169		993	有朝一日，我要光復武夷劍派！		1	56	1							Setting/Npc/Ai/CommonActive.ini			0	15	3																	
Task_Client_zhanglin	1166	張林	2	1	ClientTaskNpc		135		993	興衰一時，如今時過境遷，唉，竟有唏噓之感。		1	56	1							Setting/Npc/Ai/CommonActive.ini			0	15	3																	
Task_Client_zhaoqiniang	1169	趙七娘	2	1	ClientTaskNpc		184		993	幸虧老娘當年有眼光，選了我家老周！		1	56	1							Setting/Npc/Ai/CommonActive.ini			0	15	3																	
Task_Client_zhoumujiang	1170	周木匠	2	1	ClientTaskNpc		142		993	唉，但願有情人終成眷屬吧！		1	56	1							Setting/Npc/Ai/CommonActive.ini			0	15	3																	
Task_Client_zhouxiaofu	1173	周小富	2	1	ClientTaskNpc		134		993	筱薔，你放心，就算其他人都反對我們！我也一定會娶你回家的！		1	56	1							Setting/Npc/Ai/CommonActive.ini			0	15	3																	
Task_Client_hexiaoqiang	1176	何筱薔	2	1	ClientTaskNpc		176		993	小富，我的心裡只有你，你可千萬莫要讓我失望……		1	56	1							Setting/Npc/Ai/CommonActive.ini			0	15	3																	
Task_Client_jianyun	1178	劍雲	2	1	ClientTaskNpc		165		993	就算成不了獨孤劍那樣的大俠，我也要成為一個小俠！		1	56	1							Setting/Npc/Ai/CommonActive.ini			0	15	3																	
Task_Client_qiuyu	1181	秋雨	2	1	ClientTaskNpc		105		993	兒，你的名字取自獨孤劍之劍，劉雲之雲，便是期盼你像他們一樣，心懷救國之念，更加勤奮啊……		1	56	1							Setting/Npc/Ai/CommonActive.ini			0	15	3																	
Task_Client_laowang	1183	老王	2	1	ClientTaskNpc		170		993	嗯？我是誰？你不認得我了？我是隔壁老王啊。		1	56	1							Setting/Npc/Ai/CommonActive.ini			0	15	3																	
Task_Client_jialaoshi	1185	賈老實	2	1	ClientTaskNpc		146		993	不知道南宮姑娘在大漠之中過得好不好……		1	56	1							Setting/Npc/Ai/CommonActive.ini			0	15	3																	
Task_Client_wanjincai	1379	萬金財	2	1	ClientTaskNpc		146		993	不知道南宮姑娘在大漠之中過得好不好……		1	56	1							Setting/Npc/Ai/CommonActive.ini			0	15	3																	
Task_Client_weibing	1202	衛兵	2	1	ClientTaskNpc		150		993	如今戰火紛亂，唉，可憐了這城中的老百姓啊！		1	56	1							Setting/Npc/Ai/CommonActive.ini			0	15	3																	
Task_Client_hemei	1205	何梅	2	1	ClientTaskNpc		183		993	若是昔日獨孤劍答應了我爹，不知會是如何呢……		1	56	1							Setting/Npc/Ai/CommonActive.ini			0	15	3																	
Task_Client_duanfurong	1208	段芙蓉	2	1	ClientTaskNpc		178		993	今生能夠打造出「獨孤劍」，已經是我最大的滿足了！		1	56	1							Setting/Npc/Ai/CommonActive.ini			0	15	3																	
Task_Client_jiangbo	1210	鐵雲	2	1	ClientTaskNpc		150		993			1	56	1							Setting/Npc/Ai/CommonActive.ini			0	15	3																	
